simplification,sitc_rev2,note
mèche ; à fanon,,
mèche ; à canon,,
"mèche ; flambeau, chandelle et lampe",,
mèche,6,
mât ; pour navire ; grand,7,
mât ; pour navire ; de sapin,7,
mât ; pour navire ; de 40 à 50 pieds,7,
mât ; pour navire ; assorti,7,
mât ; pour navire,7,
mât ; petit,7,
mât ; peint,7,
mât ; grand,7,
mât ; façonné,,
mât ; de vaisseau,7,
mât ; de sapin ; moyen,7,
mât ; de sapin ; assorti,7,
mât ; de sapin,7,
mât ; de hune,7,
mât ; de divers grandeur,7,
mât ; de navire,7,
mât ; de barque,7,
mât ; de 4 paumes,7,
mât ; de 24 a 30,7,
mât ; de 20 pieds,7,
mât ; assorti,7,
mâche,,
musique,8,
muselet et fil d'acier,,
muse,,
raisin ; à l'eau de vie,0a,
muscade et macis,,
épicerie ; muscade ; feuille et noix,,
muscade ; de perle,8,
musc,,
munition de guerre et projectile,,
munition de guerre,,
munition,,
mulet et âne,,
mulet ; de natte,,
mulet,,
mule et mulet,,
mufle à chandelle,,
moût,,
mouvement ; de pendule,8,
mouvement ; de montre,8,
moutarde ; graine,0a,
moutarde ; feuille,,
moutarde,0a,
mousseron et morille,0a,
mousseron ; sec,0a,
mousseron,0a,
mousseline ; nationale,6d,
mousseline et toile de coton blanc,,
mousseline ; des Indes,6d,
mousseline ; de la compagnie,6d,
mousseline ; brodée,6d,
mousseline,6d,
mousse de lin,6a,
mousse ; de roche,,
mousse ; de mer et herbe à teindre,,
mousse ; de mer,,
mousse ; de bois,,
mousse,,
moureaux ; de mulet,7,
moureaux,6a,
moulure,,
moulon ; à faire chaux,,
moulon et kibbelinck,,
moulon,,
moulinet ; à filer,7,
moulin ; à tordre fil,,
moulin ; à tabac,7,
moulin ; à sucre,7,
moulin ; à poivre,7,
moulin ; à moutarde,7,
moulin ; à moudre grain,,
moulin ; à grain ; maïs,7,
moulin ; à lapidaire,7,
moulin ; à grain,7,
moulin ; à filer,,
moulin ; à dessécher,7,
moulin ; à café ; doux,7,
moulin ; à café,7,
moulin ; à bras,,
moulin ; de fer,7,
moulin ; de bois,,
moule ; pour chandelle,,
moule,0a,
moufle,,
mouffette,,
mouchoir et cravate de soie mêlée,,
mouchoir et cravate de mousseline,,
mouchoir demi soie,,
mouchoir de toile,,
mouchoir ; à vignette,8,
mouchoir ; à peu de soie,8,
mouchoir ; à la valeur,8,
mouchoir ; à carreau,8,
mouchoir ; remalse,8,
mouchoir ; peint,8,
mouchoir ; imprimé,8,
mouchoir ; fin,8,
mouchoir ; en soie,8,
mouchoir ; du Levant,8,
mouchoir ; divers,8,
mouchoir ; des Indes ; dit bandanas,8,
mouchoir ; des Indes ; de soie,8,
mouchoir ; des Indes ; de coton,8,
mouchoir ; des Indes,8,
mouchoir ; demi soie,8,
mouchoir ; de toile ; de lin,,
mouchoir ; de toile ; de Cholet,8,
mouchoir ; de toile ; blanche,8,
mouchoir ; de coton et soie,8,
mouchoir ; de soie,8,
mouchoir ; de siamoise,8,
mouchoir ; de mousseline,8,
mouchoir ; de masulipatan,8,
mouchoir ; de linon,8,
mouchoir ; de laine,8,
mouchoir ; de l'hote,8,
mouchoir ; de gingas,8,
mouchoir ; de gaze ; divers,8,
mouchoir ; de gaze,8,
mouchoir ; de foulard,8,
mouchoir de fil et coton découpé,,
mouchoir ; de fil et coton,8,
mouchoir ; de coton ; étranger,8,
mouchoir ; de coton peint,8,
mouchoir de coton découpé,,
mouchoir ; de coton ; de l'Inde,8,
mouchoir ; de coton ; de France,8,
mouchoir ; de coton,8,
mouchoir ; de batiste,8,
mouchoir ; de Zurich,8,
mouchoir ; de Saumur,8,
mouchoir ; de Rouen,8,
mouchoir ; de Romald,8,
mouchoir ; de Pondichéry,8,
mouchoir ; de Paliacate,8,
mouchoir ; de Madras,8,
mouchoir ; de Laval,8,
mouchoir ; de Hollande,8,
mouchoir ; de Craité,8,
mouchoir ; de Cholet,8,
mouchoir ; de Champagne,8,
mouchoir ; de Béarn,8,
mouchoir ; de Bougatte,8,
mouchoir ; de Betton,8,
mouchoir ; de ?,8,
mouchoir ; d'indienne,8,
mouchoir ; d'aleph,8,
mouchoir ; commun,8,
mouchoir ; brodé,8,
mouchoir ; blanc,8,
mouchoir ; bandanoe,8,
mouchoir ; Madras,8,
mouchoir ; Komel et Renis,8,
mouchoir,8,
mouche à miel,0a,
mouche ; de taffetas,,
mouche ; de soie,8,
mouche ; cantharide,,
moucade,6,
poisson ; de mer ; morue ; tête,0a,
poisson ; de mer ; salé ; morue et salée,,
poisson ; de mer ; salé ; morue,0a,
poisson ; de mer ; morue,0a,
mortier ; de pierre,,
mortier ; de métal,,
mortier ; de marbre,,
mortier ; de fonte,,
mortier ; de fer,,
mors ; de bride,8,
morille,0a,
bois ; morceau,,
moquette,6,
moque de gréz,,
ouvrage ; bois ; pour fusil,,
montre et pendule,8,
montre ; de poche ; à caisse d'or,,
montre ; de poche ; à caisse d'argent,,
montre ; de poche,,
montre ; de cuivre,8,
montre ; d'or,8,
monnaie étrangère et lingot,9a,
monnaie ; étrangère,9a,
mongistere,,
mongette,0a,
moncayard,,
momoye de cuivre,,
momie,,
momade,,
étoffe ; molleton ; simple fil,,
étoffe ; molleton ; double fil,,
étoffe ; de laine ; en molton,,
molleron,,
molenaers,,
moka,0b,
moelle ; de bœuf,0a,
moelle,0a,
mode,,
mocade,,
mobilier ; de bois,8,
mitraille ; de cuivre,,
mitraille,,
mite ; de soie,8,
mite,8,
mitaine ; liserée,8,
mitaine ; garnie de soie,8,
mitaine ; de peau,,
mitaine ; brodée,8,
mitaine,8,
mise à feu,,
miroir ; à cadre doré,8,
miroir,8,
mirke,,
mireau,,
myrrhe,,
minutie,,
minium et mine orange,,
minium,,
mini,,
minerai ; de plomb,,
mine ; de roche,,
mine ; de fer,,
mine ; de cuivre rouge,,
mine ; de cuivre,,
mine ; d'asphalte,,
millet,0a,
milleret et agrément ; de soie,,
milleret et agrément,,
migon,6,
mignonnette,6a,
miel ; de Narbonne,0a,
miel,0a,
meunier,,
meule ; à tannerie,6,
meule ; à taillandier,6,
meule ; à huile,6,
meule ; à favre,6,
meule ; à couturier,6,
meule ; à callandre,6,
meule ; à aiguiser ; petite,6,
meule ; à aiguiser ; moyenne,6,
meule ; à aiguiser ; grande,6,
meule ; à aiguiser ; batarde,6,
meule ; à aiguiser,6,
meule ; à acoustique,6,
meule ; à moulin,6,
meule ; bâtarde,6,
meule ; affiloir,6,
meule,6,
mobilier et miroir,8,
meuble et effet,8,
meuble ; à coutelier,7,
mobilier ; vieux,8,
mobilier,8,
mesure ; d'étain,6,
mesat de clocher,,
mervillon,,
merrain ; à tonneau,,
merrain ; à quart,,
merrain ; à fond,,
merrain ; à bœuf,,
merrain ; en barrique,,
merrain ; de maille,,
merrain ; basique,,
merrain ; arabique,,
merrain ; aqua,,
merrain ; a busse,,
poisson ; merlu,0a,
merle,,
poisson ; merlan,0a,
mercure ; précipité,,
mercure ; doux,,
mercure,,
mercerie et quincaille,8,
mercerie et bibelot,,
mercerie ; à la valeur,6,
mercerie ; ordinaire,8,
mercerie ; grossière,,
mercerie ; fine et aiguille,6,
mercerie ; fine ; epingle,6,
mercerie ; fine,6,
mercerie ; épingle,6,
mercerie ; tabatière ; corne,8,
quincaillerie,6,
mercerie ; peigne ; de bois,8,
mercerie ; peigne ; de corne,8,
mercerie ; en peigne ; de bois,8,
mercerie ; en peigne ; d'ivoire,8,
mercerie ; en lignet et hameçon,8,
mercerie ; bouton,8,
mercerie ; en bouton ; de crin,8,
mercerie ; en aiguille ; à coudre,8,
mercerie ; de bois,,
mercerie ; cru,,
mercerie ; bimbeloterie,8,
mercerie ; aiguille,6,
mercerie,6,
menuté,,
menuiserie,6,
mente ; à taillandier,0a,
mente ; à moulir,0a,
menie,,
melon,,
megelanne,,
meffle,,
mecoacam,,
mazon,,
mazamet,,
maur,,
maugrebine,,
matériau,,
matre,,
matocaux,,
matières d'or ; en quadruple ou pièce d'or ; d'Espagne,9a,
matières d'argent ; en piastre ; d'Espagne,9a,
matières ; d'or et d'argent,6,
matière tannante,,
matière colorante,,
matelas ; vieux,8,
matelas ; de laine,8,
matelas ; de crin et noppe,,
matelas ; de crin,8,
matelas,8,
mat ; beaupré,,
mastic ; en larme,,
mastic,,
massy,,
massicot,,
masse ; de mail,6,
masse ; en fer,,
masse ; de bois,6,
masque ; de Venise,8,
masque ; commun,,
masque,8,
marègue,,
marteau ; de forge,,
marteau ; en fer,,
marteau,6,
marsouin,0a,
marquise,8,
drap ; Maroc,,
marne,,
marmite ; en fer,6,
marmite ; de cuivre,,
marmite ; de fonte,6,
marmite ; de fer,6,
marmite,6,
marmelade,,
mareule,,
marechauderie,,
marchandise non classifiée,,
marchandise exportée par les port et pays du royaume traité comme étranger,,
marchandise de retour faute de vente ( AMAC),,
marchandise ; sèche,,
marchandise ; mêlée ; à la valeur,,
marchandise ; mêlée,,
marchandise ; en fer ; blanc,6,
marchandise ; en fer,,
marchandise ; des prise,,
marchandise ; des citoyen,,
marchandise ; des Indes ; toile des Indes ; nankin,6d,
marchandise ; des Indes ; toile des Indes ; guingamp,6d,
marchandise ; des Indes ; toile des Indes ; diverse,6d,
marchandise ; des Indes ; thé,0b,
marchandise ; des Indes ; porcelaine,6,
marchandise ; des Indes ; poivre,0b,
marchandise ; des Indes ; mousseline,6d,
marchandise ; des Indes ; mouchoir des Indes,6d,
marchandise ; des Indes ; diverse,,
marchandise ; des Indes ; cannelle,,
marchandise ; des Indes ; café ; de bourbon,,
marchandise ; des Indes,,
marchandise ; de mode,8,
marchandise ; de la cote,,
marchandise ; de Montauban,,
marchandise ; blanche ; de la compagnie,,
marchandise ; blanche,,
marcerie,,
marcassite,,
marcassin,,
marc de raisin,0a,
marc d'olive,0a,
marc ; divers,,
marc,,
marbre ; à jouer,6,
marbre ; travaillé,,
marbre ; rouge et gris,,
marbre ; rond,6,
marbre ; ouvré,6,
marbre ; noir ; travaillé,,
marbre ; en table,8,
marbre ; en pierre,,
marbre ; en bloc,,
marbre ; divers,,
marbre ; brut,,
marbre ; brun,,
marbre ; blanc,,
marbre,,
maquet,,
maquereau ; salé,0a,
maquereau,0a,
mantelet ; de soie,,
mantelet ; court,,
mantelet,8,
manteau ; vieux,8,
manteau ; de fourrure d'agneau,,
manteau ; court,,
manteau,8,
manne ; fine,,
manne ; de Calabre,,
manne,,
manivelle,6,
manille,8,
maniguette,0b,
manicot,,
manganèse,,
mande et berce ; d'osier,,
mandarin,,
manchon ; laine,,
manchon ; fin,8,
manchon ; de velours,8,
manchon ; de tigre,,
manchon ; de renard,,
manchon ; de plume,,
manchon ; de martre,,
manchon ; commun,8,
manchon,8,
manchette et mouchoir ; de mousseline,,
manchette et mouchoir ; brodée,,
manchette ; de dentelle,8,
manchette ; brodée,8,
manchette,8,
manche ; à lave place,6,
manche ; de mail,6,
manche ; de gaffe,6,
manche ; pour jardinage,6,
manche ; de balai,6,
manche ; brodée,8,
manade,,
malt,,
mallette ; travaillée,,
malle ; vide,8,
malle ; valise et coffre,,
malle ; travaillée,,
malle ; de cuir,8,
malle,8,
malemole,,
malbroug,,
pierre,,
maillicot,,
maiclais,,
mahaleb,0b,
madrier ; de sapin,,
madrier ; de noyer,,
madrier ; de merisier,,
madrier ; de chêne,,
madrier ; de bois de couleur,,
madrier ; d'acajou,,
madrier,,
madras,,
machine ; à feu,7,
machine ; pour fabriquer le tabac,7,
mache ; de fer,,
légume ; à la daube,,
légume ; vert et sec,0a,
légume ; trèfle,0a,
légume ; sec,0a,
légume ; pomme de terre,0a,
"légume ; poix, fève et haricot",0a,
légume ; poix,0a,
légume ; haricot,0a,
légume ; fève,0a,
légume ; chou-fleur,0a,
légume ; champignon,0a,
légume ; ail,0a,
légume,0a,
lystre,,
lycopode,,
luze,,
lustrine,6c,
lustre ; de cristal et verre,,
lustre ; de Venise,8,
lustre,8,
lunette,8,
luge,8,
louveas,,
loup marin,0a,
long ; vieux,,
lièvre,0a,
liège et provision,,
liège ; planche et bouchon,,
liège ; ouvré,6,
liège ; planche,,
liège ; en catalant,6,
liège ; divers,,
liège,,
livre ; relié,,
livre ; registre,8,
livre ; non relié,,
livre ; en blanc,8,
livre,8,
litharge ; dur,,
litharge ; d'or,6,
litharge,,
lit ; de sangle,8,
lit ; de plume,8,
lit ; de fer,8,
lit ; de bourre de chèvre,8,
lit ; de bourre,8,
literie,8,
lissoir de verre,6,
lisière et rognure ; de drap,,
lisière ; de velours,6c,
lisière ; de drap,,
lisière,,
"liqueur, rhum et sirop ; fin",1,
liqueur et sirop ; fin,1,
liqueur et sirop ; divers,1,
liqueur et rhum,1,
liqueur ; à boire,1,
liqueur ; tafia,1,
liqueur ; sirop ; fin,1,
liqueur ; sirop,1,
liqueur ; rhum,1,
liqueur ; fine,1,
liqueur ; sirop ; mélasse,1,
liqueur ; diverse,1,
liqueur ; distillée,,
liqueur ; de Marseille,1,
liqueur,1,
linon,6a,
linnieuse,,
lingette,,
lingerie ; ouvrée,,
lingerie ; en chanvre,6a,
lingerie ; de toile ; de lin,6a,
lingerie ; de toile ; d'étoupe,6a,
lingerie ; de coton,6d,
lingerie ; chemise,,
lingerie,,
linge ; à tapisserie,,
linge ; vieux,,
linge ; travaillé,,
linge,,
linge ; de table ; ouvré,,
linge ; de table ; neuf,,
linge ; de table ; damassé,,
linge ; de table ; commune,,
linge ; de table ; chemise,,
linge ; de table,,
linge ; de lin ; fin,6a,
linceul ; vieux,6a,
lina,,
lin ; vert ; roui et non roui,,
lin ; tressé,,
lin ; sec ; non roui,,
lin ; sans paille et en potasse,,
lin ; prét à filer,,
lin ; pour paillasson,,
lin ; peigné,,
lin ; en pierre,,
lin ; en car,,
lin ; divers,,
lin ; cru,,
lin ; brut,,
lin ; apprêté,,
lin,,
limon ou citron,,
limon ; salée,,
quincaillerie ; de fer ; lime,6,
lime ; d'acier et de fer,6,
lime ; d'acier,6,
lime ; d'Autriche,6,
lime,6,
limas,,
limande,,
limaille de fer,,
limaille ; de laiton,,
limaille ; de cuivre,,
limaille ; d'argent,,
limaille,,
ligneul,,
ligne ; à pêcher,8,
ligne ; d'acier,8,
ligature ou droguet ; de fil et laine,6,
ligature ; de fil et soie,6,
ligature,6,
lien ; de fil,6a,
lie de vin,,
lie de bière,,
lie d'huile,,
librairie ; reliée,8,
librairie ; en feuille,8,
librairie ; en blanc,8,
librairie ; en almanach ; relié,8,
librairie ; en almanach ; en blanc,8,
librairie ; en almanach ; broché,8,
librairie ; brochée,8,
librairie,8,
libraire ; livre ; en feuille,8,
libraire ; carte géographique,8,
libans,,
levure de bière,0a,
levier ferré,6,
lettre de change ; imprimée,9a,
lest,,
lessive ; grasse,,
leole,,
lentille,0a,
lelarge,,
lave-place,,
lavande et hysope,,
lavande,,
lauze,,
laurier,0a,
latte et perche,,
latte ; sciée en planche,,
latte ; sciée,,
latte ; pour cuve de brassage,,
latte ; pour cuve,,
latte ; pour couvreur de tuile,,
latte ; en paille,,
latte ; double,,
latte ; dite du nord,,
latte ; dite Solververen,,
latte ; de sapin,,
latte,,
lard ; salé,0a,
lard,0a,
laque ; en bois,,
laque ; de Venise,,
laque ; de Florence,,
lapin,0a,
lapereau,,
lanterne,8,
lanière,,
lanis ; à cacheter,,
lanillas,,
langue ; salée ; de porc,0a,
langue ; salée,0a,
langue ; fumée,0a,
langue ; de mouton,,
langue ; de cochon,0a,
langue ; de bœuf et vache,,
langue ; de bœuf ; salée,0a,
langue,0a,
lancet à rozer voile,,
lance et mât,,
lance et beaupré,,
lance et piquet,,
lance ; de fer,,
lance,,
lamproie,0a,
lampe ; de verre,8,
lampe ; de terre,8,
lampe ; de laiton,8,
lampe ; de fer ; blanc,8,
lampe ; de fer,8,
lampe ; de cuivre,8,
lampe,8,
lampareille ; de Lille,,
étoffe ; de poil ; lampareille,,
lame ; de sabre,,
lame ; de fleuret,,
lame ; de fer,,
lame ; de couteau de chasse,,
lame ; de couteau,,
lame ; de bois,,
lame ; d'épée,,
lame,,
lama,0b,
laiton et cuivre,,
laiton ; vieux,,
laiton ; non gratté,6,
laiton ; gravé ou gratté,6,
laiton ; gravé,6,
laiton ; gras,6,
laiton ; filé et en planche,6,
laiton ; en planche,6,
laiton ; en feuille,6,
laiton ; cuivré,6,
laiton ; brut,6,
laiton ; brun,6,
laiton ; braisé,6,
laiton,6,
"lait, doux",,
lait ; battu,,
laine ; écrin ; lavée,,
laine ; à tricoter,,
laine ; à tapisserie,,
laine ; à matelas,,
laine ; à lisière,,
laine ; à broder,,
laine ; toison,,
laine ; teinte,,
laine ; tannée,,
drap ; serge,,
laine ; pour chapelier,,
laine ; place,,
laine ; petite,,
laine ; pelade,,
laine ; peignée,,
laine ; ordinaire en masse,,
laine ; ordinaire,,
laine ; non peignée,,
laine ; mêlée,,
"laine ; mérinos, lavée et en suint",,
laine ; mérinos lavée,,
laine ; mérinos en suint,,
laine ; menue,,
laine ; lavée,,
laine ; grosse,,
laine ; grasse et filée,,
"laine ; fine, filée et teinte",,
"laine ; fine, blanche, filée et teinte",,
laine ; fine mérinos lavée,,
laine ; fine mérino en suint,,
laine ; fine et filée,,
laine ; fine et de chevron,,
laine ; fine,,
laine ; filée et fine,,
laine ; filée,,
laine ; en toison,,
laine ; en surge,,
laine ; en suint,,
laine ; en rame,,
laine ; en poil de chameau,,
laine ; en laine,,
laine ; en flotte,,
laine ; en côte,,
laine ; déchet,,
laine ; de tan,,
laine ; de nigagne,,
laine ; de l'Arménie,,
laine ; de fer,,
laine ; de chèvre,,
"laine ; de chevron, poil de chameau et vigogne",,
laine ; de chevron et poil de lapin,,
laine ; de chevron et poil de chameau,,
laine ; de chevron,,
laine ; de chamois,,
laine ; de barbarie,,
laine ; de Vigogne,,
laine ; de Suède,,
laine ; de Smyrne,,
laine ; de Prusse,,
laine ; de Portugal,,
laine ; de Poméranie,,
laine ; de Pologne et autre laine étrangère,,
laine ; de Pologne,,
laine ; de Moscou,,
laine ; du Levant,,
laine ; de Hollande,,
laine ; de Danemark,,
laine ; de Constantinople,,
laine ; du Béarn,,
laine ; de Brême,,
laine ; de Brabant,,
laine ; de Bologne,,
laine ; d'écru,,
laine ; d'agnelin,,
laine ; d'agneau,,
laine ; d'Italie,,
laine ; d'Espagne,,
laine ; d'Angleterre,,
laine ; d'Allemagne,,
laine ; crue,,
laine ; crotelin,,
laine ; commune,,
laine ; bâtarde,,
laine ; brute,,
laine ; blanche ; non filée,,
laine ; blanche,,
laine ; apprêtée ; pour perruque,,
laine ; angora,,
"lainage ; étoffe ; fine, en casimir et mérinos",,
"lainage ; étoffe ; fine, en casimir",,
lainage ; étoffe,,
lainage ; schal et mouchoir,,
lainage ; schal ; de laine et poil,,
lainage ; schal,,
lainage ; draperie petite et étoffe,,
lainage ; draperie ; ordinaire,,
lainage ; draperie ; fine,,
lainage ; draperie,,
"lainage ; couverture, tapisserie",,
lainage ; couverture,,
lainage ; bonneterie,,
lainage,,
laimois,,
lacet ; de soie,6c,
lacet ; de laine,,
lacet ; de fleuret,6c,
lacet ; de filoselle,6c,
lacet ; de fil,6a,
lacet,6,
labdanum,,
koruoté,,
jus ; de réglisse,,
jus ; de limon,0b,
jus ; de citron et de limon,0b,
jus,,
jupon ; piqué,8,
jupon ; de toile peinte,8,
jupon,8,
jupe ; piqué,,
jupe ; de coton,,
jupe,,
julienne,,
jujubes,0a,
jude fin,,
jouet ; en bois,,
jonquine,,
jonc et roseau,,
jonc et paille travaillée,,
jonc ; à voile,,
jonc ; à faire des vertgadins,,
jonc ; à faire des chaise,,
jonc ; à faire des canne,,
jonc ; rotin,,
"jonc ; pour canne, bambou et ruban",,
"jonc ; pour canne, bambou et rotin",,
jonc ; entes,,
jonc ; des Indes,,
jonc ; commun,,
jonc,,
jolité ; mêlée,,
joaillerie,8,
jeu ; de voile,7,
jeu ; de terre,,
jeu ; de moulin,7,
jeu ; de canne,7,
jeton ; d'argent,8,
jet et lie ; de bière,,
jet ; de bière,,
jaune ; royale,,
jaune ; paille,,
jaune ; doré,,
jaune ; commun,,
jaspe,6,
jarretière et ruban ; de laine,8,
jarretière ; de soie,8,
jarretière ; de laine,8,
jarretière ; de fleuret,8,
jarretière ; de filoselle,8,
jarretière ; de fil,8,
jarretière ; d'or et d'argent,8,
jarretière ; d'argent,8,
jarre ; de terre,6,
jarre,6,
jardiére de laine,,
jardinage ; divers,6,
jante et rais,,
jante,,
janne ; gros,,
janne,,
jambon ; de Bayonne,0a,
jambon,0a,
jalap,,
"jais ; en dentelle, collier et bouton",,
jais ; de chêne,,
jais,,
ivoire de Dieppe,,
ivoire ; ouvré,,
ivoire ; noir,,
ivoire ; brûlé,,
ivoire ; dent d'éléphant,,
ivoire ; brut,,
ivoire,,
isaris,,
drogue ; pour la peinture et la teinture ; iris ; de Florence,,
iris,,
instrument ; propre aux science,8,
instrument ; pour les art et les science,8,
instrument ; de pilotage,,
instrument ; de physique,8,
instrument ; de mécanique,8,
instrument ; de musique et autre,8,
instrument ; de musique ; épinette,8,
instrument ; de musique ; violon,8,
instrument ; de musique ; luth,8,
instrument ; de musique ; harpe,8,
instrument ; de musique ; de vessie,8,
instrument ; de musique ; clavecin,8,
instrument ; de musique,8,
instrument ; de marine,8,
instrument ; de jardinage,8,
instrument ; de chirurgie,8,
instrument ; de chimie,8,
instrument,,
instrument ; d'orfèvre,8,
instrument ; d'optique,8,
instrument ; astronomie,8,
insecte,,
industrie étrangère ; divers,,
indienne ; étrangère,6d,
indienne ; française,6d,
indienne,6d,
indes ; plate,,
indes ; java,,
indes ; flottante,,
indes ; fine,,
inde,,
étoffe ; de laine ; impériale,,
image et dominoterie,8,
image et carte géographique,8,
image ; de vélin,8,
image ; de parchemin de corne,,
image ; de parchemin,8,
"image ; de papier, estampe et carte géographique",,
image ; de papier,8,
image ; de corne,8,
image,8,
hypocristis,,
hydromel,1,
huître ; à la daube,0a,
huître ; à l'écaille,0a,
huître ; verte,0a,
huître ; fraîche,0a,
huître,0a,
huile ; de pierre,,
huile et sirop,,
huile et provision,,
huile et acide vitriolique,4,
huile ; à brûler,4,
huile ; succin,4,
huile ; stale,4,
huile ; médicinale,,
huile ; fine,4,
huile ; diverse,4,
huile ; de vialle,4,
huile ; de verre,,
huile ; de tamarin,4,
huile ; de storax,4,
huile ; de spermaceti,4,
huile ; de souffre,4,
huile ; de soldat,4,
huile ; de senteur,4,
huile ; de semence,,
huile ; de scorpion,4,
huile ; de saxafrax,4,
huile ; de rose,4,
huile ; de rhue,4,
huile ; pétrole,3,
huile ; de poix,,
huile ; de poisson et poix,,
