marchandises_simplification,code,sitc18_rev3,v3,imprimatur,status,beforeitems,afteritems,obsolete
bois de Brésil en bûche,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; de Bresil en buches] [Bois ; de Brésil en Buches] [Bois ; de brezil en buches] [Bois de Bresil en buches] [Bois de bujs en buches],non
bois de Brésil menu,500,5,Produits chimiques,,ambiguous,,[Bois ; de Bresil ; menu],non
bois de Brésil moulu,500,5,Produits chimiques,,ambiguous,,[Bois ; de Brezil moulu],non
bois de Brésil râpé,500,5,Produits chimiques,,new,,,non
bois de brésillet,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois de brezilles] [Bois ; de Bresilles] [Bois ; de bresillet] [Bois de Bresillet],non
bois de brochialle,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; de brochialle],non
bois de bruyère,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
bois de buis,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; de bris] [Bois ; De buis] [Bois ; de Buis] [Bois ; de buis] [Bois ; de buy] [Bois de buis] [Bois; de buis] [bois de buis] [bois de buy] [Bois de buy] [Bois de bui] [Bois de Buy],non
bois de Caliatour,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; Caliatour] [Bois ; de Caliatour] [Bois ; de caillatour] [Bois ; de caliatour] [Bois ; de caliatours] [Bois ; de caliatous] [Bois ; de calicetoux] [Bois ; de caliettour] [Bois ; de calliatour] [Bois ; de calliatous] [Bois d'éCaliatour] [Bois de Caliatour] [Bois de Caliatur] [Bois de Calliatour] [Bois de caliatour] [Bois de catiatour] [Bois; de caliatour] [bois de caliatour] [bois de calliatour] [Bois ; D'inde ; De caliatour] [Bois ; D'inde ; De Caliatour] [Bois ; des Isles et des Indes ; de Caliatour],non
bois de Caliatour en bûche,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; de caillatour en buche] [Bois de Caliatour ; en buches] [Bois de caliatour ; en buches],non
bois de Caliatour et moulu,,,,,,,,non
bois de Caliatour moulu,500,5,Produits chimiques,,ambiguous,,[Bois ; de Caliatour moulu] [Bois ; de Colliatour moulu] [Bois ; de caliatour moulu] [Bois ;.de caillatours;moulu] [Bois de Caliatour ; moulu] [Bois de Caliatour Moulu] [Bois de caliatour ; moulu] [Bois de calliatour Moulu] [Bois de calliatour moulu] [Bois ; de cailliatour moulu] [Bois ; de Caillatour moulu] [Bois ; de caliatour ; moulu] [Bois ; de caillatour moulu],non
bois de Caliatour râpé,500,5,Produits chimiques,,ambiguous,,[Bois de Caliatour Rapé] [Bois de Caliatour rapé] [Bois de caliatour rapé],non
bois de Campêche,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; de teinture ; de campêche] [Bois ; de Campeche] [Bois ; de Campesch] [Bois ; de Campêche] [Bois ; de Capêche] [Bois ; de Champesche] [Bois ; de campeche] [Bois ; de campesche] [Bois ; de campèche] [Bois ; de campéche] [Bois ; de campêche] [Bois ; de champeche] [Bois ; de compeche] [Bois Campeshe] [Bois Campêche] [Bois campeche] [Bois de Campeche] [Bois de Campesche] [Bois de Campeshe] [Bois de Campèche] [Bois de Campêche] [Bois de campeche] [Bois de campeches] [Bois de campesche] [Bois de campêche] [Bois; de campesche] [bois de campeche] [bois de campesche] [bois de campêche] [Bois ; D'inde pour peinture et marqueterie ; De compeche] [Bois ; des Isles et des Indes ; de campêche] [Bois; De Campêche] [Bois ; des Isles ; de Campêche] [Bois ; des Indes ; de Campêche] [Bois ; D'inde ; De campeche] [Bois ; D'inde ; De Campeche] [Bois ; de campahs] [Bois de Champeche] [Bois ; d'indes pour teinture et marqueterie ; de campêche],non
bois de Campêche en buches,,,,,,,,non
bois de Campêche en bûches,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; de Campesch en Buches] [Bois ; de campeche en buches] [Bois ; de campesche en buches] [Bois ; de campêche en Buches] [Bois ; de campêche en buche] [Bois de Campêche ; en buches] [Bois de Campêche en buches] [Bois de campesche ; en buches] [Bois de campesche en buches] [Bois de cmapesphe en buches] [bois de campêche en buche] [Bois ; de campêche ; en buches] [Bois de campêche en buches] [Bois ; de campeche ; en buches],non
bois de Campêche en buches et moulu,,,,,,,,non
bois de Campêche moulu,500,5,Produits chimiques,,ambiguous,,[Bois ; de Campeche moulu] [Bois ; de campeche ; moulu] [Bois ; de campêche en moulu] [Bois ; de campêche moulu] [Bois de Campêche ; moulu] [Bois de campesche ; moulu] [Bois de campesche Moulu] [Bois ; de campêche ; moulu] [bois de campêche mouu] [Bois de campeche moulu],non
bois de Campêche pour teinture,500,5,Produits chimiques,,new,,,non
bois de Campêche râpé,500,5,Produits chimiques,,ambiguous,,[Bois ; de campech Rapé] [Bois ; de campeche rapé] [Bois ; de campesche Rappé] [Bois ; de campêche rappé] [Bois Campêche râpé] [Bois de Campeshe Rape] [Bois de Campeshe Rapé] [Bois de Campeshe râpé] [Bois de Campêche rapé] [Bois de Campêche râpé] [Bois de campeche rapé] [Bois de campesche rapé] [Bois de cmapesphe rapé] [Bois de campêche rapé],non
bois de camphre,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; de camphre],non
bois de canet,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
bois de cannelle,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; de canelle],non
bois de Cayenne,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; de Cayenne] [Bois de cayenne],non
bois de cèdre,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; de Cedre] [Bois ; de cedre] [Bois ; de cèdre] [bois de cedre] [Bois de cèdre],non
bois de cerf,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
bois de cerisier,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; de cerisier] [Bois ; de cerizier],non
bois de chaise,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; de chaise] [Bois ; de chaises],non
bois de charbonnage,300,3,Combustibles,x,ambiguous,,[Bois ; De charonnage] [Bois ; de charbonnage] [Bois ; de charonage],non
bois de charonage,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois de charonages] [Bois de charonage],non
bois de charpente,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; de Charpentes] [Bois ; de charpente] [Bois de cHarpente] [Bois de charpente] [Bois de charpenterie] [Bois de Charpente],non
bois de charpente couvertures de maisons,630,6b,"Produits du bois, liège, jonc",x,new,,,non
bois de charpente de sapin,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[bois de sapin pour charpente],non
bois de chataignier,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois; de chataignier],non
bois de chêne,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; ? ; de chêne] [Bois ; de Chesne] [Bois ; de Chéne] [Bois ; de chene] [Bois ; de chesne] [Bois ; de chesne ; suivant la longueur] [Bois ; de chesnes] [Bois ; de chêne] [Bois de chesne] [Bois de chêne] [Bois; de chesne],non
bois de chêne 30 pieds,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; de chesnes 30 pieds],non
bois de chêne à poutre,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; de chêne ; à poutre],non
bois de chêne à sommier,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; de chêne ; à somier],non
bois de chêne bourdilles,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
bois de chêne bouts de 6 pieds,630,6b,"Produits du bois, liège, jonc",x,new,,,non
bois de chêne carré,630,6b,"Produits du bois, liège, jonc",x,new,,,non
bois de chêne chevrons,630,6b,"Produits du bois, liège, jonc",x,new,,,non
bois de chêne courbé pour construction navale,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois de chêne courbé pour construction navale],non
bois de chêne d'équarrissage,630,6b,"Produits du bois, liège, jonc",x,new,,,non
bois de chêne de 30 à 40 pieds,630,6b,"Produits du bois, liège, jonc",x,new,,,non
bois de chêne de 40 pieds,630,6b,"Produits du bois, liège, jonc",x,new,,,non
bois de chêne de construction,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois de Chene de Constructions] [Bois de chesne a batir],non
bois de chêne en lattes,630,6b,"Produits du bois, liège, jonc",x,new,,,non
bois de chêne en morceaux,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
bois de chêne en morceaux de 5 pieds,630,6b,"Produits du bois, liège, jonc",x,new,,,non
bois de chêne et sapin pour construction,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; de construction ; en chêne et sapin],non
bois de chêne pour bordage,630,6b,"Produits du bois, liège, jonc",x,new,,,non
bois de chêne pour construction,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; de chêne : pour construction] [Bois ; de chêne; pour construction] [bois de chesne pour construction] [Bois de chêne pour construction],non
bois de chêne pour construction courbe,630,6b,"Produits du bois, liège, jonc",x,new,,,non
bois de chêne rond,630,6b,"Produits du bois, liège, jonc",x,new,,,non
bois de chêne scié,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; de chêne ; scié],non
bois de chevron,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois; de chevrons],non
bois de Chypre,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; de Sipre],non
bois de clafou,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
bois de cleippe,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; de cleippe],non
bois de coco,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; d'indes pour teinture et marqueterie ; de coco] [Bois ; de coco],non
bois de Constantine,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; de Constentines],non
bois de coulette de hêtre,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
bois de couleur,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; de couleur] [Bois; de couleur],non
bois de courbant,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
bois de courbaril,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
bois de coutelier,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; de Couteliers] [Bois ; de couteau],non
bois de crabe,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; de Crabe] [Bois ; de crabe] [Bois ; de Crable],non
bois de faïence,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois de Fayence],non
bois de fauteuil,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; de fauteuil] [Bois ; de fauteuils] [Bois ; fauteuils],non
bois de fauteuil et canapé,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; de fauteuils et canapés],non
bois de fayard,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; de fayard],non
bois de fer,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; de fer] [Bois de Fer],non
bois de ferol,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; de ferol] [Bois ; du ferol],non
bois de flèche,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[bois de flèches],non
bois de Fondal,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
bois de frêne,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois de frène],non
bois de fustel,500,5,Produits chimiques transformés n.d.a.,x,ambiguous,,"[Bois fustel] [Bois , fustel] [Bois ; Fustel] [Bois ; de fustel] [Bois ; de fustes] [Bois ; fuslet] [Bois ; fustel] [Bois ; fuster] [Bois ; fustes] [Bois ; fustet] [Bois de Fustel] [Bois de fustel] [Bois; fustet] [bois de fustel] [Bois ; des Isles et des Indes ; fustel] [Bois ; D'inde ; De futel] [Bois ; d'indes pour teinture et marqueterie ; de fustel] [bois fustet] [bois fustel] [Bois ; D'inde pour peinture et marqueterie ; De Fustel] [Bois ; D'inde ; De fustel]",non
bois de fustel haché,500,5,Produits chimiques transformés n.d.a.,x,ambiguous,,[Bois ; de fussel ; haché],non
bois de fustel moulu,500,5,Produits chimiques transformés n.d.a.,x,ambiguous,,[Bois ; fuste moulu],non
bois de fustel pour teinture,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; de teinture ; de fustick] [Bois; Pour teinture; Fustel],non
bois de gabarit,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; de gabarie] [bois de gabaris],non
bois de gaiac,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; de goyae] [Bois ; Gayac] [Bois ; de Gaillac] [Bois ; de Gayac] [Bois ; de Gaïac] [Bois ; de gayac] [Bois ; de gayak] [Bois de gayac] [Bois de gayas] [Bois; de gayac] [bois de gayac] [Bois ; D'inde ; De jayat] [Bois ; des Isles et des Indes ; de Gayac] [Bois ; des Indes ; de Gayac] [Bois ; d'indes pour teinture et marqueterie ; de gayac] [Bois ; D'inde ; De gayac] [Bois de Gayac] [Bois ; D'inde pour peinture et marqueterie ; De Gayac],non
bois de gaiac en bûches,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; de gayac ; en buche],non
bois de gaiac râpé,630,6b,"Produits du bois, liège, jonc",x,new,,,non
bois de gays,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
bois de genièvre,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; de genievre],non
bois de girofle,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; de Geroffle] [Bois ; de geroffle] [Bois ; de gerofle] [Bois ; de giroffle] [Bois ; de girofle] [Bois ; de géroffle] [Bois de gerofle] [Bois; de geroffle] [bois de geroffle] [bois de gerofle],non
bois de gitte,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; de gitte],non
bois de grenadier,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; de grenade] [Bois ; de grenadier] [Bois; de grenade],non
bois de grenadille,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
bois de Hambourg,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
bois de Honduras,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; de honduras],non
bois de Honduras en bûches,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
bois de houx bûches,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
bois de jacaranda,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois; de jaraconda] [Bois ; de Jaraconda] [Bois ; de jacaranda] [Bois ; de jaraconda] [Bois ; de jaracumba] [Bois ; de jaracunda] [Bois ; de Jaracunda],non
bois de la Chine,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; de la chine],non
bois de lettre,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; de Lettre] [Bois ; de lettre],non
bois de lin,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; de lin] [Bois; de lin],non
bois de lit,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; de lit] [Bois ; de lits] [Bois de Lit] [Bois de lit],non
bois de machandises marbre,920,9b,Divers mélangés,x,ambiguous,,[Bois ; de machandie marbre],non
bois de machemillier,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois; de machenette] [Bois ; de machemilliers] [Bois ; de machivilliers] [Bois ; demachemillier] [Bois de Mactemelle],non
bois de marbre,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; de marbre],non
bois de marguerite,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
bois de marine,630,6b,"Produits du bois, liège, jonc",x,new,,,non
bois de marqueterie,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; de marqueterie] [Bois ; de marquetterie] [Bois de marqueterie] [Bois; de marquetrie] [Bois; de marquetterie] [Bois de marquetterie],non
bois de mathe,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois de Mathe],non
bois de menuiserie,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; De menuiserie] [Bois ; de menisier] [Bois ; de menuiserie] [Bois; de menuiserie] [Bois de menuiserie],non
bois de merrain,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; De merrains] [Bois ; de merrain] [Bois de merrain] [Bois ; de merain],non
bois de merrain à barrique,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; ; mairin; a Bariques],non
bois de merrain à fond,630,6b,"Produits du bois, liège, jonc",x,ambiguous,,[Bois ; de merrain a fond],non
bois de Nantes,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; de Nantes],non
bois de Nicaragua,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
bois de noyer,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; De noyer] [Bois ; de Noyer] [Bois ; de noyer] [Bois de Moyer] [Bois de Noyer] [Bois de noyer] [Bois; de noyer] [bois de noyer],non
bois de palissandre,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; de Palissandre] [Bois ; de palissandre] [Bois ; de patissandre] [Bois; de palissandre] [Bois ; de palessandre] [bois de palisante] [Bois ; d'indes pour teinture et marqueterie ; de palissandre] [Bois ; de pallisandre] [Bois ; de pallissandre],non
bois de Pernambouc,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Bois ; de Pernambouc] [Bois ; de Sermambourg] [Bois ; de Sermanbourg] [Bois ; de Simanbourg] [Bois ; de pernambouc] [Bois de Fer nambourg] [Bois de Fernanbourg] [Bois de Permanbouc] [Bois de Pernambouc] [Bois de Termanbour] [Bois de fermanbourg] [Bois de fernambourg] [Bois de permanbonne] [Bois de pernambourg] [Bois de pernanmbouc] [Bois de pernenbour] [Bois; de fernambourg] [Pernambouc] [Bois ; de Fermanbourg] [Bois ; de Fernambourg] [Bois ; de Fimanbourg] [Bois ; de fermambourg] [Bois ; de fermanbourg] [Bois ; de fernambour] [Bois ; de fernambourg] [Bois ; de fernamboury] [Bois ; de fernanbourg] [Bois ; de fernembourg] [Bois ; de ferrambourg] [Bois ; de fornambourg] [Bois ; fernambourg] [bois de fernambourg] [Bois ; de Camanbourg] [Bois ; des Isles ; de fernambourg] [Bois ; des Isles et des Indes ; de fernambourg] [Bois ; D'inde ; De fernambourg] [Bois ; D'inde ; De Fernambourg] [Bois de fenambourg] [Bois ; d'indes pour teinture et marqueterie ; de fernambourg] [Bois ; D'inde pour peinture et marqueterie ; De Fernembourg],non
bois de Pernambouc à teindre,500,5,Produits chimiques transformés n.d.a.,x,new,,,non
