marchandises_simplification,grains,obsolete
passementerie de fil et laine,Pas grain (0),non
passementerie de fil et soie,Pas grain (0),non
passementerie de fil laine et poil,,non
passementerie de filoselle,,non
passementerie de laine,Pas grain (0),non
passementerie de laine blanche écrue pure,,non
passementerie de laine écrue pure,,non
passementerie de laine mélangée de fil laine et poil,,non
passementerie de laine mêlée de fil,,non
passementerie de laine ou sayette,Pas grain (0),non
passementerie de laine pure teinte,,non
passementerie de poil de chèvre,Pas grain (0),non
passementerie de soie,Pas grain (0),non
passementerie de soie d'argent ou d'or faux,,non
passementerie de soie d'argent ou d'or fin,,non
passementerie de soie et laine,Pas grain (0),non
passementerie de soie mêlée,,non
passementerie de soie pure,,non
passementerie divers,Pas grain (0),non
passementerie en frange de fil,Pas grain (0),non
passementerie en soie,Pas grain (0),non
passementerie et ruban de fleuret,,non
passementerie et rubans de coton,,non
passementerie et rubans de fleuret,,non
passementerie et rubans de laine mêlée de fil,,non
passementerie et rubans de laine teinte,,non
passementerie et rubans de soie pure,,non
passementerie fine en filet d'or,Pas grain (0),non
passementerie fine en velours,Pas grain (0),non
passementerie mêlé de soie,Pas grain (0),non
passementerie mêlée d'argent d'or et de soie,,non
passementerie mêlée d'argent d'or faux et fin et de soie,,non
passementerie mêlée d'argent ou d'or faux ou fin,,non
passementerie mêlées d'autres matières que d'argent ou d'or,,non
passementerie ordinaire,Pas grain (0),non
passementerie teinte en tout ou partie,,non
passepierre,Pas grain (0),non
passepoil de laine,Pas grain (0),non
passes,Pas grain (0),non
passetatons de cordonnier,,non
pastel,Pas grain (0),non
pastel à teindre,Pas grain (0),non
pastel romain,Pas grain (0),non
pastèques,,non
pastilles,Pas grain (0),non
pastilles odoriférantes à brûler,,non
pastilles odoriférantes du sérail,,non
pataques,Pas grain (0),non
patates,Substituts (4),non
pâte,Grains transformés (5),non
pâte à fruits,Pas grain (0),non
pâte à papier,Pas grain (0),non
pâte d'amande,Pas grain (0),non
pâte d'asperge,Pas grain (0),non
pâte d'Italie,Grains transformés (5),non
pâte d'Italie et autres granulés,,non
pâte d'Italie et vermicelle,Grains transformés (5),non
pâte d'Italie macaroni et vermicelle,,non
pâte d'Italie sagou,Pas grain (0),non
pâte d'Italie semoule,Grains transformés (5),non
pâte d'Italie vermicelle macaroni,Grains transformés (5),non
pâte d'orgeat,Pas grain (0),non
pâte d'orgeat et sirop d'orgeat,Pas grain (0),non
pâte de cacao,Pas grain (0),non
pâte de guimauve,Pas grain (0),non
pâte de pastel,,non
pâte de térébenthine,,non
pâté de viande,Pas grain (0),non
pâte et savon liquide,,non
pâte et tablette de guimauve,Pas grain (0),non
pâte granulée,,non
pâte macaroni,Grains transformés (5),non
pâte ou vieux chiffons,Pas grain (0),non
pâte sagou,Pas grain (0),non
pâte semoule,Grains transformés (5),non
patenas,Pas grain (0),non
patenottes,Pas grain (0),non
pâtés,Grains transformés (5),non
pâtés de canard,Pas grain (0),non
pâtés de chèvre et autre,Pas grain (0),non
patine,Pas grain (0),non
patins,Pas grain (0),non
patins à glisser,Pas grain (0),non
patins de bois,Pas grain (0),non
patins pour femme,Pas grain (0),non
pâtisserie,Grains transformés (5),non
patissoye broché,,non
patissoye uni,,non
patte d'oie,,non
patterie,Pas grain (0),non
pattes aux vieux chiffons,Pas grain (0),non
pattes d'ancre,Pas grain (0),non
pattes ou vieux chiffons,Pas grain (0),non
paumelle,Pas grain (0),non
paumelle germée,Pas grain (0),non
pause de Russie,Pas grain (0),non
pauvre noir,Pas grain (0),non
pavés,Pas grain (0),non
pavés de morue,Pas grain (0),non
pavillon de toile,Pas grain (0),non
pavots,Pas grain (0),non
peau de Martre,,non
peau de poisson,,non
peaux,Pas grain (0),non
peaux ???,Pas grain (0),non
peaux à faire tambours,Pas grain (0),non
peaux à fleurs et de mouton,Pas grain (0),non
peaux à l'exergue de veaux,,non
peaux à la valeur,,non
peaux à panches,Pas grain (0),non
peaux à poil de veau,Pas grain (0),non
peaux à poil de veau sec,Pas grain (0),non
peaux apprêtée d'orignal,Pas grain (0),non
peaux apprêtée de buffle,,non
peaux apprêtées,Pas grain (0),non
peaux apprêtées d'agneau,Pas grain (0),non
peaux apprêtées d'élan,Pas grain (0),non
peaux apprêtées d'hermine et de martre,Pas grain (0),non
peaux apprêtées d'ours,Pas grain (0),non
peaux apprêtées de ???,Pas grain (0),non
peaux apprêtées de basannes,Pas grain (0),non
peaux apprêtées de bouc,Pas grain (0),non
peaux apprêtées de bouc et de chèvre,Pas grain (0),non
peaux apprêtées de buffle,Pas grain (0),non
peaux apprêtées de castor,Pas grain (0),non
peaux apprêtées de cerf,Pas grain (0),non
peaux apprêtées de cerf et de daim,Pas grain (0),non
peaux apprêtées de chamois,Pas grain (0),non
peaux apprêtées de chat,Pas grain (0),non
peaux apprêtées de cheval,Pas grain (0),non
peaux apprêtées de chèvre,Pas grain (0),non
peaux apprêtées de chèvre et chevreau,Pas grain (0),non
peaux apprêtées de chevreau,Pas grain (0),non
peaux apprêtées de chevreuil,Pas grain (0),non
peaux apprêtées de chien de mer,,non
peaux apprêtées de daim,Pas grain (0),non
peaux apprêtées de lapin,Pas grain (0),non
peaux apprêtées de lapin et de lièvre,,non
peaux apprêtées de lièvre,Pas grain (0),non
peaux apprêtées de lièvre et lapin,Pas grain (0),non
peaux apprêtées de loup,Pas grain (0),non
peaux apprêtées de loup cervier,Pas grain (0),non
peaux apprêtées de loup et d'ours et de tigre,Pas grain (0),non
peaux apprêtées de marmotte,,non
peaux apprêtées de maroquins,Pas grain (0),non
peaux apprêtées de mouton,Pas grain (0),non
peaux apprêtées de mouton en couleur,Pas grain (0),non
peaux apprêtées de mouton en mesquis,Pas grain (0),non
peaux apprêtées de petit gris,Pas grain (0),non
peaux apprêtées de renard,Pas grain (0),non
peaux apprêtées de roussette,Pas grain (0),non
peaux apprêtées de vache,Pas grain (0),non
peaux apprêtées de veau,Pas grain (0),non
peaux apprêtées de veau en buffle,Pas grain (0),non
peaux apprêtées de veau en chamois,Pas grain (0),non
peaux apprêtées de veau marin,Pas grain (0),non
peaux apprêtées de veau pour cuir doré,Pas grain (0),non
peaux apprêtées en couleurs et de veau,Pas grain (0),non
peaux apprêtées en maroquins et de veau,Pas grain (0),non
peaux apprêtées et brutes,Pas grain (0),non
peaux apprêtées passées en maroquins,Pas grain (0),non
peaux basanées de mouton,,non
peaux blanches,Pas grain (0),non
peaux blanches apprêtées,Pas grain (0),non
peaux blanches de mouton,,non
peaux blanches de veaux,,non
peaux blanches ou grises de mouton,Pas grain (0),non
peaux blanchies de mouton,Pas grain (0),non
peaux bronzées,Pas grain (0),non
peaux bronzées de veau,Pas grain (0),non
peaux brourées de veau,Pas grain (0),non
peaux brutes d'agneau ordinaires,,non
peaux brutes de chèvre et de mouton et de veau,Pas grain (0),non
peaux brutes de chevreuil,,non
peaux brutes de lapin et de lièvre,,non
peaux brutes de loup marin,,non
peaux brutes de phoque,,non
peaux brutes fraîches de chien de mer,,non
peaux brutes fraîches grandes,,non
peaux brutes fraîches petites,,non
peaux brutes grandes fraîches,,non
peaux brutes grandes sèches,,non
peaux brutes petites d'agneaux et de chevreaux,,non
peaux brutes petites de chien de mer et requin,,non
peaux brutes petites sèches,,non
peaux brutes sèches de chien de mer,,non
peaux chamois,Pas grain (0),non
peaux chamoisées de daim,,non
peaux chamoisées ou mégies,,non
peaux chamoisées ou mégissées,,non
peaux communes de mouton,Pas grain (0),non
peaux corroyées,Pas grain (0),non
peaux corroyées de chèvre,Pas grain (0),non
peaux corroyées de daim,Pas grain (0),non
peaux corroyées de maroquin,Pas grain (0),non
peaux corroyées de mouton,Pas grain (0),non
peaux corroyées de vache,,non
peaux corroyées de veau,Pas grain (0),non
peaux corroyées en noir de veau,Pas grain (0),non
peaux corroyées en poil et de veau,Pas grain (0),non
peaux corroyées et tannées,Pas grain (0),non
peaux corroyées et tannées de veau,Pas grain (0),non
peaux corroyées ou tannées,,non
peaux crue d'ours,Pas grain (0),non
peaux crues,Pas grain (0),non
peaux crues d'agneau,Pas grain (0),non
peaux crues d'âne,Pas grain (0),non
peaux crues d'élan,Pas grain (0),non
peaux crues d'ours,Pas grain (0),non
peaux crues de bouc,Pas grain (0),non
peaux crues de bouc et de chèvre,Pas grain (0),non
peaux crues de brebis,,non
peaux crues de brebis et de mouton,Pas grain (0),non
peaux crues de castor,Pas grain (0),non
peaux crues de cerf,Pas grain (0),non
peaux crues de cerf et de daim,Pas grain (0),non
peaux crues de chat,Pas grain (0),non
peaux crues de chèvre,Pas grain (0),non
peaux crues de chèvre en poil,Pas grain (0),non
peaux crues de chevreau,Pas grain (0),non
peaux crues de daim en poil,Pas grain (0),non
peaux crues de daim en vert,Pas grain (0),non
peaux crues de lapin,,non
peaux crues de lièvre,Pas grain (0),non
peaux crues de lièvre et lapin,Pas grain (0),non
peaux crues de lièvres,Pas grain (0),non
peaux crues de loup cervier,Pas grain (0),non
peaux crues de loup marin,Pas grain (0),non
peaux crues de marmotte,Pas grain (0),non
peaux crues de mouton,Pas grain (0),non
peaux crues de porc,Pas grain (0),non
peaux crues de renard de loutre de fouine etc.,Pas grain (0),non
peaux crues de tigre,Pas grain (0),non
peaux crues de veau,Pas grain (0),non
peaux d'agneau,Pas grain (0),non
peaux d'agneau en chamois,,non
peaux d'agneau en couleur,,non
peaux d'agneau en laine,Pas grain (0),non
peaux d'agneau en mégie,,non
peaux d'agneau en mesquis,Pas grain (0),non
peaux d'agneau en poil,Pas grain (0),non
peaux d'agneau en tripe,Pas grain (0),non
peaux d'agneau et de chevreau en poil,Pas grain (0),non
peaux d'agneau et de mouton passées,Pas grain (0),non
peaux d'agneau lavées,Pas grain (0),non
peaux d'agneau ou chevreau apprêtées,,non
peaux d'agneau passées,Pas grain (0),non
peaux d'agneau tannées,,non
peaux d'agneau tournées,Pas grain (0),non
peaux d'Alexandrie,Pas grain (0),non
peaux d'âne,Pas grain (0),non
peaux d'angora,Pas grain (0),non
peaux d'anguille,Pas grain (0),non
peaux d'anguillerie,Pas grain (0),non
peaux d'écureuil,Pas grain (0),non
peaux d'élan,Pas grain (0),non
peaux d'élan en parchemin,Pas grain (0),non
peaux d'hayes,Pas grain (0),non
peaux d'hermine,Pas grain (0),non
peaux d'hermine et de martre,Pas grain (0),non
peaux d'orignal,Pas grain (0),non
peaux d'orignal en croûte,Pas grain (0),non
peaux d'orignal en laine,Pas grain (0),non
peaux d'ours,Pas grain (0),non
peaux d'ours apprêtée et crues,Pas grain (0),non
peaux d'ours crue,Pas grain (0),non
peaux d'ours en poil,Pas grain (0),non
peaux d'ours et d'ourson,Pas grain (0),non
peaux d'ours teintes,Pas grain (0),non
peaux d'outres,,non
peaux de barbarie,,non
peaux de Barbarie petites,Pas grain (0),non
peaux de Barbarie petites en poil,Pas grain (0),non
peaux de barbe en poil,,non
peaux de barbe petites,Pas grain (0),non
peaux de basannes,,non
peaux de biche,Pas grain (0),non
peaux de blaireau,Pas grain (0),non
peaux de bœuf,Pas grain (0),non
peaux de bœuf à faire du poil,Pas grain (0),non
peaux de bœuf en poil,Pas grain (0),non
peaux de bœuf tannées,Pas grain (0),non
peaux de bouc,Pas grain (0),non
peaux de bouc crues,Pas grain (0),non
peaux de bouc et chèvre,Pas grain (0),non
peaux de bouc et de chèvre en poil,Pas grain (0),non
peaux de bourrique,,non
peaux de brebis,Pas grain (0),non
peaux de brebis en laine,,non
peaux de brebis et de mouton,Pas grain (0),non
peaux de Buenos-Aires en poil,Pas grain (0),non
peaux de buffle,Pas grain (0),non
peaux de buffle chamoisées,Pas grain (0),non
peaux de buffle et de vache passées,Pas grain (0),non
peaux de buffle passées,Pas grain (0),non
peaux de cabri,Pas grain (0),non
peaux de carcajou,Pas grain (0),non
peaux de carcasson,,non
peaux de caribou,Pas grain (0),non
peaux de castor,Pas grain (0),non
peaux de castor en poil,,non
peaux de castor gras,Pas grain (0),non
peaux de castor gras et sec,Pas grain (0),non
peaux de castor sec,Pas grain (0),non
peaux de cazeau,Pas grain (0),non
peaux de cerf,Pas grain (0),non
peaux de cerf en croûte,Pas grain (0),non
peaux de cerf en poil,Pas grain (0),non
peaux de cerf et chevreuil,Pas grain (0),non
peaux de cerf et de daim,Pas grain (0),non
peaux de cerf habillées,Pas grain (0),non
peaux de cerf passées,Pas grain (0),non
peaux de chagrin,Pas grain (0),non
peaux de chagrin et Romagne,Pas grain (0),non
peaux de chameau,Pas grain (0),non
peaux de chameau en poil,Pas grain (0),non
peaux de chameau noires,Pas grain (0),non
peaux de chameau passées,,non
peaux de chamois,Pas grain (0),non
peaux de chamois en poil,,non
peaux de chamois ou de mouton,Pas grain (0),non
peaux de chamois passées,Pas grain (0),non
peaux de chat,Pas grain (0),non
peaux de chat cervier,Pas grain (0),non
peaux de chat de mer,,non
peaux de chat putois,Pas grain (0),non
peaux de chat sauvage,Pas grain (0),non
peaux de cheval,Pas grain (0),non
peaux de cheval en poil,Pas grain (0),non
peaux de cheval marin,Pas grain (0),non
peaux de cheval passées,Pas grain (0),non
peaux de chèvre,Pas grain (0),non
peaux de chèvre à poil,Pas grain (0),non
peaux de chèvre corroyées,Pas grain (0),non
peaux de chèvre corroyées et noires,Pas grain (0),non
peaux de chèvre crues,Pas grain (0),non
peaux de chèvre diverses,Pas grain (0),non
peaux de chèvre en baudriers,Pas grain (0),non
peaux de chèvre en chamois,Pas grain (0),non
peaux de chèvre en mégie,Pas grain (0),non
peaux de chèvre en poil,Pas grain (0),non
peaux de chèvre et de mouton,Pas grain (0),non
peaux de chèvre fines,Pas grain (0),non
peaux de chèvre maroquinées,Pas grain (0),non
peaux de chèvre passées,Pas grain (0),non
peaux de chèvre tannées,Pas grain (0),non
peaux de chèvre teintes,Pas grain (0),non
peaux de chèvre vertes,Pas grain (0),non
peaux de chevreau,Pas grain (0),non
peaux de chevreau en poil,Pas grain (0),non
peaux de chevreau mégissées,Pas grain (0),non
peaux de chevreau passées,Pas grain (0),non
peaux de chevreau tannées,,non
peaux de chevreuil,Pas grain (0),non
peaux de chevreuil demies,Pas grain (0),non
peaux de chevreuil en croûte,Pas grain (0),non
peaux de chevreuil en parchemin,Pas grain (0),non
peaux de chevreuil en poil,Pas grain (0),non
peaux de chevreuil passées,Pas grain (0),non
peaux de chevron en poil,Pas grain (0),non
peaux de chevrotin,Pas grain (0),non
peaux de chien,Pas grain (0),non
peaux de chien de mer,Pas grain (0),non
peaux de chien de mer passées en noir pour bottines,Pas grain (0),non
peaux de chinchilla et de fouine,,non
peaux de crible,Pas grain (0),non
peaux de cuir rouge,,non
peaux de cygne,Pas grain (0),non
peaux de cygne et d'oie pour éventails,,non
peaux de daim,Pas grain (0),non
peaux de daim chamoisée,Pas grain (0),non
peaux de daim passées,Pas grain (0),non
peaux de fauve,Pas grain (0),non
peaux de figue écrues,Pas grain (0),non
peaux de fouine,Pas grain (0),non
peaux de grèbe,Pas grain (0),non
peaux de Guinée,Pas grain (0),non
peaux de hamster,Pas grain (0),non
peaux de la Louisiane,Pas grain (0),non
peaux de lapin,Pas grain (0),non
peaux de lapin en poil,Pas grain (0),non
peaux de lapin et de lièvre,Pas grain (0),non
peaux de léopard,Pas grain (0),non
peaux de liège,,non
peaux de liévre,Pas grain (0),non
peaux de lièvre,Pas grain (0),non
peaux de lièvre crues,Pas grain (0),non
peaux de lièvre en poil,Pas grain (0),non
peaux de lièvre et de lapin,Pas grain (0),non
peaux de lièvre et lapin,Pas grain (0),non
peaux de lièvre sans poil,Pas grain (0),non
peaux de loup,Pas grain (0),non
peaux de loup cervier,Pas grain (0),non
peaux de loup d'ours de tigre de chien de mer etc.,Pas grain (0),non
peaux de loup de Moscovie,Pas grain (0),non
peaux de loup des bois,Pas grain (0),non
peaux de loup du Canada,Pas grain (0),non
peaux de loup et d'ours et de tigre,Pas grain (0),non
peaux de loup marin,Pas grain (0),non
peaux de loutre,Pas grain (0),non
peaux de loutre et de renard,Pas grain (0),non
peaux de marmotte,Pas grain (0),non
peaux de marmotte et renard,,non
peaux de maroquins,Pas grain (0),non
peaux de maroquins du Levant,,non
peaux de martre,Pas grain (0),non
peaux de martre commune et en pointe,Pas grain (0),non
peaux de martre du Canada,Pas grain (0),non
peaux de martre en queues,Pas grain (0),non
peaux de martre passées,Pas grain (0),non
peaux de martre queues,,non
peaux de martre zibeline,Pas grain (0),non
peaux de moke,Pas grain (0),non
peaux de mouton,Pas grain (0),non
peaux de mouton basane,Pas grain (0),non
peaux de mouton basane chamois mégie,,non
peaux de mouton blanc,Pas grain (0),non
peaux de mouton chamoisées,Pas grain (0),non
peaux de mouton de passées,Pas grain (0),non
