orthographic,nbr_occurences_ortho,simplification,nbr_occurences_simpl
habits de drap neuf,1,habits de drap neuf,1
habits de drap unis,2,habits de drap uni,2
habits de droguet,1,habits de droguet,1
habits de droguet de soie,1,habits de droguet de soie,1
habits de gogorans,2,habits de gogorans,2
habits de livrée,1,habits de livrée,1
habits de peau,3,habits de peau,3
habits de peau complets,1,habits de peau complets,1
habits de peaux de mouton,1,habits de peaux de mouton,1
habits de Pékin brodés,1,habits de Pékin brodés,1
habits de pelleterie,1,habits de pelleterie,1
habits de pinchina,1,habits de pinchina,1
habits de satin brodé,1,habits de satin brodé,1
habits de soie,14,habits de soie,37
habits de soie brodé d'or,1,habits de soie,37
habits de soldat,2,habits de soldat,2
habits de velours,1,habits de velours,1
habits drap galonnés d'or et d'argent,1,habits de drap galonnés d'argent et d'or,1
habits enrichis,1,habits enrichis,1
habits et ornements d'Eglise,1,habits et ornements d'Eglise,1
habits et taffetas,1,habits et taffetas,1
habits et vestes brodés,1,habits et vestes brodés,1
habits et vestes vieux,1,habits et vestes vieux,1
habits neufs,1,habits neufs,3
habits pour femme,2,habits pour femme,3
habits pour homme,5,habits pour homme,6
habits pour homme brodés d'or,1,habits pour homme brodés d'or,1
habits pour homme et pour femme,1,habits pour homme et pour femme,1
habits supportés,1,habits supportés,3
habits uniformes,1,habits uniformes,1
habits unis,1,habits unis,1
habits vieux,4,habits vieux,5
habits vieux complets,1,habits vieux,5
haches,30,haches,31
haches d'armes,1,haches d'armes,1
haches de fer,24,haches de fer,25
haches de fer et acier,5,haches de fer et d'acier,5
haches et houes,4,haches et houes,4
haches et houes de fer,1,haches et houes de fer,1
haches et houes et serpes,1,haches et houe et serpes,1
haches et serpes,2,haches et serpes,2
haches houes et serpes,57,haches et houes et serpes,59
haches houes serpes,1,haches et houes et serpes,59
haches paille,1,haches paille,1
haches serpes et houes,1,haches et houes et serpes,59
haillons de laine,2,haillons de laine,2
hallebardes,1,hallebardes,1
haltsays,1,haltsays,1
hamacs,34,hamacs,34
hamacs de coton,8,hamacs de coton,8
hameçons,34,hameçons,34
hameçons cassés,1,hameçons cassés,1
hampes de plumes,1,hampes de plumes,1
harancade,20,harancades,21
harancades,1,harancades,21
haras,1,haras,1
hardes,21,hardes,50
hardes à usage,4,hardes à usage,4
hardes capillaire,1,hardes capillaire,1
hardes de gens de mer,1,hardes de gens de mer,3
hardes de matelots,1,hardes de gens de mer,3
hardes de mer,1,hardes de gens de mer,3
hardes de toute sorte,2,hardes,50
hardes diverses,27,hardes,50
hardes diverses pour nègre,1,hardes pour nègre,2
hardes et habillement divers,4,hardes et habits,4
hardes neuves,1,hardes neuves,17
hardes perelle,1,hardes perelle,1
hardes pour nègre,1,hardes pour nègre,2
hardes vieilles,31,hardes vieilles,31
hareng de Nantes,1,hareng de Nantes,1
harengs,67,harengs,77
harengs blancs,397,harengs blancs,415
harengs blancs demi-feuillettes,1,harengs blancs demi-feuillettes,1
harengs blancs feuillettes,1,harengs blancs feuillettes,1
harengs bleus,1,harengs bleus,1
harengs cades,2,harengs cades,2
harengs de blancs,1,harengs blancs,415
harengs de la Baltique petits,1,harengs de la Baltique petits,1
harengs de la pêche nationale,1,harengs de la pêche nationale,1
harengs et maquereaux salés,4,harengs et maquereaux salés,4
harengs frais,3,harengs frais,4
harengs fumés,63,harengs fumés,63
harengs pecs,2,harengs pecs,3
harengs salés,14,harengs salés,27
harengs saurs,250,harengs saurs,262
harengs secs,3,harengs secs,3
harengs sorets,1,harengs saurs,262
haricots,20,haricots,63
haricots blancs,1,haricots blancs,1
haricots confits,2,haricots confits,2
haricots en fèves,1,haricots en fèves,1
haricots en fil,1,haricots en fil,1
haricots lentilles et pois secs,3,haricots et lentilles et pois secs,3
haricots marinés,1,haricots marinés,1
harmodattes,2,hermodatte,44
harnais,32,harnais,33
harnais de carrosses,1,harnais de carrosses,1
harnais de chaises,23,harnais de chaise,23
harnais de cheval,1,harnais de chevaux,20
harnais de chevaux,18,harnais de chevaux,20
harnais de chevaux de selles,1,harnais,33
harnais de cuir,1,harnais de cuir,1
harnais de cuir pour chaises,1,harnais pour chaise de cuir,1
harnais de selles,1,harnais et selles,11
harnais et chaises roulantes,1,harnais et chaises roulantes,1
harnais et housses de chevaux,1,harnais et housses de chevaux,1
harnais et sellerie,3,harnais et selles,11
harnais et selles,1,harnais et selles,11
harnais pour chevaux,1,harnais de chevaux,20
harpes,1,harpes,5
harpes et guitare,1,harpes et guitare,1
harpes guitare et psalterions,2,harpes et guitare et psalterions,2
harpins,1,harpins,1
harpons de scies,1,harpons de scies,1
hartreuse,1,hartreuse,1
hautbois,1,hautbois,2
hayes ou diables de mer,1,diables de mer,1
hebichets de fil de fer,1,hebichets de fil de fer,1
helateas,2,helateas,2
hemitacortum,1,hemitacortum,1
herbages,68,herbages,68
herbes,1,herbes,4
herbes à charpentier,3,herbes à charpentier,3
herbes à col,1,herbes à col,1
herbes à teindre,16,herbes à teindre,21
herbes à teinture,1,herbes à teindre,21
herbes absinthe,2,absinthe,2
herbes amarinées,1,herbes aromatiques,2
herbes aromatiques,1,herbes aromatiques,2
herbes autres,2,herbes,4
herbes autres herbes médicinales,1,herbes médicinales,10
herbes capillaire,97,capillaire en herbes,103
herbes d'absinthe,1,herbes d'absinthe,1
herbes d'acacia,1,herbes d'acacia,1
herbes d'acacia à teindre,1,herbes d'acacia à teindre,1
herbes d'orseille,55,herbes d'orseille,55
herbes d'oseille,5,herbes d'oseille,5
herbes de capillaire,2,capillaire en herbes,103
herbes de sarriette,1,herbes de sarriette,1
herbes de violette,1,herbes de violette,1
herbes émollientes,1,herbes émollientes,1
herbes gaude,16,herbes gaude,16
herbes marjolaine,2,marjolaine,2
herbes mauves,1,herbes mauves,1
herbes médicinales,9,herbes médicinales,10
herbes pérelle,77,herbes pérelle,77
herbes plantes racines fleurs etc.,1,herbes plantes racines fleurs etc.,1
herbes pour la teinture,1,drogues pour la teinture,2
herbes qacrette,1,herbes qacrette,1
herbes sans désignation,1,herbes,4
herbes vaudes,15,herbes vaudes,15
herbes Véronique,1,herbes véroniques,1
herbes vulnéraire,7,herbes vulnéraires,10
herbes vulnéraires,3,herbes vulnéraires,10
hermine,2,hermine,2
herminettes,2,herminettes,2
hermodatte,42,hermodatte,44
herse,1,herse,1
hesses et hirondelles,1,hesses et hirondelles,1
hipocide,3,hipocide,4
hipocite,1,hipocide,4
hipouditte,1,hipouditte,1
histoire naturelle,1,histoire naturelle,1
histoire naturelle coquillages,1,histoire naturelle coquillages,1
homards et autres coquillages pleins à la valeur,1,coquillages pleins et homards à la valeur,1
homards et autres coquillages pleins au kilogramme,1,coquillages pleins et homards au kilogramme,1
homards moules et autres coquillages,1,coquillages homards moules,1
Hondschoote blanche,1,Hondschoote blanche,1
Hondschoote peinte,2,Hondschoote peinte,3
Hondschoote peinte aune,1,Hondschoote peinte,3
hôpitaux,1,hôpitaux,1
hôpitaux à café,1,hôpitaux à café,1
hôpitaux de cuivre,22,hôpitaux de cuivre,47
horloge,8,horloge,33
horloge à réveils,1,horloge à réveils,1
horloge à sable,1,horloge de sable,22
horloge boîtes d'argent,1,horlogerie boîtes d'argent,6
horloge boîtes d'or,1,horlogerie boîtes d'or,4
horloge boîtes de pendules,1,horlogerie boîtes de pendule,3
horloge cadrans,1,horlogerie cadrans,1
horloge chaînes d'argent,1,horlogerie chaînes d'argent,1
horloge chaînes d'or,1,horlogerie chaînes d'or,3
horloge chaînes de cuivre,1,horlogerie chaînes de cuivre,1
horloge commune,4,horloge commune,4
horloge d'église,1,horloge d'église,1
horloge de bois,2,horloge de bois,12
horloge de fer,1,horloge de fer,1
horloge de mer,1,horloge de mer,1
horloge de sable,19,horloge de sable,22
horloge de tables,3,horloge de tables,4
horloge diverse,1,horloge,33
horloge en bois,1,horloge de bois,12
horloge horloge de bois,1,horloge de bois,12
horloge horloge de fer,1,horlogerie horloge de fer,3
horloge monom à montres,1,horlogerie monom à montre,1
horloge monom à pendules,1,horlogerie monom à pendule,1
horloge montres d'argent,1,horlogerie montres d'argent,6
horloge montres d'or,1,horlogerie montres d'or,3
horloge montres de cuivre,1,horlogerie montres de cuivre,3
horloge montres maillées,1,horlogerie montres maillées,1
horloge neuve,1,horloge neuve,1
horloge outils d'horloge,1,horlogerie outils d'horloge,1
horloge pendules,1,horlogerie pendule,20
horloge pendules et réveils,2,horlogerie pendule et réveils,2
horloge ressorts de montres,1,horlogerie ressorts de montre,2
horloge ressorts de pendules,1,horlogerie ressorts de pendule,3
horloge réveils,1,horlogerie réveils,2
horloge timbres,1,horlogerie timbres,1
horlogerie,120,horlogerie,124
horlogerie boîtes d'argent,5,horlogerie boîtes d'argent,6
horlogerie boîtes d'or,3,horlogerie boîtes d'or,4
horlogerie boîtes de montres d'argent,1,horlogerie boîtes de montre d'argent,1
horlogerie boîtes de montres d'or,1,horlogerie boîtes de montre d'or,1
horlogerie boîtes de pendules,2,horlogerie boîtes de pendule,3
horlogerie cadrans d'émail,1,horlogerie cadrans d'émail,1
horlogerie carillon,1,horlogerie carillon,1
horlogerie carillon au-dessous d'un hectogramme,1,horlogerie carillon au-dessous d'une hectogramme,1
horlogerie chaînes d'or,2,horlogerie chaînes d'or,3
horlogerie clefs de montres,1,horlogerie clefs de montre,1
horlogerie d'or,1,horlogerie d'or,1
horlogerie de bois,2,horloge de bois,12
horlogerie de bois pendules,2,pendules de bois,2
horlogerie de pendules,1,horlogerie pendule,20
horlogerie diverse,21,horloge,33
horlogerie en montres d'argent,1,horlogerie montres d'argent,6
horlogerie en pendules de cuivre,1,horlogerie pendule de cuivre,2
horlogerie et carillon,1,horlogerie et carillon,1
horlogerie fournitures,2,horlogerie fournitures,3
horlogerie fournitures d'horlogerie,1,horlogerie fournitures,3
horlogerie horloge,3,horloge,33
horlogerie horloge de bois,2,horloge de bois,12
horlogerie horloge de fer,2,horlogerie horloge de fer,3
horlogerie horloge de sable,2,horloge de sable,22
horlogerie horloge de tables,1,horloge de tables,4
horlogerie horloge en bois,2,horloge de bois,12
horlogerie horlogerie pendule,1,horlogerie pendule,20
horlogerie montres d'argent,4,horlogerie montres d'argent,6
horlogerie montres d'or,2,horlogerie montres d'or,3
horlogerie montres de cuivre,2,horlogerie montres de cuivre,3
horlogerie montres de métal,1,horlogerie montres de métal,1
horlogerie mouvements de montres,6,horlogerie mouvements de montre,6
horlogerie mouvements de pendules,4,horlogerie mouvements de pendule,4
horlogerie ouvrages d'horlogerie (montés),1,ouvrages d'horlogerie montés,3
horlogerie ouvrages montés,2,ouvrages d'horlogerie montés,3
horlogerie pendules,17,horlogerie pendule,20
horlogerie pendules de cuivre,1,horlogerie pendule de cuivre,2
horlogerie principalement en bois,1,horloge de bois,12
horlogerie ressorts,1,ressorts,2
horlogerie ressorts de montres,1,horlogerie ressorts de montre,2
horlogerie ressorts de pendules,2,horlogerie ressorts de pendule,3
horlogerie réveils,1,horlogerie réveils,2
hôtes,1,hôtes,1
hôtes d'osier,3,hôtes d'osier,3
houblon,77,houblon,78
houes,12,houes,12
houes de fer,17,houes de fer,17
houes de serpes,1,houes et serpes,21
houes et serpes,20,houes et serpes,21
houes haches et serpes,4,houes haches et serpes,4
houille,1,houille,2
houille autres frontières,2,houille frontières,2
houille importée par mer,1,houille par mer,2
houille importée par terre,1,houille par terre,1
houille par mer,1,houille par mer,2
houille par terre Ardennes par la rivière de la Meuse,1,houille par Ardennes et Meuse,1
houille par terre Ardennes par tout autre voie,1,houille par terre Ardennes et autre,1
houille par terre de la mer à Baisieux exclusivement,1,houille par mer à Baisieux,1
houppes de cygnes,2,houppe de cygne,3
housses,1,housses,1
housses de chevaux,13,housses de chevaux,13
housses de chevaux enrichies,1,housses de chevaux enrichie,1
housses de chevaux et faux,1,housses de chevaux et faux,1
housses de chevaux et faux et fourreaux garnis de soie,1,housses de chevaux et faux et fourreaux garnis de soie,1
housses de chevaux garnies d'or et d'argent,1,housses de chevaux garnies d'argent et d'or,1
housses de drap,4,housses de drap,5
housses de drap ???,1,housses de drap,5
housses de lit,2,housses de lit,2
housses de selles,1,housses de selles,1
housses de velours,1,housses de velours,1
housses en drap et velours,2,housses de drap et de velours,2
housses et faux fourreaux,3,housses et faux fourreaux,3
housses et faux fourreaux garnis d'argent,1,housses et faux fourreaux garnis d'argent,1
housses et harnais de mulet,1,harnais et housses de mulet,1
housses galonnées,2,housses galonnées,2
housses galonnées d'or,4,housses galonnées d'or,4
housses galonnées d'or et d'argent,1,housses galonnées d'or et d'argent,1
housses garnies d'or,1,housses garnies d'or,2
housses garnies et or,1,housses garnies d'or,2
hubalingue,1,hubalingue,1
hubellimeus,1,hubellimeus,1
huile,18,huile,20
huile à ???,1,huile à ???,1
huile à brûler,33,huile à brûler,33
huile à brûler de graine,1,huile à brûler de graine,1
huile à lin,1,huile de lin,668
huile ambrée,1,huile ambrée,1
huile blanche,1,huile blanche,1
huile carabé,1,huile carabée,1
huile chimique,1,huile chimique,1
huile commune,3,huile commune,3
huile commune d'olive,1,huile commune d'olive,1
huile concrète de cacao de laurier,1,huile concrète de cacao et de laurier,1
huile Copahu,1,huile de copahu,45
huile d'absinthe,1,huile d'absinthe,2
huile d'Aix,2,huile d'Aix,2
huile d'amandes,38,huile d'amandes,39
huile d'amandes douces,12,huile d'amandes douces,14
huile d'ambre,5,huile d'ambre,5
huile d'anis,22,huile d'anis,22
huile d'aspic,46,huile d'aspic,46
huile d'élite dite keurolie,1,huile d'élite dite keurolie,1
huile d'enc,1,huile d'enc,1
huile d'étain,1,huile d'étain,1
huile d'œillette de noix de pavots,2,huile d'œillette,3
huile d'œillette ou de pavots,1,huile d'œillette,3
huile d'olive,1962,huile d'olive,1977
huile d'olive à manger,1,huile d'olive à manger,1
huile d'olive blanche de Gênes,1,huile d'olive blanche de Gênes,1
huile d'olive comestible,1,huile d'olive comestible,1
huile d'olive commune,16,huile d'olive commune,16
huile d'olive de fèce ou fie d'huile,1,huile d'olive de fèce ou fie d'huile,1
huile d'olive et autres pour fabrique,1,huile d'olive et autres pour fabrique,1
huile d'olive fine,64,huile d'olive fine,64
huile d'olive importée en grande partie à Marseille,1,huile d'olive importée en grande partie à Marseille,1
huile d'olive ne pouvant servir qu'aux fabriques,1,huile d'olive pour fabrique,8
huile d'olive ne pouvant servir qu'aux fabriques (de la Corse),1,huile d'olive pour fabrique de la Corse,1
huile d'olive pour fabrique,5,huile d'olive pour fabrique,8
huile d'olive sorties de l'île de Corse pour la France,1,huile d'olive Corse pour la France,1
huile d'ours,1,huile d'ours,1
huile de baleine,71,huile de baleine,77
huile de baleine en barriques,1,huile de baleine,77
huile de baleine en livre,5,huile de baleine,77
huile de baleine et de morue,16,huile de baleine et de morue,16
huile de baume,1,huile de baume,1
huile de benedie,1,huile de benedie,1
huile de benjoin,1,huile de benjoin,1
huile de brique,1,huile de brique,1
huile de cacao,2,huile de cacao,2
huile de cachalot,1,huile de cachalot,1
huile de cade,4,huile de cade,4
huile de cahouanne,3,huile de cahouanne,3
huile de cannelle,9,huile de cannelle,9
huile de Capahu ou Copahu,2,huile de copahu,45
huile de carabé,6,huile de carabe,7
huile de carbes,1,huile de carabe,7
huile de carde,3,huile de carde,3
huile de casse genièvre cède cédrin,1,huile de casse cède cédrin genièvre,1
huile de castor,1,huile de castor,1
