goods_simpl_classification,nbr_occurences_simpl,grains_classification,obsolete,nbr_occurences_grains
dentelle de fil de soie,5,Pas grain (0),non,539069
dentelle de fil dorure d'argent,2,Pas grain (0),non,539069
dentelle de fil du Puy,68,Pas grain (0),non,539069
dentelle de fil du Puy et ???,2,Pas grain (0),non,539069
dentelle de fil et de soie,10,Pas grain (0),non,539069
dentelle de fil et soie,49,Pas grain (0),non,539069
dentelle de fil et tulle,31,Pas grain (0),non,539069
dentelle de fil et Valenciennes,3,Pas grain (0),non,539069
dentelle de fil fine,23,Pas grain (0),non,539069
dentelle de fil grosse,32,Pas grain (0),non,539069
dentelle de Flandre,7,Pas grain (0),non,539069
dentelle de France,1,Pas grain (0),non,539069
dentelle de gaze,1,,non,1391
dentelle de Gisors,1,Pas grain (0),non,539069
dentelle de Lille,2,Pas grain (0),non,539069
dentelle de Malines,3,Pas grain (0),non,539069
dentelle de Normandie,2,Pas grain (0),non,539069
dentelle de pays,2,Pas grain (0),non,539069
dentelle de Rouen,1,Pas grain (0),non,539069
dentelle de soie,515,Pas grain (0),non,539069
dentelle de soie au quart,1,Pas grain (0),non,539069
dentelle de soie blanche,3,Pas grain (0),non,539069
dentelle de soie blonde,70,Pas grain (0),non,539069
dentelle de soie de Rouen,3,Pas grain (0),non,539069
dentelle de soie et de fil,1,Pas grain (0),non,539069
dentelle de soie noire,1,Pas grain (0),non,539069
dentelle de toute autre sorte que soie,1,Pas grain (0),non,539069
dentelle dorure d'argent,12,Pas grain (0),non,539069
dentelle dorure d'argent et d'or,13,Pas grain (0),non,539069
dentelle dorure d'or,7,Pas grain (0),non,539069
dentelle dorure d'or faux,4,Pas grain (0),non,539069
dentelle du Havre,15,Pas grain (0),non,539069
dentelle du pays,2,,non,1391
dentelle du Puy,187,Pas grain (0),non,539069
dentelle du Puy en soie,1,,non,1391
dentelle en coiffures et manchettes,1,Pas grain (0),non,539069
dentelle en dorure,5,Pas grain (0),non,539069
dentelle et blonde,19,Pas grain (0),non,539069
dentelle et galon et passementerie,54,Pas grain (0),non,539069
dentelle et galon et passementerie et ruban,28,Pas grain (0),non,539069
dentelle fine,30,Pas grain (0),non,539069
dentelle grosse,18,Pas grain (0),non,539069
dentelle mi soie,3,Pas grain (0),non,539069
dentelle moyenne,1,Pas grain (0),non,539069
dents d'éléphant,348,Pas grain (0),non,539069
dents d'éléphant entières,4,Pas grain (0),non,539069
dents d'éléphant entières des entrepôts,1,Pas grain (0),non,539069
dents d'éléphant sciées,4,Pas grain (0),non,539069
dents de cheval marin,4,Pas grain (0),non,539069
dents de chien marin,2,Pas grain (0),non,539069
dents de morphil,103,Pas grain (0),non,539069
dents de vache marine,15,Pas grain (0),non,539069
der demi-plat,1,Pas grain (0),non,539069
derle,6,Pas grain (0),non,539069
dés,1,Pas grain (0),non,539069
dés à coudre,38,Pas grain (0),non,539069
dés à coudre de cuivre,6,Pas grain (0),non,539069
dés à coudre de cuivre et fer,1,Pas grain (0),non,539069
dés à coudre de fer,4,Pas grain (0),non,539069
dés à jouer,13,Pas grain (0),non,539069
dés d'acier,4,Pas grain (0),non,539069
dés de cuivre,34,Pas grain (0),non,539069
dés de fer,28,Pas grain (0),non,539069
dés de laiton,10,Pas grain (0),non,539069
déshabillé,1,Pas grain (0),non,539069
despeigne,1,Pas grain (0),non,539069
dessins de papier,1,Pas grain (0),non,539069
dessus de souliers brodés,2,Pas grain (0),non,539069
dessus de table de marbre,1,Pas grain (0),non,539069
devant d'autel,1,,non,1391
devant de vestes,1,Pas grain (0),non,539069
devant de vestes de basin,1,Pas grain (0),non,539069
dévidoir,2,Pas grain (0),non,539069
diables de mer,1,Pas grain (0),non,539069
diactamy en fleurs,1,Pas grain (0),non,539069
diagedum,1,Pas grain (0),non,539069
diagrede,1,Pas grain (0),non,539069
dialbequier,1,Pas grain (0),non,539069
diamants,1,Pas grain (0),non,539069
diamants brutes,1,Pas grain (0),non,539069
diamants bruts,3,Pas grain (0),non,539069
diamants fins,2,Pas grain (0),non,539069
diamants perles et pierres fines,50,Pas grain (0),non,539069
diamants perles et pierres fines non montés,13,Pas grain (0),non,539069
diamants taillés,6,Pas grain (0),non,539069
dictame,12,Pas grain (0),non,539069
dictionnaire du commerce,1,Pas grain (0),non,539069
dictionnaire hollandais,1,Pas grain (0),non,539069
dimelle,1,Pas grain (0),non,539069
dimitte et futaine,2,Pas grain (0),non,539069
dindes,5,Pas grain (0),non,539069
dindonneaux,10,Pas grain (0),non,539069
dindons,37,Pas grain (0),non,539069
dissouchaie,0,Pas grain (0),oui,539069
dissouchaye,35,Pas grain (0),non,539069
distillats,1,Pas grain (0),non,539069
ditors,2,Pas grain (0),non,539069
divers,2987,Pas grain (0),non,539069
dividivi,1,Pas grain (0),non,539069
doloirs,1,Pas grain (0),non,539069
domino,2,Pas grain (0),non,539069
dominoterie,134,Pas grain (0),non,539069
dominoterie en images,9,Pas grain (0),non,539069
dominoterie et cartes géographiques,2,Pas grain (0),non,539069
doraze,4,Pas grain (0),non,539069
doreas,0,Pas grain (0),oui,539069
doréas,8,Pas grain (0),non,539069
doréas brodées en couleur,1,Pas grain (0),non,539069
doreas de Zurich,0,Pas grain (0),oui,539069
doréas de Zurich,3,Pas grain (0),non,539069
dorpins en pierre,1,Pas grain (0),non,539069
dorure,12,Pas grain (0),non,539069
dorure de Zurich,1,Pas grain (0),non,539069
dorure en galon fine,4,Pas grain (0),non,539069
dorure et soie,1,Pas grain (0),non,539069
dorure fausse,78,Pas grain (0),non,539069
dorure fausse en or et argent,5,Pas grain (0),non,539069
dorure fausse en or et argent battu tiré et laminé,8,Pas grain (0),non,539069
dorure fausse et fine,1,Pas grain (0),non,539069
dorure filée,0,Pas grain (0),oui,539069
dorure fine,774,Pas grain (0),non,539069
dorure fine en galon d'or,1,Pas grain (0),non,539069
dorure fine sur soie,1,Pas grain (0),non,539069
dos gorges et ventres de fouines martes et renard,2,Pas grain (0),non,539069
dos gorges et ventres de petit gris,2,Pas grain (0),non,539069
dos gorges et ventres de petit-gris,0,Pas grain (0),oui,539069
dospin en pierre,2,Pas grain (0),non,539069
dossiers de chaises,11,Pas grain (0),non,539069
doublage de bois de pin,1,Pas grain (0),non,539069
doublures de martre pour habits,1,Pas grain (0),non,539069
doublures de petis gris,1,Pas grain (0),non,539069
douelles,65,Pas grain (0),non,539069
douelles à barils,16,Pas grain (0),non,539069
douelles à barricage,0,,oui,1391
douelles à barricages,2,,non,1391
douelles à barrique,0,Pas grain (0),oui,539069
douelles à barriques,81,Pas grain (0),non,539069
douelles à barriques 3m 1/8,1,Pas grain (0),non,539069
douelles à barriques neuves,1,,non,1391
douelles à barriques vieilles,3,Pas grain (0),non,539069
douelles à bottes,1,Pas grain (0),non,539069
douelles à buses,2,Pas grain (0),non,539069
douelles à busses,0,Pas grain (0),oui,539069
douelles à cave,1,Pas grain (0),non,539069
douelles à cuve,1,Pas grain (0),non,539069
douelles à fond,12,Pas grain (0),non,539069
douelles à pièce,1,Pas grain (0),non,539069
douelles à pipe,0,Pas grain (0),oui,539069
douelles à pipes,69,Pas grain (0),non,539069
douelles à poinçons,1,,non,1391
douelles à quart,7,Pas grain (0),non,539069
douelles à tierçons,3,Pas grain (0),non,539069
douelles à tonneau,168,Pas grain (0),non,539069
douelles à tonneau vieilles,1,Pas grain (0),non,539069
douelles de chêne,2,Pas grain (0),non,539069
douelles de sapin,13,Pas grain (0),non,539069
douelles en barriques,1,Pas grain (0),non,539069
douelles fonçaille,6,Pas grain (0),non,539069
douelles fonçaille 2m 1/2,1,Pas grain (0),non,539069
douelles ganivelles,6,Pas grain (0),non,539069
douelles pour barrique,1,Pas grain (0),non,539069
douelles pour fonds,1,Pas grain (0),non,539069
douelles vieilles,3,Pas grain (0),non,539069
douelles vieilles à barriques,1,Pas grain (0),non,539069
doutis,8,Pas grain (0),non,539069
doutis blancs,2,Pas grain (0),non,539069
doutis bleus,1,Pas grain (0),non,539069
douvain,1,Pas grain (0),non,539069
douvelles,1,Pas grain (0),non,539069
douvelles de sapin,1,Pas grain (0),non,539069
douves,1,Pas grain (0),non,539069
douves à tonneaux,32,Pas grain (0),non,539069
douves de deux pouces,1,Pas grain (0),non,539069
drache,0,Pas grain (0),oui,539069
drache de bière,0,Pas grain (0),oui,539069
dracodium,1,Pas grain (0),non,539069
dragée,130,Pas grain (0),non,539069
dragée de Keyser,3,Pas grain (0),non,539069
dragées,11,Pas grain (0),non,539069
dragonnes,1,Pas grain (0),non,539069
dragonnes d'épée,1,Pas grain (0),non,539069
drague de bière,2,Pas grain (0),non,539069
drague de soie,1,,non,1391
drap,859,Pas grain (0),non,539069
drap 20 lignes,1,Pas grain (0),non,539069
drap à doubler,4,Pas grain (0),non,539069
drap à la valeur,1,Pas grain (0),non,539069
drap à matelot,1,Pas grain (0),non,539069
drap à nègre,2,Pas grain (0),non,539069
drap à sucre,6,Pas grain (0),non,539069
drap anglais,1,Pas grain (0),non,539069
drap au 6ème de soie,4,Pas grain (0),non,539069
drap au sixième de soie,3,Pas grain (0),non,539069
drap avarié,5,Pas grain (0),non,539069
drap blanc,3,Pas grain (0),non,539069
drap blanc d'Espagne,1,Pas grain (0),non,539069
drap blanc de Bremer,2,Pas grain (0),non,539069
drap blanc de douzaine,1,Pas grain (0),non,539069
drap blanc de douzaine aune,1,Pas grain (0),non,539069
drap blanc de Hollande,1,Pas grain (0),non,539069
drap blanc de laine,1,Pas grain (0),non,539069
drap blanc du Nord,1,Pas grain (0),non,539069
drap blanc et écarlate,1,Pas grain (0),non,539069
drap blanc fin,2,Pas grain (0),non,539069
drap blanc par aune,2,Pas grain (0),non,539069
drap bleu,1,Pas grain (0),non,539069
drap bleu gros,1,,non,1391
drap brodé au ciseau en soie,1,Pas grain (0),non,539069
drap brodé de soie,16,Pas grain (0),non,539069
drap brodé en or et argent,5,Pas grain (0),non,539069
drap brodé en soie,3,Pas grain (0),non,539069
drap buras,1,Pas grain (0),non,539069
drap bure,1,Pas grain (0),non,539069
drap cad ???,1,Pas grain (0),non,539069
drap calimouk,1,Pas grain (0),non,539069
drap calimouk de Sedan 20 lignes,1,Pas grain (0),non,539069
drap calimouk de Sedan 350 lignes,1,Pas grain (0),non,539069
drap callemande,0,Pas grain (0),oui,539069
drap cammise,2,Pas grain (0),non,539069
drap casimir,0,Pas grain (0),oui,539069
drap commun,313,Pas grain (0),non,539069
drap commun d'Angleterre,1,Pas grain (0),non,539069
drap cordeillat,41,Pas grain (0),non,539069
drap cordeillat de Colmar,2,Pas grain (0),non,539069
drap cosinis,1,Pas grain (0),non,539069
drap crêpe,2,Pas grain (0),non,539069
drap crêpe de Reims,4,Pas grain (0),non,539069
drap d',3,,non,1391
drap d'Abbeville,115,Pas grain (0),non,539069
drap d'Abbeville Valenciennes,1,,non,1391
drap d'Amboise,1,Pas grain (0),non,539069
drap d'Amiens,36,Pas grain (0),non,539069
drap d'Andelis,0,Pas grain (0),oui,539069
drap d'Andelys,19,Pas grain (0),non,539069
drap d'Angleterre,24,Pas grain (0),non,539069
drap d'Angleterre aune,1,Pas grain (0),non,539069
drap d'Angleterre des prises,3,Pas grain (0),non,539069
drap d'Angleterre et drap d'Espagne et drap de Hollande,11,,non,1391
drap d'Angleterre et draps d'Espagne et draps de Hollande,0,Pas grain (0),oui,539069
drap d'Angleterre noir,1,Pas grain (0),non,539069
drap d'argent et d'or et de soie,1,Pas grain (0),non,539069
drap d'Arnetal,40,Pas grain (0),non,539069
drap d'aucrin,1,Pas grain (0),non,539069
drap d'Aumale,2,Pas grain (0),non,539069
drap d'Elbeuf,394,Pas grain (0),non,539069
drap d'Elbeuf de retour,1,Pas grain (0),non,539069
drap d'Elbeuf de velours,1,Pas grain (0),non,539069
drap d'Espagne,3,Pas grain (0),non,539069
drap d'Espagne aune,1,Pas grain (0),non,539069
drap d'Espagne teint,1,Pas grain (0),non,539069
drap d'estames,1,Pas grain (0),non,539069
drap d'or et d'argent fin,2,Pas grain (0),non,539069
drap Damas,1,Pas grain (0),non,539069
drap dauphine,113,Pas grain (0),non,539069
drap de ?,6,Pas grain (0),non,539069
drap de Beauvais,11,Pas grain (0),non,539069
drap de Bergopzoom,1,Pas grain (0),non,539069
drap de billard,2,Pas grain (0),non,539069
drap de Bolbec,1,Pas grain (0),non,539069
drap de Bourbon,1,Pas grain (0),non,539069
drap de bourbon peint,1,Pas grain (0),non,539069
drap de Carcassonne,213,Pas grain (0),non,539069
drap de Carcassonne et écarlate,1,Pas grain (0),non,539069
drap de Carcassonne fin,1,,non,1391
drap de castor,12,Pas grain (0),non,539069
drap de castor par aune,2,Pas grain (0),non,539069
drap de cérémonie,2,Pas grain (0),non,539069
drap de Champagne,1,Pas grain (0),non,539069
drap de Cherbourg,1,Pas grain (0),non,539069
drap de Cobras gros,1,Pas grain (0),non,539069
drap de Colmar,6,Pas grain (0),non,539069
drap de cordeillat,3,Pas grain (0),non,539069
drap de coton,19,Pas grain (0),non,539069
drap de coton de Rouen,1,,non,1391
drap de coton et de fil,2,Pas grain (0),non,539069
drap de coton et étoffe de coton,25,Pas grain (0),non,539069
drap de coton et teint,1,Pas grain (0),non,539069
drap de coton et velours,1,,non,1391
drap de coton et velours de coton,5,Pas grain (0),non,539069
drap de coton imprimé,4,Pas grain (0),non,539069
drap de Darnétal,26,,non,1391
drap de dauphine,1,Pas grain (0),non,539069
drap de dorure et soie,1,Pas grain (0),non,539069
drap de douzaine,6,Pas grain (0),non,539069
drap de douzaine et teint,1,Pas grain (0),non,539069
drap de douzaine teint aune,1,Pas grain (0),non,539069
drap de droguet,18,Pas grain (0),non,539069
drap de Falaise,3,Pas grain (0),non,539069
drap de fil rouge,1,,non,1391
drap de fil vieux,1,Pas grain (0),non,539069
drap de France,90,Pas grain (0),non,539069
drap de Glasier,1,Pas grain (0),non,539069
drap de glaster,1,Pas grain (0),non,539069
drap de Glaster,1,Pas grain (0),non,539069
drap de glastes,2,Pas grain (0),non,539069
drap de Glates,2,Pas grain (0),non,539069
drap de Glouster,1,Pas grain (0),non,539069
drap de Hollande,12,Pas grain (0),non,539069
drap de Hollande teint,1,Pas grain (0),non,539069
drap de julienne,22,Pas grain (0),non,539069
drap de Korook,1,Pas grain (0),non,539069
drap de la Bouille,2,Pas grain (0),non,539069
drap de laine,440,Pas grain (0),non,539069
drap de laine au ??? de soie,2,Pas grain (0),non,539069
drap de laine au quart de soie,1,Pas grain (0),non,539069
drap de laine avarié,1,Pas grain (0),non,539069
drap de laine brodé de soie,1,Pas grain (0),non,539069
drap de laine commun,10,Pas grain (0),non,539069
drap de laine cordeillat,25,Pas grain (0),non,539069
drap de laine d'Amiens,1,Pas grain (0),non,539069
drap de laine d'Andelys,9,Pas grain (0),non,539069
drap de laine d'Elbeuf,212,Pas grain (0),non,539069
drap de laine de Beauvais,1,Pas grain (0),non,539069
drap de laine de cordeillat,5,Pas grain (0),non,539069
drap de laine de Cours,1,Pas grain (0),non,539069
drap de laine de Lille,15,Pas grain (0),non,539069
drap de laine de Louviers,121,Pas grain (0),non,539069
drap de laine de Nanrabais,4,Pas grain (0),non,539069
drap de laine de Saint-Robert,12,Pas grain (0),non,539069
drap de laine de Sedan,1,Pas grain (0),non,539069
drap de laine de Van Robais,51,Pas grain (0),non,539069
drap de laine de Vir,1,Pas grain (0),non,539069
drap de laine diverse,1,Pas grain (0),non,539069
drap de laine draperie diverse,1,Pas grain (0),non,539069
drap de laine et de soie,1,Pas grain (0),non,539069
drap de laine et petits et étoffes,66,Pas grain (0),non,539069
drap de laine fin,56,Pas grain (0),non,539069
drap de laine gros,2,Pas grain (0),non,539069
drap de laine londrin,79,Pas grain (0),non,539069
drap de laine pour les troupes,4,Pas grain (0),non,539069
drap de Languedoc,150,Pas grain (0),non,539069
drap de Languedoc ordinaire,1,Pas grain (0),non,539069
drap de Languenan,1,Pas grain (0),non,539069
drap de Latte,1,Pas grain (0),non,539069
drap de Lille,19,Pas grain (0),non,539069
drap de Limbourg,3,Pas grain (0),non,539069
drap de Limoux,3,Pas grain (0),non,539069
drap de lin,13,Pas grain (0),non,539069
drap de lin ayant servi,2,Pas grain (0),non,539069
drap de lin vieux,8,Pas grain (0),non,539069
drap de linge commun,1,Pas grain (0),non,539069
drap de lit,55,Pas grain (0),non,539069
drap de lit ayant servi,2,Pas grain (0),non,539069
drap de lit commun,1,Pas grain (0),non,539069
drap de lit de lin,1,Pas grain (0),non,539069
drap de lit neuf,1,Pas grain (0),non,539069
drap de lit ou linceuls,1,,non,1391
drap de lit toile de lin,1,Pas grain (0),non,539069
drap de lit vieux,32,Pas grain (0),non,539069
drap de Lodève,23,Pas grain (0),non,539069
drap de londrin,0,Pas grain (0),oui,539069
drap de Londrin,3,Pas grain (0),non,539069
drap de Louviers,271,Pas grain (0),non,539069
drap de Louviers au sixième de soie,1,Pas grain (0),non,539069
drap de Louvres,0,Pas grain (0),oui,539069
drap de Lyon,3,Pas grain (0),non,539069
drap de Maroc,0,Pas grain (0),oui,539069
drap de Maroc teint de douzaine,0,Pas grain (0),oui,539069
drap de montagne,6,Pas grain (0),non,539069
drap de Montauban,36,Pas grain (0),non,539069
drap de Montauban petite,1,Pas grain (0),non,539069
drap de Moucu,3,Pas grain (0),non,539069
drap de Nîmes,1,Pas grain (0),non,539069
drap de Nison,1,Pas grain (0),non,539069
drap de Normandie,2,Pas grain (0),non,539069
drap de pagnon,1,Pas grain (0),non,539069
drap de Panguede,4,Pas grain (0),non,539069
drap de Picardie,1,Pas grain (0),non,539069
drap de Pie,1,Pas grain (0),non,539069
drap de Pie aune,1,Pas grain (0),non,539069
drap de Poitou,1,Pas grain (0),non,539069
drap de Reims,1,Pas grain (0),non,539069
drap de Reims fil ???,1,Pas grain (0),non,539069
drap de Rome,1,Pas grain (0),non,539069
drap de Romorntin,1,Pas grain (0),non,539069
drap de Rouen,28,Pas grain (0),non,539069
drap de Saint-Lô,1,Pas grain (0),non,539069
drap de Sedan,308,Pas grain (0),non,539069
drap de Sedan 220 lignes,1,Pas grain (0),non,539069
drap de Sedan 25 lignes,1,Pas grain (0),non,539069
drap de Sedan 78 lignes,1,Pas grain (0),non,539069
drap de Sedan de retour,1,Pas grain (0),non,539069
drap de Sedan de velours,1,Pas grain (0),non,539069
drap de Ségovie,1,Pas grain (0),non,539069
drap de Silésie,199,Pas grain (0),non,539069
drap de Sir,2,Pas grain (0),non,539069
drap de soie,11,Pas grain (0),non,539069
drap de Soudrain,6,Pas grain (0),non,539069
drap de Souvier,1,Pas grain (0),non,539069
drap de toile de lin,1,Pas grain (0),non,539069
drap de Tours,1,Pas grain (0),non,539069
drap de Van Robais,22,Pas grain (0),non,539069
drap de vere,2,Pas grain (0),non,539069
drap de vigogne,1,Pas grain (0),non,539069
drap de Vir,17,Pas grain (0),non,539069
drap demi fin de laine,1,Pas grain (0),non,539069
drap des prise,16,Pas grain (0),non,539069
drap des prises,1,Pas grain (0),non,539069
drap dit packlaeken,0,Pas grain (0),oui,539069
drap dit packlaeken aune,0,Pas grain (0),oui,539069
