marchandises,orthographic_normalization_class,état_du_travail,nbr_occurences_source,nbr_occurences_ortho
"2///Matières premières///Brai, goudron et résine",matières premières brai goudron et résines,,9,25
"2///Matières premières///Brai, Goudron, Résine",matières premières brai goudron résines,,8,20
"2///Matières premières///Brai,goudron et résine",matières premières brai goudron résines,,12,20
"2///Matières premières///Bray, goudron, poix et résine",matières premières brai goudron poix et résines,,11,11
2///Matières premières///cendres Diverses,matières premières cendre diverse,,7,27
2///Matières premières///Cendres diverses,matières premières cendre diverse,,20,27
2///Matières premières///Charbon,matières premières charbon,,2,27
2///Matières premières///Charbons,matières premières charbon,,20,27
2///Matières premières///Circes blanche et jaune,matières premières cire blanche et jaune,,6,20
2///Matières premières///Cires blanche et jaune,matières premières cire blanche et jaune,,9,20
2///Matières premières///Cires blanches et jaunes,matières premières cire blanche et jaune,,5,20
2///Matières premières///Cires jaune et blanche,matières premières cire jaune et blanche,,9,22
2///Matières premières///Cires jaune et blanche fondue et en bougies,matières premières cire jaune et blanche fondue et en bougie,,7,7
2///Matières premières///Cuirs appretés,matières premières cuirs appretés,,11,11
2///Matières premières///Cuirs apprétés,matières premières cuirs apprétés,,14,14
2///Matières premières///Cuirs en poil,matières premières cuirs en poil,,44,44
2///Matières premières///Dents d'éléphant,matières premières dents d'éléphant,,1,1
"2///Matières premières///Goudron ,poix et résine",matières premières goudron poix et résines,,6,6
2///Matières premières///Graine de lin,matières premières graine de lin,,7,12
2///Matières premières///Graine de Lin,matières premières graine de lin,,5,12
2///Matières premières///Graines de diverses,matières premières graine de diverses,,4,4
2///Matières premières///Graines de jardin,matières premières graine de jardin,,8,15
2///Matières premières///Graines de trèfle,matières premières graine de trèfle,,3,11
2///Matières premières///Graines diverses,matières premières graine diverse,,7,18
2///Matières premières///Graines diverses et de lin,matières premières graine diverse et de lin,,10,10
2///Matières premières///Houblon,matières premières houblon,,2,2
2///Matières premières///Huile d'olive pour fabriques,matières premières huile d'olive pour fabrique,,16,20
2///Matières premières///Huile de graine,matières premières huile de graine,,6,14
2///Matières premières///Huile de grains,matières premières huile de grain,,4,4
2///Matières premières///Huile de poisson,matières premières huile de poisson,,22,28
2///Matières premières///Huile de poissons,matières premières huile de poisson,,6,28
2///Matières premières///Huiles d'Olive pour fabriques,matières premières huile d'olive pour fabrique,,4,20
2///Matières premières///Pain de navette,matières premières pain de navettes,,1,2
"2///Matières premières///Petasse, vedasses et gravelées",matières premières potasse vedasse et gravelée,,12,32
"2///Matières premières///Potasse, vedasse et gravelées",matières premières potasse vedasse et gravelée,,8,32
"2///Matières premières///Potasses, vedasses et gravelées",matières premières potasse vedasse et gravelée,,12,32
