goods_simpl_classification,nbr_occurences_simpl,sitc_classification,imprimatur,obsolete,nbr_occurences_sitc
étoffe de soie brodée,5,6f,x,non,12147
étoffe de soie brodée d'or,2,6f,x,non,12147
étoffe de soie brodée en dorure,1,6f,x,non,12147
étoffe de soie brodée en soie retour,1,6f,x,non,12147
étoffe de soie crêpe,10,6f,x,non,12147
étoffe de soie croisée,1,6f,,non,12147
étoffe de soie crue,1,6f,x,non,12147
étoffe de soie d'armoisin,1,6f,x,non,12147
étoffe de soie d'or et d'argent faux,3,6f,x,non,12147
étoffe de soie d'Utrecht,1,6f,x,non,12147
étoffe de soie de crêpe,2,6f,x,non,12147
étoffe de soie de fleuret et soie,4,6f,x,non,12147
étoffe de soie de laine,1,6f,x,non,12147
étoffe de soie de lin,1,6f,x,non,12147
étoffe de soie de renvoi,1,6f,,non,12147
étoffe de soie de Saint Bours,1,6f,x,non,12147
étoffe de soie de velours,3,6f,x,non,12147
étoffe de soie des Indes,41,6f,x,non,12147
étoffe de soie dite Florence,1,6f,x,non,12147
étoffe de soie dite milleret,1,6f,x,non,12147
étoffe de soie draps,0,6i,x,oui,21622
étoffe de soie du Levant,12,6f,x,non,12147
étoffe de soie en coton,1,6i,,non,21622
étoffe de soie en dorure,3,6f,x,non,12147
étoffe de soie en dorure aune,1,6f,x,non,12147
étoffe de soie en drap,1,6f,x,non,12147
étoffe de soie en fleurs,1,6f,,non,12147
étoffe de soie en laine,1,6f,x,non,12147
étoffe de soie en or et argent,1,6f,,non,12147
étoffe de soie en velours,1,6f,x,non,12147
étoffe de soie et ???,2,6h,x,non,16365
étoffe de soie et d'argent,1,6f,,non,12147
étoffe de soie et de poil,1,6f,x,non,12147
étoffe de soie et de velours d'Utrecht,23,6f,x,non,12147
étoffe de soie et de velours de Gênes,4,6f,x,non,12147
étoffe de soie et galets,1,???,,non,4790
étoffe de soie et prunelle de laine,1,6i,x,non,21622
étoffe de soie et ruban,1,6f,,non,12147
étoffe de soie et soierie,6,6f,x,non,12147
étoffe de soie fabriquée,1,6f,,non,12147
étoffe de soie façonnée,2,6f,,non,12147
étoffe de soie fleuret et soie,1,6f,x,non,12147
étoffe de soie herbage,1,6i,x,non,21622
étoffe de soie mêlée d'argent et d'or faux,1,6f,,non,12147
étoffe de soie mêlée d'argent et d'or fin,1,6f,,non,12147
étoffe de soie mêlée de fil,3,6f,,non,12147
étoffe de soie mêlée de laine ou de coton,1,6f,,non,12147
étoffe de soie mi soie,191,6f,x,non,12147
étoffe de soie pays étrangers,6,6f,x,non,12147
étoffe de soie pièce,1,6f,x,non,12147
étoffe de soie pou de soie,1,6f,x,non,12147
étoffe de soie pure,2,6f,x,non,12147
étoffe de soie pure unie,3,6f,,non,12147
étoffe de soie raz ??? cir,1,6f,x,non,12147
étoffe de soie raz ??? fin,2,6f,x,non,12147
étoffe de soie riche,4,6f,x,non,12147
étoffe de soie unie,2,6f,,non,12147
étoffe de taffetas,1,6f,x,non,12147
étoffe de velours,18,6i,x,non,21622
étoffe de velours d'Utrecht,6,6i,x,non,21622
étoffe de velours de coton,13,6g,,non,11410
étoffe de velours de soie,157,6f,,non,12147
étoffe de voile,2,7,x,non,8907
étoffe demi soie,5,6f,x,non,12147
étoffe des Iles,4,6i,,non,21622
étoffe des Indes,19,6i,x,non,21622
étoffe des Indes vestes brodées,1,9b,,non,6225
étoffe des prises,2,6i,,non,21622
étoffe dite calutras de coton et de soie,1,6f,,non,12147
étoffe dite pauvre madame,1,6i,x,non,21622
étoffe diverse couvertures et draperie pour le gouvernement,5,6i,,non,21622
étoffe dorure,24,6i,x,non,21622
étoffe dorure d'argent,18,6i,x,non,21622
étoffe dorure d'argent et d'or,147,6i,x,non,21622
étoffe dorure d'argent et d'or faux,8,6i,x,non,21622
étoffe dorure d'argent fin et d'or,41,6i,,non,21622
étoffe dorure d'or,48,6i,x,non,21622
étoffe dorure d'or faux,1,6i,x,non,21622
étoffe dorure de soie,1,6f,,non,12147
étoffe dorure et de soie,31,6f,x,non,12147
étoffe dorure fausse,1,6i,x,non,21622
étoffe dorure fine et de soie,1,6f,x,non,12147
étoffe droguet,16,6i,x,non,21622
étoffe en bours du Levant,1,6i,x,non,21622
étoffe en dorure et galon et passementerie,24,6i,x,non,21622
étoffe en or mêlée de soie,27,6f,x,non,12147
étoffe et galon d'argent et d'or,1,6i,x,non,21622
étoffe et gaze et toile des Indes,1,6i,x,non,21622
étoffe et lainages,1,6i,,non,21622
étoffe et ouvrage de soie,0,6f,,oui,12147
étoffe et ouvrages de soie,1,6f,,non,12147
étoffe et ruban de soie,4,6f,,non,12147
étoffe et rubanerie de fleuret,10,6f,,non,12147
Étoffe étamine fine,4,6i,,non,21622
étoffe éternelle,1,6i,,non,21622
étoffe éternelle de laine,2,6e,,non,11419
étoffe éternelle mélangée de soie,1,6f,,non,12147
étoffe étrangère,5,6i,x,non,21622
étoffe étrangère de jude,1,6i,x,non,21622
étoffe façonnée,100,6i,x,non,21622
étoffe façonnée de soie pure,2,6f,,non,12147
étoffe filoselle,4,6f,x,non,12147
étoffe filoselle de soie,1,6f,x,non,12147
étoffe filoselle et laine,3,6f,,non,12147
étoffe finette,2,6i,x,non,21622
étoffe flamande de mauvaise qualité,1,6i,x,non,21622
étoffe fleuret,5,6f,x,non,12147
étoffe fleuret et de soie,3,6f,x,non,12147
étoffe fleuret et soie,8,6f,x,non,12147
étoffe flotte,2,6i,,non,21622
étoffe flotte des Indes,1,6i,,non,21622
étoffe grosse de laine,1,6e,x,non,11419
étoffe herbage,2,6i,,non,21622
étoffe herbes,1,6d,x,non,8013
étoffe impériale,2,6i,x,non,21622
étoffe laine de soie,1,6f,x,non,12147
étoffe manchettes,1,9b,x,non,6225
étoffe mélangée au ??? soie,5,6h,x,non,16365
étoffe mélangée de bourre en molleton,1,6i,,non,21622
étoffe mélangée de coton et de soie,12,6f,,non,12147
étoffe mélangée de fil et de soie,1,6f,,non,12147
étoffe mélangée de fleuret et de soie,1,6f,,non,12147
étoffe mêlée de coton et de soie,3,6f,,non,12147
étoffe mêlée de fil de soie,8,6f,,non,12147
étoffe mêlée de fil et de soie,3,6f,,non,12147
étoffe mêlée de soie ?,1,6h,,non,16365
étoffe mêlée de soie ???,1,6h,,non,16365
étoffe mêlée de soie à peu,63,6f,,non,12147
étoffe mêlée de soie à peu de soie,111,6f,,non,12147
étoffe mêlée de soie au 4/5e,4,6f,x,non,12147
étoffe mêlée de soie peluches,133,6i,,non,21622
étoffe mêlée de soie peu,13,6f,,non,12147
étoffe mêlée éternelle au ? de soie,1,6f,x,non,12147
étoffe mi soie,138,6f,x,non,12147
étoffe noire,1,6i,x,non,21622
étoffe peinte,1,6i,x,non,21622
étoffe peluches communes,1,6e,x,non,11419
étoffe peluches de laine,1,6e,x,non,11419
étoffe peu de soie,1,6f,x,non,12147
étoffe poil en panne à long poil,1,6e,x,non,11419
étoffe pour talits,1,6i,x,non,21622
étoffe pure brochée d'or fin,1,6i,,non,21622
étoffe pure brochée de soie,1,6f,,non,12147
étoffe pure façonnée,1,6i,,non,21622
étoffe pure unie,1,6i,,non,21622
étoffe pures et mouchoirs de fleuret,1,6f,,non,12147
étoffe refoulée,1,6i,,non,21622
étoffe riche,116,6i,x,non,21622
étoffe riche en or,1,6i,x,non,21622
étoffe riche en or et argent,24,6i,x,non,21622
étoffe riche or et argent,1,6i,x,non,21622
étoffe riche ou or et argent,1,6i,x,non,21622
étoffe royale,1,6i,,non,21622
étoffe soie au quart,2,6f,,non,12147
étoffe soie crêpe,2,6f,x,non,12147
étoffe soie des Indes,1,6f,x,non,12147
étoffe soierie,2,6f,x,non,12147
étoffe taffetas,5,6f,x,non,12147
étoffes brochées d'argent et d'or faux de soie,1,6f,,non,12147
étoffes brochées d'argent et d'or fin de soie,2,6f,,non,12147
étoffes brochées de pure soie et unies,39,6f,,non,12147
étoffes brochées de soie de soie,2,6f,,non,12147
étoffes brochées de soie et unies,70,6f,,non,12147
étoffes d'écorce,2,6b,,non,17579
étoffes de bourre de soie façon cachemire,1,6f,,non,12147
étoffes de cachemire de poil,1,6e,,non,11419
étoffes de chanvre ou de lin,2,6h,,non,16365
étoffes de chanvre ou de lin mêlés,1,6h,,non,16365
étoffes de coton,3,6g,,non,11410
étoffes de coton basin piqués mousselinettes,2,6g,,non,11410
étoffes de coton brochées et brodées et imprimées,2,6g,,non,11410
étoffes de coton simples,2,6g,,non,11410
étoffes de crin,1,6e,,non,11419
étoffes de crin et de poils,2,6e,,non,11419
étoffes de fil,1,6i,x,non,21622
étoffes de laine,2,6e,,non,11419
étoffes de lin et de chanvre mêlés,1,6i,,non,21622
étoffes de plocq,2,6e,x,non,11419
étoffes de poil,1,6e,,non,11419
étoffes de soie blonde,5,6f,,non,12147
étoffes de soie mêlée,2,6f,,non,12147
étoffes de soie unis,2,6f,,non,12147
étoffes des Indes,6,6i,,non,21622
étoffes en feuilles,8,6i,,non,21622
étoffes et fer en barres,1,9b,,non,6225
étoffes et gaze et crêpe et tulle,10,6i,x,non,21622
étoffes façonnés de soie,2,6f,,non,12147
étoupes,206,2,x,non,73883
étoupes à calfater,9,2,,non,73883
étoupes blanches,2,2,x,non,73883
étoupes de chanvre,137,2,x,non,73883
étoupes de coton,1,2,,non,73883
étoupes de filoselle,1,2,,non,73883
étoupes de laine,1,2,,non,73883
étoupes de lin,15,2,x,non,73883
étoupes de soie,83,2,x,non,73883
étoupes de vieux cordages,1,2,,non,73883
étoupes et cordes de lin,1,2,,non,73883
étoupes noires,10,2,x,non,73883
étriers,6,7,,non,8907
étrille de fer,16,6j,x,non,39131
étrilles,1,6j,,non,39131
étuis,13,8,x,non,59809
étuis à cachets,1,8,x,non,59809
étuis à cure-dents,2,8,x,non,59809
étuis à lunettes,1,8,x,non,59809
étuis d'or,2,8,x,non,59809
étuis d'or en burgos,1,8,,non,59809
étuis de bergamote,2,8,,non,59809
étuis de bois et étuis de paille et boîtes de papier,2,8,,non,59809
étuis de carton,1,8,,non,59809
étuis de chapeaux,2,8,x,non,59809
étuis de chirurgie,1,8,x,non,59809
étuis de ciseaux garnis d'argent,1,8,x,non,59809
étuis de mathématique,1,8,x,non,59809
étuis et tabatières et autres bijouteries garnies d'argent et d'or,2,8,,non,59809
étuis et tabatières garnis d'argent,1,8,x,non,59809
étuis et tabatières garnis d'argent et d'or,1,8,x,non,59809
étuis et tabatières garnis d'or,1,8,x,non,59809
étuis garnis,2,8,,non,59809
étuis pour plumes à écrire,1,8,,non,59809
étuve,3,7,x,non,8907
étuve commune,1,7,x,non,8907
étuve de cuivre,2,7,,non,8907
étuve de fer,28,7,x,non,8907
étuve de fer à sucre,2,7,x,non,8907
euphorbe,38,2,x,non,73883
éventails,220,8,x,non,59809
éventails à brin d'ivoire et écaille,1,8,x,non,59809
éventails à brin d'os et écaille,1,8,x,non,59809
éventails à feuille de soie,1,8,,non,59809
éventails à feuilles communes,2,8,,non,59809
éventails communs,119,8,x,non,59809
éventails d'écaille et d'ivoire et de nacre,15,8,x,non,59809
éventails d'ivoire,23,8,x,non,59809
éventails d'ivoire fin,1,8,x,non,59809
éventails d'or,1,8,x,non,59809
éventails d'os,3,8,x,non,59809
éventails de la Chine,1,8,,non,59809
éventails de nacre,1,8,,non,59809
éventails de paille,3,8,x,non,59809
éventails de palmes,7,8,,non,59809
éventails de papier,4,8,x,non,59809
éventails de plume,2,8,,non,59809
éventails de porcelaine,1,8,,non,59809
éventails de taffetas,114,8,x,non,59809
éventails des Indes,1,8,x,non,59809
éventails et papier dito,1,8,,non,59809
éventails fins,155,8,,non,59809
éventails fins et d'ivoire,1,8,,non,59809
éventails incrustés d'or et de nacre de perles,1,8,x,non,59809
éventails par douzaines,1,8,x,non,59809
éventails sur écaille,1,8,x,non,59809
éviers,1,8,,non,59809
extrait ???,1,5,x,non,49562
extrait d'aspic,1,5,,non,49562
extrait d'odeur,6,5,x,non,49562
extrait de citron,6,5,x,non,49562
extrait de genièvre,17,5,x,non,49562
extrait de lavande,13,5,x,non,49562
facheaux de bois à brûler,1,3,,non,2999
fagots,9,3,x,non,2999
fagots de bois,19,3,x,non,2999
fagots de bois à brûler,16,3,,non,2999
faïence,2021,6k,x,non,17039
faïence à miette,1,6k,,non,17039
faïence commune,5,6k,x,non,17039
faïence d'Oneille,1,6k,,non,17039
faïence de Delft,2,6k,,non,17039
faïence de Rouen,2,6k,x,non,17039
faïence de Versailles,2,6k,,non,17039
faïence diverse,8,6k,x,non,17039
faïence du Faubourg Saint-Antoine,3,6k,x,non,17039
faïence en ???,1,6k,x,non,17039
faïence et porcelaine et poterie,12,6k,x,non,17039
faïence et poterie,25,6k,x,non,17039
faïence et poterie de grès et de terre,68,6k,x,non,17039
faïence et poterie et verrerie,15,6k,x,non,17039
faïence pour cheminée,1,6k,x,non,17039
faïence pour jardin,1,6k,x,non,17039
failles de laine,1,???,,non,4790
fais vieux,1,???,,non,4790
faisans,8,0a,,non,80056
faîteaux,2,???,,non,4790
faitiers,1,???,,non,4790
falquieres de mulet,4,2,,non,73883
faltranck suisse,1,???,,non,4790
fanailes,1,???,,non,4790
fanal de navire,1,7,,non,8907
fanal de vaisseaux,1,7,,non,8907
fanal de verre,1,6k,x,non,17039
faneaux de fer-blanc,1,???,x,non,4790
fanon,1,???,,non,4790
fanon de baleine,14,2,x,non,73883
fanon de baleine apprêté,4,2,,non,73883
fanon de baleine brut,4,2,,non,73883
fanon de baleine brut de pêche étrangère,2,2,,non,73883
fanon de baleine brut de pêche française,2,2,,non,73883
farces à drapier,1,???,,non,4790
fard rouge,1,5,,non,49562
farine,1570,0a,x,non,80056
farine d'avoine,3,0a,x,non,80056
farine d'orge,1,0a,x,non,80056
farine d'orge et gruau,2,0a,,non,80056
farine de bouquette,4,0a,x,non,80056
farine de fleurs,1,0a,,non,80056
farine de froment,55,0a,,non,80056
farine de froment fleur,1,0a,,non,80056
farine de grains blé,2,0a,x,non,80056
farine de grains blé d'Inde,1,0a,,non,80056
farine de grains blé et froment,1,0a,,non,80056
farine de grains blé froment et méteil,1,0a,,non,80056
farine de maïs menus grains et seigle,1,0a,,non,80056
farine de manioc,5,0a,,non,80056
farine de pois sec et fève,1,0a,,non,80056
farine de sarrasin,6,0a,x,non,80056
farine de seigle,4,0a,x,non,80056
farine en déchet,1,0a,x,non,80056
farine en fleurs,4,0a,,non,80056
farine en gruau,34,0a,x,non,80056
farine et biscuit,12,0a,,non,80056
farine et biscuit de mer,200,0a,x,non,80056
farine et biscuit de mer et pâte,10,0a,,non,80056
farine et biscuit de mer et pâte d'Italie,16,0a,x,non,80056
farine et biscuit et gruau,5,0a,,non,80056
farine et biscuit et pâte,73,0a,x,non,80056
farine et gruau et pâte,23,0a,x,non,80056
farine et pâte d'Italie,47,0a,x,non,80056
farine et pâte d'Italie et vermicelle,13,0a,,non,80056
farine et pâte et vermicelle,42,0a,x,non,80056
farine fleurs de froment,1,0a,,non,80056
farine gruau,13,0a,x,non,80056
farine ordinaire,37,0a,x,non,80056
farme ???,1,???,,non,4790
fascines d'orme,1,2,,non,73883
fascines de bois,1,2,,non,73883
fasoche,1,???,,non,4790
faucilles,46,6j,x,non,39131
faucilles autres instruments aratoires,5,6j,,non,39131
faucilles autres instruments aratoires que faux,2,6j,,non,39131
faucilles d'acier,2,6j,,non,39131
faucilles et autres instruments aratoires,1,6j,,non,39131
faucilles et faux,6,6j,x,non,39131
faucilles et faux et fil de laiton et limes,143,6j,x,non,39131
faude de cuir,1,???,,non,4790
fauquets,2,???,,non,4790
fauquières,1,???,,non,4790
fautas,2,???,,non,4790
faute,1,???,,non,4790
fauteuils de bois,1,8,x,non,59809
fauteuils de canne,6,8,x,non,59809
fauteuils de cuir de Russie,1,8,x,non,59809
fauteuils de jonc,2,8,x,non,59809
fauteuils de paille,12,8,x,non,59809
fauteuils de passerame avec leurs harnais,1,9c,,non,11345
fauteuils de rotin,1,8,,non,59809
fauteuils de tapisserie,2,8,x,non,59809
fauteuils de tapisserie petit point,1,8,x,non,59809
fauteuils et chaises de canne,2,8,x,non,59809
fauteuils et chaises de poste,1,8,,non,59809
fauteuils et chaises de rotin,2,8,,non,59809
faux,65,6j,x,non,39131
faux à faucher,321,6j,x,non,39131
faux d'acier et de fer,2,6j,,non,39131
faux de fer,1,6j,,non,39131
faux et faucilles,58,6j,x,non,39131
faux et ferailles,13,6j,,non,39131
favelottes,1,???,,non,4790
favelottes en gerbe,1,???,,non,4790
fayoles,13,???,,non,4790
fayots,1,???,,non,4790
fébrifuge,1,5,x,non,49562
fenêtre de noyer,1,8,,non,59809
fenouil,35,0a,x,non,80056
fenouil de Florence,2,0a,,non,80056
fenugrec,1,2,x,non,73883
fer,654,6j,x,non,39131
fer à cardes,1,6j,x,non,39131
fer à cheval,5,7,x,non,8907
fer à coiffer,2,6j,x,non,39131
fer à faire feu,1,6j,,non,39131
fer à friser,1,6j,x,non,39131
fer à la valeur,4,6j,x,non,39131
fer à lames,1,6j,,non,39131
fer à moulins,1,6j,,non,39131
fer à mulets,1,7,x,non,8907
fer à nègre,24,6j,,non,39131
fer à repasser,13,6j,,non,39131
fer battu,75,6j,x,non,39131
fer battu et fondu,1,6j,x,non,39131
fer battu et ouvrages de fer,1,6j,x,non,39131
fer bleu,1,6j,x,non,39131
fer brut,2,6j,x,non,39131
fer brut de fonte,5,6j,x,non,39131
fer carré,16,6j,,non,39131
fer caverges,4,6j,,non,39131
fer coudé,2,6j,x,non,39131
fer coulé,321,6j,x,non,39131
fer coulé en fonte,1,6j,,non,39131
fer coulé en gueuse,1,6j,,non,39131
fer coulé et de fonte,6,6j,x,non,39131
fer coulé figuré,1,6j,x,non,39131
fer coulé ou de fonte,15,6j,x,non,39131
fer courbe,1,6j,x,non,39131
fer d'Espagne,2,6j,,non,39131
fer de captifs,1,6j,,non,39131
fer de charrues,1,6j,,non,39131
fer de fonte,68,6j,x,non,39131
fer de fonte en gueuse,3,6j,,non,39131
fer de fonte ouvert,2,6j,x,non,39131
fer de lin cierge,1,9c,,non,11345
fer de mulets,2,6j,,non,39131
fer de Sibérie,1,6j,x,non,39131
fer de tôle,1,6j,x,non,39131
fer de toute sorte,13,6j,x,non,39131
fer de traite,1,6j,x,non,39131
fer de voyage,1,9c,x,non,11345
fer dhipsium,1,6j,,non,39131
fer en ?,9,6j,x,non,39131
fer en balle,1,6j,,non,39131
fer en ballon,5,6j,x,non,39131
fer en bandes,37,6j,,non,39131
fer en barils,2,6j,,non,39131
fer en batterie,90,6j,x,non,39131
fer en bocages,3,6j,,non,39131
fer en bottes,24,6j,,non,39131
fer en boue,1,6j,x,non,39131
fer en casse,18,6j,x,non,39131
fer en caverge,1,6j,x,non,39131
fer en chaudronnerie,7,6j,x,non,39131
fer en choux,6,6j,,non,39131
fer en crapaudines,5,6j,,non,39131
fer en culture,1,6j,x,non,39131
fer en écopes,9,6j,,non,39131
fer en fafion,1,???,x,non,4790
fer en feuilles doubles,1,6j,,non,39131
fer en fichu,1,6j,,non,39131
fer en fonte,11,6j,x,non,39131
fer en fourrure,1,6j,x,non,39131
fer en grappes,1,6j,,non,39131
fer en grenades,1,6j,,non,39131
fer en grenaille,19,6j,x,non,39131
fer en grillons,3,6j,,non,39131
fer en grosses,1,6j,,non,39131
fer en guéné,1,6j,,non,39131
fer en gueuse,26,6j,x,non,39131
fer en haches,1,6j,,non,39131
fer en laine,1,6j,x,non,39131
fer en laiton,3,6j,x,non,39131
fer en lamelles,1,6j,,non,39131
fer en liens,1,6j,,non,39131
fer en limaille,1,6j,x,non,39131
fer en metumes,1,6j,,non,39131
fer en mine,1,6j,x,non,39131
fer en mitraille,5,6j,x,non,39131
fer en palmes,1,6j,,non,39131
fer en paquet,6,6j,x,non,39131
fer en planches,1,6j,,non,39131
fer en plançons,1,6j,,non,39131
fer en plane,1,6j,,non,39131
fer en plaques,288,6j,,non,39131
fer en platines,69,6j,,non,39131
fer en platures,1,6j,,non,39131
fer en plomb,1,6j,,non,39131
fer en pocle,1,6j,,non,39131
fer en potin,1,6j,,non,39131
fer en quincaille,3,6j,,non,39131
fer en sablerie,1,6j,,non,39131
fer en sol,2,6j,,non,39131
fer en suc,1,6j,x,non,39131
fer en taillanderie,23,6j,x,non,39131
fer en tôle et en feuilles,1,6j,,non,39131
fer en truffe,10,6j,x,non,39131
fer en verges et lattes,1,6j,,non,39131
fer en vrilles,1,6j,,non,39131
fer et canons de fer,1,9b,,non,6225
fer et étain,1,6j,,non,39131
fer et ferrements à nègre,3,6j,x,non,39131
fer et ferrure,1,6j,,non,39131
fer figuré,4,6j,x,non,39131
fer floud,1,6j,,non,39131
fer fondu,4,6j,x,non,39131
fer fondu en grillons,1,6j,x,non,39131
"fer fondu en Hambourg et planques, poêles et chaudières",1,9b,,non,6225
fer fondu et coulé,1,6j,x,non,39131
fer forgé en massiaux ou prismes,3,6j,,non,39131
fer laminé,1,6j,x,non,39131
fer maqua,6,6j,x,non,39131
fer marchand,1,6j,x,non,39131
fer marth,1,6j,x,non,39131
fer moulé autre que pour projectiles de guerre,2,6j,,non,39131
fer neuf,1,6j,x,non,39131
fer noir,233,6j,x,non,39131
fer noir de 450 feuilles,3,6j,,non,39131
fer noir de feuilles,20,6j,,non,39131
fer noir double,3,6j,,non,39131
fer noir en feuilles doubles,1,6j,,non,39131
fer noir en feuilles simples,1,6j,,non,39131
fer noir et en tôle,5,6j,x,non,39131
