simplification,nbr_occurences_simpl,sitc,imprimatur,obsolete,nbr_occurences_sitc
nappes ouvrées de toile,2,8,,non,73824
nappes unies,1,8,,non,73824
natron,7,2,,non,131731
natron et soudes,1,2,,non,131731
nattes,245,6b,,non,36431
nattes communes,2,6b,,non,36431
nattes communes à paqueter,53,6b,,non,36431
nattes d'emballage,4,6b,,non,36431
nattes d'espars,9,9c,,non,13242
nattes de balles,1,6b,,non,36431
nattes de jonc,131,6b,,non,36431
nattes de jonc à pot emballage,2,6b,,non,36431
nattes de jonc et de paille et larges,68,6b,,non,36431
nattes de jonc et paille et étroites,71,6b,,non,36431
nattes de jonc large,3,6b,,non,36431
nattes de jonc rondes pour les pieds,25,6b,,non,36431
nattes de moscovie,3,6b,,non,36431
nattes de paille,67,6b,,non,36431
nattes de paille et de jonc,13,6b,,non,36431
nattes de Russie,1,6b,,non,36431
nattes et tresse de paille d'écorce et de sparte fines,4,6b,,non,36431
nattes et tresse de paille d'écorce et de sparte grossières,5,6b,,non,36431
nattes et tresse fines,3,6b,,non,36431
nattes et tresse grossières,3,6b,,non,36431
nattes fines,1,6b,,non,36431
nattes moyennes,2,6b,,non,36431
nattes pour grenier,2,6b,,non,36431
nattes rondes,6,6b,,non,36431
nature de baleine,5,2,x,non,131731
naurougue,1,9c,,non,13242
naveaux,4,0a,,non,122047
naves de portes,1,8,,non,73824
navets,38,0a,,non,122047
navettes,1,6j,,non,52338
navettes à drapier,4,6j,,non,52338
navettes d'écaille,1,9c,,non,13242
navettes de buis à tisserand,1,6j,,non,52338
navire,1,7,,non,14031
navires marchands,1,7,,non,14031
nécessaires,2,8,,non,73824
nécessaires de cuivre,1,8,x,non,73824
nécessaires garnis en argent,1,8,,non,73824
nèfles,6,0a,,non,122047
nèfles frais,1,0a,,non,122047
neganepeau,177,6g,x,non,16886
neganepeau grand,1,6g,,non,16886
nègre,16,9d,,non,1860
nègre de Guinée,18,9d,,non,1860
nègre de Sénégal,27,9d,,non,1860
nègres,45,9d,,oui,1860
nelis,39,6g,x,non,16886
nepres,8,9c,,non,13242
neptune,1,9c,,non,13242
neptune de cuivre,14,6j,,non,52338
nerfs de bœuf,8,8,,non,73824
nerprun,5,2,,non,131731
nervures,130,2,,non,131731
niaals des Indes,1,9c,,non,13242
nicanéas,220,6g,x,non,16886
nicanéas étroits,1,6g,,non,16886
nicanéas fins,1,6g,,non,16886
nicanéas grands,22,6g,,non,16886
nicanéas larges,2,6g,,non,16886
nicanéas longs,1,6g,,non,16886
nicanéas petite,1,6g,,non,16886
nicanéas petits,20,6g,,non,16886
nid d'oiseau,1,9c,x,non,13242
nina,2,9c,,non,13242
nina de poil,1,9c,,non,13242
nippes,160,8,,non,73824
nippes de femme,8,8,,non,73824
nippes et atours,92,8,,non,73824
nœuds d'épée,1,8,,non,73824
nœuds d'épée avec or,1,8,,non,73824
nœuds d'épée et cordons de montres,3,8,,non,73824
nœuds de cannes,1,8,,non,73824
nogat,1,9a,,non,1579
nogat en piastre forte,1,9a,,non,1579
noir,5,5,x,non,61910
noir à broyer,1,5,x,non,61910
noir à noircir,3,5,x,non,61910
noir commun,156,5,,non,61910
noir commun de fumée et autres,13,5,,non,61910
noir d'animal d'ivoire,2,5,,non,61910
noir d'animal d'ivoire d'os,2,5,,non,61910
noir d'animal de corne d'os etc.,2,5,,non,61910
noir d'Espagne,2,5,x,non,61910
noir d'ivoire,46,5,x,non,61910
noir d'os,8,5,,non,61910
noir de capajou,1,9c,,non,13242
noir de Chypre,1,5,x,non,61910
noir de fumée,538,5,x,non,61910
noir de fumée pour souliers,2,5,,non,61910
noir de galle,18,5,x,non,61910
noir de noircir,1,5,x,non,61910
noir de sapin,0,5,,non,61910
noir de sapin de 36 pieds,0,5,,non,61910
noir de sapin de 42 à 50 pieds,0,5,,non,61910
noir de sapin de 60 à 70 pieds,0,5,,non,61910
noir minéral naturel,4,2,,non,131731
noir pour imprimer,10,5,,non,61910
noir pour imprimer en traille douce dit d'Allemagne,1,5,,non,61910
noir pour noircir,30,5,,non,61910
noir pour souliers,2,5,,non,61910
noisette sèches,11,0a,,non,122047
noisettes,647,0a,x,non,122047
noisettes et noix,11,0a,x,non,122047
noisettes faînes,2,0a,,non,122047
noisettes pistaches et ???,1,0a,,non,122047
noix,494,0a,x,non,122047
noix d'acajou,24,0b,,non,34395
noix d'ivoire,2,2,,non,131731
noix de coco,54,0b,x,non,34395
noix de Galle,499,5,,non,61910
noix de Galle légère,7,5,,non,61910
noix de Galle pesante,9,5,,non,61910
noix de Galle pesante des entrepôts,0,5,,non,61910
noix de marrons,2,0a,x,non,122047
noix de muscade,16,0b,,non,34395
noix de pipes,25,2,x,non,131731
noix de ravensara,1,2,,non,131731
noix en coquilles,1,0a,,non,122047
noix épillées,3,0a,,non,122047
noix et riz,2,0a,x,non,122047
noix grosses,125,0a,,non,122047
noix mondées,3,0a,,non,122047
noix moutarde,1,0a,x,non,122047
noix ou noyaux,1,9c,,non,13242
noix pour peintures,6,5,x,non,61910
noix sèches,28,0a,x,non,122047
noix venimeuses,4,2,,non,131731
noix vomiques,59,2,,non,131731
noronges,1,9c,,non,13242
nougat,17,0a,,non,122047
nousouque,1,9c,,non,13242
noves de morue,2,0a,,non,122047
noves et langues de morue des Îles,1,0a,,non,122047
noyaux,10,2,,non,131731
noyaux d'olives,1,2,,non,131731
noyaux de noix,3,2,,non,131731
noyaux de pêche,2,2,,non,131731
noyaux de pêches,3,2,,non,131731
noyer et cerisier,10,2,,non,131731
numéraire en assignats,1,9a,,non,1579
numéraire en assignats par la Cure,1,9a,,non,1579
O ???,1,9c,,non,13242
objets à la valeur,1,9b,x,non,61966
objets d'art,6,8,,non,73824
objets d'art et d'histoire naturelle,59,8,x,non,73824
objets d'histoire naturelle,1,8,,non,73824
objets de collection,5,8,,non,73824
objets de collection hors de commerce,3,8,,non,73824
objets de peu d'importance,6,9b,,non,61966
objets de peu de valeur,88,9b,x,non,61966
objets des Indes,1,9b,,non,61966
objets des Indes et de peu importance,5,9b,,non,61966
objets divers,2,9b,,non,61966
objets divers dont la valeur du plus fort n'excède pas 25000 livre,5,9b,,non,61966
objets divers dont les plus forts articles n'excèdent pas 10000 livres,3,9b,,non,61966
objets manufacturés réunis,187,9b,,non,61966
obliques,1,9c,,non,13242
obusiers de fonte,2,8,,non,73824
ocre,530,2,x,non,131731
ocre broyé,1,2,,non,131731
ocre brun,2,2,,non,131731
ocre brun jaune ou rouge,1,2,,non,131731
ocre de toute espèce,107,2,,non,131731
ocre en pierre,3,2,x,non,131731
ocre en poudre,3,2,x,non,131731
ocre et brun rouge,4,2,x,non,131731
ocre jaune,41,2,x,non,131731
ocre jaune et rouge,1,2,,non,131731
ocre noir,3,2,,non,131731
ocre ou craie blanche,1,2,,non,131731
ocre rouge,36,2,x,non,131731
octant,1,8,,non,73824
odautes,1,9c,,non,13242
odeure,1,9c,,non,13242
œil de bœuf,11,9c,x,non,13242
œil de bœuf garni de cuivre,3,8,x,non,73824
œillards,1,6k,,non,22524
œillards de Brie,1,6k,,non,22524
œillets,4,2,,non,131731
œufs,354,0a,x,non,122047
œufs 15 ou 16 au kilogramme,4,0a,,non,122047
œufs d'autruche,1,0a,,non,122047
œufs de composition,1,0a,,non,122047
œufs de faisan,1,0a,,non,122047
œufs de gibier et de volaille,2,0a,,non,122047
œufs de perdrix rouge,1,0a,,non,122047
œufs de poisson,1,0a,,non,122047
œufs de poule,2,0a,,non,122047
œufs de thon,1,0a,,non,122047
œufs de thon salés,1,,,non,295
œufs de volaille,1,0a,,non,122047
œufs et volaille,19,0a,,non,122047
ogarie,0,9c,x,non,13242
oies,5,0a,,non,122047
oies salées,1,0a,,non,122047
oignons,212,0a,x,non,122047
oignons communs,6,0a,,non,122047
oignons d'esquilles,13,2,x,non,131731
oignons d'hyacinthe,2,2,,non,131731
oignons de ???,1,2,,non,131731
oignons de Barbarie,2,2,x,non,131731
oignons de fleurs,371,2,x,non,131731
oignons de fleurs et plantes,122,2,x,non,131731
oignons de jonquilles,4,2,,non,131731
oignons de narcisse,1,2,x,non,131731
oignons de narcisses,2,2,x,non,131731
oignons de squille,4,2,x,non,131731
oignons de tubéreuse,10,2,x,non,131731
oignons ordinaires,1,0a,x,non,122047
oint,2,4,,non,18446
oint vieux,6,4,,non,18446
oiseau à l'eau de vie,1,0a,,non,122047
oiseaux,2,0a,x,non,122047
oiseaux de proie,1,0a,x,non,122047
oiseaux petits,140,0a,x,non,122047
oleane ou rocou,47,2,x,non,131731
olives,1011,0a,,non,122047
olives au vinaigre,10,0a,,non,122047
olives confites,3,0a,,non,122047
olives d'Espagne,1,0a,,non,122047
olives et picholines confites,2,0a,,non,122047
olives fraîches,2,0a,x,non,122047
olives fraîches et arachis,2,0a,,non,122047
olives marinées,6,0a,,non,122047
olives salées,42,0a,,non,122047
olives salées au vinaigre,5,0a,,non,122047
olives salées et au vinaigre,0,0a,,non,122047
olivettes,1,0a,x,non,122047
olivier,1,2,x,non,131731
onetes de coton,0,9c,,non,13242
ongles d'écaille de tortue,5,2,x,non,131731
ongles de bœuf,2,2,x,non,131731
ongles de caret,8,2,x,non,131731
onguent,5,5,x,non,61910
onguent de laurier,2,5,x,non,61910
opales brutes,1,6k,,non,22524
opiat et pilules,1,5,x,non,61910
opiats,3,5,x,non,61910
opium,232,5,x,non,61910
opoponax,25,2,x,non,131731
optiques,1,8,,non,73824
or à dorer,2,9a,,non,1579
or battu,18,9a,x,non,1579
or battu et fin,1,9a,x,non,1579
or brut brisé en lingots en masse,1,9a,,non,1579
or brut en barres bijoux cassés lingots masse poudre,2,9a,,non,1579
or en baissette,1,9a,,non,1579
or en coquille,1,9a,x,non,1579
or en feuilles,8,9a,,non,1579
or en lingot,1,9a,x,non,1579
or en poudre,1,9a,,non,1579
or et argent,7,9a,x,non,1579
or et argent balles,2,9a,,non,1579
or et argent battu,32,9a,x,non,1579
or et argent en barres et lingot,32,9a,x,non,1579
or et argent en feuilles,11,9a,,non,1579
or et argent en fil,100,9a,x,non,1579
or et argent en fil et cantille et paillette,9,9a,,non,1579
or et argent en lingot,3,9a,x,non,1579
or et argent faux,100,9a,,non,1579
or et argent faux battu en livret de 24 feuilles,79,9a,,non,1579
or et argent fin battu en livret de 24 feuilles,57,9a,,non,1579
or et argent monnayés,57,9a,,non,1579
or et argent paillette,1,9a,x,non,1579
or et argent trait,1,9a,,non,1579
or faux,4,6j,x,non,52338
or faux battu,1,6j,x,non,52338
or laminé ou tiré,3,9a,,non,1579
or massif,3,9a,x,non,1579
or pur,1,9a,,non,1579
or travaillé,3,8,x,non,73824
orange,603,0a,x,non,122047
orange aigre,72,0a,x,non,122047
orange chinoise,7,0a,,non,122047
orange confite,2,0a,,non,122047
orange de Malte,1,0a,x,non,122047
orange douce,91,0a,x,non,122047
orange du Portugal,1,0a,,non,122047
orange en caisse,1,0a,x,non,122047
orange et citrons,258,0a,x,non,122047
orange fraîche,15,0a,x,non,122047
orange ordinaire,1,0a,,non,122047
orange petite,1,0a,,non,122047
orange sèche,6,0a,x,non,122047
orange séchée à faire chapelets,1,2,x,non,131731
orangelets,4,9c,,non,13242
orangelets secs,6,9c,,non,13242
orangers,19,2,,non,131731
orangers à planter,1,2,,non,131731
orangers petits,6,2,,non,131731
orbe,2,9c,x,non,13242
orcanette,17,2,,non,131731
orcillons à faire colle,1,2,x,non,131731
oreillers,1,8,,non,73824
oreilles et oreillons à faire colle,101,2,x,non,131731
oreillons,68,2,x,non,131731
orfèvrerie,255,8,x,non,73824
orfèvrerie d'argent,48,8,x,non,73824
orfèvrerie d'argent et d'or,34,8,,non,73824
orfèvrerie d'or,10,8,x,non,73824
orfèvrerie d'or et d'argent,13,8,x,non,73824
orfèvrerie d'or ou de vermeil,7,8,,non,73824
orfèvrerie de platine,1,8,,non,73824
organdis,4,6g,x,non,16886
organeaux,3,7,,non,14031
orge de ???,1,0a,,non,122047
orge jaune,1,0a,x,non,122047
orge mondé,184,0a,x,non,122047
orge moulu,2,0a,x,non,122047
orge non germé,2,0a,,non,122047
orge perlé,47,5,x,non,61910
orgue d'Allemagne,1,8,x,non,73824
orgues,37,8,,non,73824
orgues d'église,1,8,,non,73824
orgues de bois,1,8,,non,73824
orgues de savoyard,3,8,,non,73824
orgues portatives,5,8,,non,73824
origan,28,0a,,non,122047
origine inconnue,1,9c,,non,13242
ormeaux,1,9c,,non,13242
ormeaux à planter,2,2,,non,131731
ormes à planter,1,2,,non,131731
ornements d'église,122,8,x,non,73824
ornements de dessert,2,8,,non,73824
ornements de fer,2,8,,non,73824
ornements de table,2,8,,non,73824
orobes,2,2,x,non,131731
orpiment,325,2,x,non,131731
orpiment broyé,4,2,x,non,131731
orpiment en pierre,1,2,,non,131731
orpin,80,2,x,non,131731
orpin broyé,1,2,x,non,131731
orpin rouge,2,2,,non,131731
orseille,59,2,x,non,131731
orseille apprêtée,10,2,x,non,131731
orseille bleu cendré tournesol en pâte,5,2,,non,131731
orseille en drapeaux,1,2,x,non,131731
orseille en herbes,6,2,x,non,131731
orseille ou tournesol préparé,11,2,x,non,131731
orseille sèche,86,2,x,non,131731
orseille violette cud beard,4,2,,non,131731
orties,1,0a,,non,122047
ortites de menuisier,1,9c,,non,13242
orviétan,1,2,x,non,131731
os de bétail,2,2,,non,131731
os de bœuf,60,2,x,non,131731
os de bœuf et vache,1,2,x,non,131731
os de cœur de bœuf,1,2,x,non,131731
os de cœur de cerf et de seiche,2,2,,non,131731
os de mouton,1,2,x,non,131731
os de seiche,9,2,,non,131731
os de seiche serpia officinalis,7,2,x,non,131731
os desséchés,2,2,x,non,131731
os et sabots de bétail,2,2,,non,131731
oseille,1,0a,x,non,122047
oseille apprêtée,1,0a,x,non,122047
osier,390,2,x,non,131731
osier d'en dessous de 7 paumes,9,2,x,non,131731
osier de 10 à 11 paumes,123,2,x,non,131731
osier de 12 à 14 paumes,91,2,x,non,131731
osier de 7 à 9 paumes,27,2,x,non,131731
osier de fer-blanc,3,6j,x,non,52338
osier en bottes brut,7,2,,non,131731
osier en bottes fendu et pelé,2,2,,non,131731
osier en bottes fendu ou pelé,2,2,,non,131731
osier en dessous de 10 paumes,35,2,x,non,131731
osier fendu ou pelé,3,2,,non,131731
osier torches,8,2,x,non,131731
osserie de Dieppe,19,9c,x,non,13242
ouate,97,2,x,non,131731
ouate d'étoupes,38,2,x,non,131731
ouate de coton,103,2,x,non,131731
ouate de laine,12,2,x,non,131731
ouate de soie,58,2,x,non,131731
outils,207,6j,x,non,52338
outils à battre l'or,1,6j,,non,52338
outils à faire cartes et moules,3,6j,,non,52338
outils à soutirer le vin,4,6j,,non,52338
outils à sucre,1,6j,,non,52338
outils à tirer le vin,1,6j,,non,52338
outils à tirer le vin au claire,1,6j,,non,52338
outils d'acier et de fer,5,6j,,non,52338
outils d'acier pur,8,6j,,non,52338
outils d'agriculture,1,6j,x,non,52338
outils d'horloge,2,8,,non,73824
outils d'horlogerie,3,6j,x,non,52338
outils d'imprimerie,8,6j,x,non,52338
outils d'imprimerie et de marbre,1,6j,x,non,52338
outils de cuisine,7,6j,x,non,52338
outils de cuivre ou de laiton,6,6j,,non,52338
outils de fer,21,6j,,non,52338
outils de fer à forgeron,1,6j,,non,52338
outils de fer de forgeron,1,6j,x,non,52338
outils de fer pur,8,6j,,non,52338
outils de fer rechargé d'acier,8,6j,,non,52338
outils de frecatage,1,6j,,non,52338
outils de la pêche,115,6j,,non,52338
outils de labourage,3,6j,,non,52338
outils de lapidaire,1,6j,,non,52338
outils de marine,1,7,,non,14031
outils de ménage,3,6j,,non,52338
outils de menuiserie,18,6j,,non,52338
outils de menuisier,1,6j,,non,52338
outils de moulins,1,6j,x,non,52338
outils de moulins à papier,2,6j,,non,52338
outils de moulins de fer,4,6j,x,non,52338
outils de pêche,209,6j,x,non,52338
outils de pêche à la morue,75,6j,,non,52338
outils de pêche au poisson frais,2,6j,,non,52338
outils de pêche aux moules,25,6j,,non,52338
outils de pêche par Marseille,1,6j,x,non,52338
outils menuisier,3,6j,,non,52338
outils pour boulanger,1,6j,,non,52338
outils pour charpentier,11,6j,,non,52338
outils pour ferblantier,2,6j,,non,52338
outils pour laboureur,3,6j,,non,52338
outils pour marchands de vin,2,6j,,non,52338
outils pour miroitier,2,6j,,non,52338
outils pour orfèvre,3,6j,,non,52338
outils pour ouvrier,1,6j,,non,52338
outils pour sécheurs,10,6j,,non,52338
outils pour tisserand,3,6j,,non,52338
outremer,1,2,,non,131731
outres vides,2,6a,,non,24860
outres vieilles,1,6a,,non,24860
ouvrages,77,9b,x,non,61966
ouvrages ???,2,9c,,non,13242
ouvrages ??? à couvrir,1,9c,,non,13242
ouvrages brisés et vieux ouvrages de laiton,1,2,,non,131731
ouvrages d'acier,13,6j,x,non,52338
ouvrages d'agate,4,6k,,non,22524
ouvrages d'agate et agate chique,1,6k,,non,22524
ouvrages d'airain,16,6j,x,non,52338
ouvrages d'albâtre,5,8,x,non,73824
ouvrages d'albâtre et ouvrages de bois et ouvrages de marbre,8,9b,x,non,61966
ouvrages d'ambre,1,8,x,non,73824
ouvrages d'ambre jaune,1,8,x,non,73824
ouvrages d'architecture,1,8,,non,73824
ouvrages d'argent,2,8,x,non,73824
ouvrages d'argent et d'or,5,8,x,non,73824
ouvrages d'argent et d'or et de soie,24,9b,x,non,61966
ouvrages d'argent et d'or faux,2,8,,non,73824
ouvrages d'argent et de soie,2,9b,x,non,61966
ouvrages d'argent fil et soie,1,9b,,non,61966
ouvrages d'argent fin d'or et de soie,1,9b,,non,61966
ouvrages d'argent or et soie,1,9b,,non,61966
ouvrages d'argent plaqué,1,8,x,non,73824
ouvrages d'auf,41,6b,x,non,36431
ouvrages d'auf bandeaux,1,8,x,non,73824
ouvrages d'auf en cousses,1,9c,x,non,13242
ouvrages d'auf et de jonc,2,6b,x,non,36431
ouvrages d'écaille,1,8,x,non,73824
ouvrages d'étain,986,6j,x,non,52338
ouvrages d'horlogerie,13,8,x,oui,73824
ouvrages d'horlogerie montés,7,8,,non,73824
ouvrages d'industrie,301,9b,x,non,61966
ouvrages d'industrie étrangers,54,9b,x,non,61966
ouvrages d'ivoire,109,8,x,non,73824
ouvrages d'opium,1,5,x,non,61910
ouvrages d'optique,4,8,x,non,73824
ouvrages d'or,1,8,x,non,73824
ouvrages d'or faux,3,6j,x,non,52338
ouvrages d'orfèvrerie,6,8,x,non,73824
ouvrages d'osier,19,6b,x,non,36431
ouvrages de bergamotes,1,6b,,non,36431
ouvrages de bois,850,6b,x,non,36431
ouvrages de bois de noyer,1,6b,,non,36431
ouvrages de bois de Saint-Claude,1,6b,,non,36431
ouvrages de bois de sapin,1,6b,,non,36431
ouvrages de bois doré,17,6b,x,non,36431
ouvrages de bois en atelier de coluses,1,6b,,non,36431
ouvrages de bois en plaqué,2,6b,,non,36431
ouvrages de bois et ouvrages d'osier,10,6b,x,non,36431
ouvrages de bois et ouvrages de cuir,18,9b,x,non,61966
ouvrages de bois et ouvrages de cuivre,16,9b,x,non,61966
ouvrages de bois et ouvrages de fer-blanc,5,9b,x,non,61966
ouvrages de bois et ouvrages de modes et fleurs artificielles,18,9b,x,non,61966
ouvrages de bois et ouvrages de passementerie,12,9b,x,non,61966
ouvrages de bois et ouvrages de peau,10,9b,x,non,61966
ouvrages de bois et ouvrages en terre cuite et ouvrages en brique,13,9b,x,non,61966
ouvrages de bois et vannerie d'osier,10,6b,,non,36431
ouvrages de bois gros,118,6b,x,non,36431
ouvrages de bois menus,86,6b,x,non,36431
ouvrages de bois non doré,4,6b,x,non,36431
ouvrages de bois peint,1,6b,x,non,36431
ouvrages de bois pour bâtir,1,6b,,non,36431
ouvrages de bois pour charpente,1,6b,x,non,36431
ouvrages de bois pour le bâtiment,1,6b,x,non,36431
ouvrages de bois sculpté et doré,44,6b,x,non,36431
ouvrages de bois simple,30,6b,x,non,36431
ouvrages de bois simple et doré,25,6b,x,non,36431
ouvrages de bois simples en grilles de sapin,1,6b,x,non,36431
ouvrages de bois verni,2,6b,x,non,36431
ouvrages de bronze,7,6j,x,non,52338
ouvrages de buis,7,6b,x,non,36431
ouvrages de carreaux et tuiles,2,6k,x,non,22524
ouvrages de carton,36,6c,x,non,7807
ouvrages de carton assemblé coupé et moulé,2,6c,,non,7807
ouvrages de chanvre,1,9c,x,non,13242
ouvrages de chanvre en masse,1,9c,x,non,13242
ouvrages de chanvre en rames,1,9c,x,non,13242
ouvrages de charpentier,68,6b,x,non,36431
ouvrages de charron,9,7,x,non,14031
ouvrages de charronnage,17,7,,non,14031
ouvrages de chêne,1,6b,,non,36431
ouvrages de cire,3,4,x,non,18446
ouvrages de cire blanche,66,4,,non,18446
ouvrages de cire jaune,3,4,,non,18446
ouvrages de corail,370,8,x,non,73824
ouvrages de corail brut,1,8,x,non,73824
ouvrages de corail fin,2,8,x,non,73824
ouvrages de corail rouge,2,8,,non,73824
ouvrages de cordonnerie de peaux,1,6a,,non,24860
ouvrages de cordonnier,8,6a,x,non,24860
ouvrages de cordonnier de cuir,1,6a,,non,24860
ouvrages de cordonnier de soie,2,9c,,non,13242
ouvrages de corne et d'ivoire,1,6k,,non,22524
ouvrages de coton,2,6g,,non,16886
ouvrages de coton et de laine et de fil et de filoselle,9,6i,x,non,9168
ouvrages de coudrier,60,6b,x,non,36431
ouvrages de coutellerie,105,6j,x,non,52338
ouvrages de coutellerie argenterie,1,9c,x,non,13242
ouvrages de crin,1,6e,x,non,20927
ouvrages de crin de cheval,86,6e,x,non,20927
ouvrages de cristal,103,8,x,non,73824
ouvrages de cuir,174,6a,x,non,24860
ouvrages de cuir ?,1,6a,,non,24860
ouvrages de cuir ???? en soie pour femme,2,9c,x,non,13242
