goods_simpl_classification,nbr_occurences_simpl,coffee_classification,obsolete,nbr_occurences_hamburg,nbr_occurences_coffee
armes de guerre,2,Not coffee,non,442379,551912
armes différentes,1,Not coffee,non,442379,551912
armes et artillerie artillerie en canons pierriers espingoles et mortiers,3,Not coffee,non,442379,551912
armes et munitions,9,Not coffee,non,442379,551912
armes lames,1,Not coffee,non,442379,551912
armes remontrances,1,Not coffee,non,442379,551912
armoires,57,Not coffee,non,442379,551912
armoires ayant servi,1,Not coffee,non,442379,551912
armoires d'acajou,12,Not coffee,non,442379,551912
armoires de bois,1,Not coffee,non,442379,551912
armoires de bois de noyer,1,Not coffee,non,442379,551912
armoires de bois de sapin peintes,1,Not coffee,non,442379,551912
armoires de bois des Indes,1,Not coffee,non,442379,551912
armoires de chêne,9,Not coffee,non,442379,551912
armoires de chêne ornée,1,Not coffee,non,442379,551912
armoires de noyer,9,Not coffee,non,442379,551912
armoires de sapin,3,Not coffee,non,442379,551912
armoires et commodes,1,Not coffee,non,442379,551912
armoires vieilles,2,Not coffee,non,442379,551912
armoisin,46,Not coffee,non,442379,551912
armure de fer,1,Not coffee,non,442379,551912
armure vieille,1,Not coffee,non,442379,551912
arnas,1,Not coffee,non,442379,551912
arpois,1,Not coffee,non,442379,551912
arquebuse,1,Not coffee,non,442379,551912
arrangas,1,Not coffee,non,442379,551912
arrosoirs,6,Not coffee,non,442379,551912
arrosoirs de bois,2,Not coffee,non,442379,551912
arrosoirs de cuivre,1,Not coffee,non,442379,551912
arrosoirs de fer,1,Not coffee,non,442379,551912
arrosoirs de fer-blanc,6,Not coffee,non,442379,551912
arrosoirs de sapin,1,Not coffee,non,442379,551912
arrosoirs de terre,1,Not coffee,non,442379,551912
arrowroot,1,Not coffee,non,442379,551912
arséniate de potasse,2,Not coffee,non,708,551912
arsenic,411,Not coffee,non,442379,551912
arsenic métallique,6,Not coffee,non,442379,551912
artichauts,78,Not coffee,non,442379,551912
artichauts champignons et truffes,2,Not coffee,non,442379,551912
artichauts confits,68,Not coffee,non,442379,551912
artichauts frais,17,Not coffee,non,442379,551912
artichauts marinés,2,Not coffee,non,442379,551912
artichauts secs,6,Not coffee,non,442379,551912
artifice,5,Not coffee,non,442379,551912
artifice fusées etc.,1,Not coffee,non,442379,551912
artillerie,6,Not coffee,non,442379,551912
asa fœtida,123,Not coffee,non,442379,551912
asperges,9,Not coffee,non,442379,551912
asperges confites,1,Not coffee,non,442379,551912
asperges et scorsonères,1,Not coffee,non,442379,551912
asphaltum,19,Not coffee,non,442379,551912
assiette,1,Not coffee,non,442379,551912
assiette de Biarritz,1,Not coffee,non,442379,551912
assiette de bois,1,Not coffee,non,442379,551912
assiette de faïence,8,Not coffee,non,442379,551912
assiette de faïence assorties,0,Not coffee,oui,442379,551912
assiette de porcelaine,3,Not coffee,non,442379,551912
assiette de porcelaine des Indes,1,Not coffee,non,442379,551912
assiette de terre,6,Not coffee,non,442379,551912
assiette et plats de terre,1,Not coffee,non,442379,551912
asustum,1,Not coffee,non,442379,551912
atastes,1,Not coffee,non,442379,551912
atlas,2,Not coffee,non,442379,551912
atlas à la feuille d'or,1,Not coffee,non,442379,551912
atlas et instruments de marine,1,Not coffee,non,442379,551912
atlas jaspé,1,Not coffee,non,442379,551912
attaches de cuivre,1,Not coffee,non,442379,551912
attelles de colliers,14,Not coffee,non,442379,551912
aube,1,Not coffee,non,442379,551912
auchinoise,2,Not coffee,non,442379,551912
auclimes,2,Not coffee,non,442379,551912
auf,117,Not coffee,non,442379,551912
auf ouvré,0,Not coffee,oui,442379,551912
auf travaillé,0,Not coffee,oui,442379,551912
auf travaillé en cordes,0,Not coffee,oui,442379,551912
augemy,2,Not coffee,non,442379,551912
auges,3,Not coffee,non,442379,551912
auges de carreaux,2,Not coffee,non,442379,551912
augustins,2,Not coffee,non,442379,551912
aurcsats,1,Not coffee,non,442379,551912
aurcsats étoile,1,Not coffee,non,442379,551912
aussière,2,Not coffee,non,442379,551912
autel de marbre,2,Not coffee,non,442379,551912
avelanèdes,58,Not coffee,non,442379,551912
avelines,8,Not coffee,non,442379,551912
avelines et noisettes sèches,22,Not coffee,non,442379,551912
avelines faînes noisettes noix,1,Not coffee,non,442379,551912
avelines noisettes noix,5,Not coffee,non,442379,551912
avirons,639,Not coffee,non,442379,551912
avirons bruts,17,Not coffee,non,442379,551912
avirons de 12 pieds,1,Not coffee,non,442379,551912
avirons de 18 pieds,1,Not coffee,non,442379,551912
avirons de 30 pieds,1,Not coffee,non,442379,551912
avirons de 5 pieds,1,Not coffee,non,442379,551912
avirons de 8 à 12 pieds,1,Not coffee,non,442379,551912
avirons de bois,51,Not coffee,non,442379,551912
avirons de bois façonné,1,Not coffee,non,442379,551912
avirons de chêne,1,Not coffee,non,442379,551912
avirons de sapin,1,Not coffee,non,442379,551912
avirons et perches de bois,3,Not coffee,non,442379,551912
avirons et rames bruts,2,Not coffee,non,442379,551912
avirons et rames de bois,1,Not coffee,non,442379,551912
avirons et rames de bois façonné,2,Not coffee,non,442379,551912
avirons et rames façonnés,5,Not coffee,non,442379,551912
avirons polis,1,Not coffee,non,442379,551912
avoine,496,Not coffee,non,442379,551912
avoine en gerbes,1,Not coffee,non,442379,551912
avoine et haricots,1,Not coffee,non,442379,551912
avoine et orge etc.,1,Not coffee,non,442379,551912
avoine mondée,1,Not coffee,non,442379,551912
avoine moulée,1,Not coffee,non,442379,551912
azur,729,Not coffee,non,442379,551912
azur commun,197,Not coffee,non,442379,551912
azur et bleu de Prusse,9,Not coffee,non,442379,551912
azur et cobalt,20,Not coffee,non,442379,551912
azur fin,13,Not coffee,non,442379,551912
azur gros,22,Not coffee,non,442379,551912
babassis,1,Not coffee,non,442379,551912
babouches,90,Not coffee,non,442379,551912
babouches de maroquin,2,Not coffee,non,442379,551912
bacs d'1 aime,1,Not coffee,non,442379,551912
bacs de pierre,1,Not coffee,non,442379,551912
bacs de pierre bleue,1,Not coffee,non,442379,551912
bacs de pierre d'1 aime,1,Not coffee,non,442379,551912
bacs de pierre de 4 aimes,1,Not coffee,non,442379,551912
bacs de pierre de demi d'aime,1,Not coffee,non,442379,551912
bacs de pierre de moindre classe,1,Not coffee,non,442379,551912
bacs de pierre de trois-quart d'aime,1,Not coffee,non,442379,551912
bacs de pierre en dessous d'1 aime,1,Not coffee,non,442379,551912
bacs de pierre en dessus d'1 aime,1,Not coffee,non,442379,551912
badiane,59,Not coffee,non,442379,551912
badiane ou anis étoilé de la Chine,0,Not coffee,oui,442379,551912
baffetas,10,Not coffee,non,442379,551912
baffetas blanc,19,Not coffee,non,442379,551912
baffetas bleu,26,Not coffee,non,442379,551912
baffetas des Indes,2,Not coffee,non,442379,551912
bagarot,1,Not coffee,non,442379,551912
bagues,5,Not coffee,non,442379,551912
bagues à pierres fausses,1,Not coffee,non,442379,551912
bagues d'argent,2,Not coffee,non,442379,551912
bagues d'or,1,Not coffee,non,442379,551912
bagues de cuivre,2,Not coffee,non,442379,551912
bagues de laiton,1,Not coffee,non,442379,551912
bagues de verre,3,Not coffee,non,442379,551912
baguettes,6,Not coffee,non,442379,551912
baguettes à chandelle,1,Not coffee,non,442379,551912
baguettes à étoffe,2,Not coffee,non,442379,551912
baguettes d'étain,2,Not coffee,non,442379,551912
baguettes de bois,1,Not coffee,non,442379,551912
baguettes de bois doré,1,Not coffee,non,442379,551912
baguettes de cuivre,3,Not coffee,non,442379,551912
baguettes de fer à fusil,1,Not coffee,non,442379,551912
baguettes de fusil,47,Not coffee,non,442379,551912
bahuts,24,Not coffee,non,442379,551912
baie de laurier,28,Not coffee,non,442379,551912
baies de buis,1,Not coffee,non,442379,551912
baies de genévrier à distiller,2,Not coffee,non,442379,551912
baies de genièvre,6,Not coffee,non,442379,551912
baignes,3,Not coffee,non,442379,551912
baignoires,2,Not coffee,non,442379,551912
baignoires d'acajou,1,Not coffee,non,442379,551912
baignoires de cuivre,4,Not coffee,non,442379,551912
baignoires de sapin,1,Not coffee,non,442379,551912
baignoires de tôle,2,Not coffee,non,442379,551912
baigots,1,Not coffee,non,442379,551912
baillarge,5,Not coffee,non,442379,551912
bailles,1,Not coffee,non,442379,551912
baïonnettes,13,Not coffee,non,442379,551912
bais de bois de chêne,1,Not coffee,non,442379,551912
bajutapau,231,Not coffee,non,442379,551912
bajutapau commun,1,Not coffee,non,442379,551912
bajutapau des Indes,1,Not coffee,non,442379,551912
"bajutapau, canelis, etc.",3,Not coffee,non,442379,551912
bakeliau et stockfis,0,Not coffee,oui,442379,551912
balais,123,Not coffee,non,442379,551912
balais communs,5,Not coffee,non,442379,551912
balais coupés,3,Not coffee,non,442379,551912
balais de bois,39,Not coffee,non,442379,551912
balais de brandes,1,Not coffee,non,442379,551912
balais de bruyère,13,Not coffee,non,442379,551912
balais de chanvre,1,Not coffee,non,442379,551912
balais de crin,12,Not coffee,non,442379,551912
balais de foyer,1,Not coffee,non,442379,551912
balais de jonc,50,Not coffee,non,442379,551912
balais de jonc petits,1,Not coffee,non,442379,551912
balais de laine à laver les planchers,1,Not coffee,non,442379,551912
balais de millet,2,Not coffee,non,442379,551912
balais de paille,2,Not coffee,non,442379,551912
balais de paille de riz,6,Not coffee,non,442379,551912
balais de palme,295,Not coffee,non,442379,551912
balais de palme petits,1,Not coffee,non,442379,551912
balais de plumes,3,Not coffee,non,442379,551912
balais de poil,2,Not coffee,non,442379,551912
balais de riz,5,Not coffee,non,442379,551912
balais de soie,7,Not coffee,non,442379,551912
balais de soie de porcs,18,Not coffee,non,442379,551912
balais de toile,1,Not coffee,non,442379,551912
balais du roi,1,Not coffee,non,442379,551912
balais fins,1,Not coffee,non,442379,551912
balais grands de palme,2,Not coffee,non,442379,551912
balais ou ramons,1,Not coffee,non,442379,551912
balais petits,1,Not coffee,non,442379,551912
balance,7,Not coffee,non,442379,551912
balance à la romaine,1,Not coffee,non,442379,551912
balance complète,1,Not coffee,non,442379,551912
balance de bois,1,Not coffee,non,442379,551912
balance de cuivre,8,Not coffee,non,442379,551912
balance de cuivre jaune,1,Not coffee,non,442379,551912
balance de fer,4,Not coffee,non,442379,551912
balance et poids de cuivre,1,Not coffee,non,442379,551912
balance et romaine,2,Not coffee,non,442379,551912
balance et ses poids,1,Not coffee,non,442379,551912
balance ou fléaux en fer,1,Not coffee,non,442379,551912
balance petite,1,Not coffee,non,442379,551912
balance romaine,3,Not coffee,non,442379,551912
balauste,0,Not coffee,oui,442379,551912
balcon de fer,1,Not coffee,non,442379,551912
baleine,125,Not coffee,non,442379,551912
baleine apprêtée,1,Not coffee,non,442379,551912
baleine coupée,641,Not coffee,non,442379,551912
baleine coupée en fanon,11,Not coffee,non,442379,551912
baleine coupée et en fanon,12,Not coffee,non,442379,551912
baleine de sarde,18,Not coffee,non,442379,551912
baleine en fanon,278,Not coffee,non,442379,551912
baleine en fanon et de sarde,1,Not coffee,non,442379,551912
baleine non sciée,1,Not coffee,non,442379,551912
baleine taillée,1,Not coffee,non,442379,551912
balles,1,Not coffee,non,442379,551912
balles à jouer,2,Not coffee,non,442379,551912
balles d'osier,3,Not coffee,non,442379,551912
balles de fer et canons de fer,2,Not coffee,non,442379,551912
balles de fer uni,1,Not coffee,non,442379,551912
balles de jonc,1,Not coffee,non,442379,551912
balles de palme,1,Not coffee,non,442379,551912
balles de plomb,8,Not coffee,non,3536,551912
balles et dragées de plomb,1,Not coffee,non,3536,551912
balles vides,1,Not coffee,non,442379,551912
balustres,12,Not coffee,non,442379,551912
bamboches,1,Not coffee,non,442379,551912
bambous,8,Not coffee,non,442379,551912
banastron,1,Not coffee,non,442379,551912
banc à couper la paille,1,Not coffee,non,442379,551912
banc de sapin,1,Not coffee,non,442379,551912
bandages,4,Not coffee,non,442379,551912
bandages de peaux,5,Not coffee,non,442379,551912
bandages pour soldats,1,Not coffee,non,442379,551912
bandanas des Indes,1,Not coffee,non,442379,551912
bandanas et mousseline et Nankin de soieries des Indes,0,Not coffee,oui,442379,551912
bandeaux,4,Not coffee,non,442379,551912
banderoles,1,Not coffee,non,442379,551912
banderoles de cuir,2,Not coffee,non,442379,551912
bandes de cabrouets de fer,3,Not coffee,non,442379,551912
bandes de charrettes,1,Not coffee,non,442379,551912
bandes de fer,4,Not coffee,non,442379,551912
bandes de fer à tombereaux,1,Not coffee,non,442379,551912
bandes de roues de fer,1,Not coffee,non,442379,551912
bandes de tulles brodées,1,Not coffee,non,442379,551912
bandes et barres de fer,4,Not coffee,non,442379,551912
bandoulières garnies d'argent,1,Not coffee,non,442379,551912
banjoin,0,Not coffee,oui,442379,551912
bannes et bannettes d'osier,1,Not coffee,non,442379,551912
bannettes d'osier,1,Not coffee,non,442379,551912
bannettes de cuir,1,Not coffee,non,442379,551912
bannière de Damas,1,Not coffee,non,442379,551912
banquette,4,Not coffee,non,442379,551912
baquelets,1,Not coffee,non,442379,551912
baquets,2,Not coffee,non,442379,551912
baquets à jeter l'eau,1,Not coffee,non,442379,551912
baquets de cuivre,5,Not coffee,non,442379,551912
baquets de fer,1,Not coffee,non,442379,551912
baquets de rechange,1,Not coffee,non,442379,551912
baquets de sapin,2,Not coffee,non,442379,551912
baracan,173,Not coffee,non,442379,551912
baracan aune,1,Not coffee,non,442379,551912
baracan d'Abbeville,1,Not coffee,non,442379,551912
baracan de laine,14,Not coffee,non,442379,551912
baracan de laine et de poil,2,Not coffee,non,442379,551912
baracan de Lille,1,Not coffee,non,442379,551912
baracan de poil,64,Not coffee,non,442379,551912
barail,0,Not coffee,oui,442379,551912
baras,1,Not coffee,non,442379,551912
barat de laine,1,Not coffee,non,442379,551912
baratte,1,Not coffee,non,442379,551912
barbançons,6,Not coffee,non,442379,551912
barbançons de grès,14,Not coffee,non,442379,551912
barbançons de terre,15,Not coffee,non,442379,551912
barbançons de terre de grès,1,Not coffee,non,442379,551912
barbançons de verre,1,Not coffee,non,442379,551912
barbe de baleine,10,Not coffee,non,442379,551912
barbotine,43,Not coffee,non,442379,551912
barbotines,0,Not coffee,oui,442379,551912
barbues,1,Not coffee,non,442379,551912
barbues couvertes d'étamine,1,Not coffee,non,442379,551912
barbues de grès,14,Not coffee,non,442379,551912
barbues de terre,1,Not coffee,non,442379,551912
barbues ouvrées et cannettes ouvrées et jarres de terre ouvrées,1,Not coffee,non,442379,551912
bardes,5,Not coffee,non,442379,551912
barilleau,8,Not coffee,non,442379,551912
barilleau de laine,2,Not coffee,non,442379,551912
barils,9,Not coffee,non,442379,551912
barils à poudre,5,Not coffee,non,442379,551912
barils ancres,1,Not coffee,non,442379,551912
barils de chêne,1,Not coffee,non,442379,551912
barils de fer-blanc,1,Not coffee,non,442379,551912
barils de fer-blanc simples,1,Not coffee,non,442379,551912
barils de sapin,1,Not coffee,non,442379,551912
barils de tonnelier,2,Not coffee,non,442379,551912
barils de vin de ???,4,Not coffee,non,16846,551912
barils doubles de fer-blanc,1,Not coffee,non,442379,551912
barils neufs,1,Not coffee,non,442379,551912
barils petits,2,Not coffee,non,442379,551912
barils pour saler sardines,1,Not coffee,non,442379,551912
barils vides,114,Not coffee,non,442379,551912
barils vides de sardines,2,Not coffee,non,442379,551912
barils vieux,1,Not coffee,non,442379,551912
barois,8,Not coffee,non,442379,551912
baromètre,6,Not coffee,non,442379,551912
barques,2,Not coffee,non,442379,551912
barques démontées,1,Not coffee,non,442379,551912
barques en bottes,1,Not coffee,non,442379,551912
barquettes,1,Not coffee,non,442379,551912
barquettes et nacelles,1,Not coffee,non,442379,551912
barquettes vieilles,1,Not coffee,non,442379,551912
barreau de laine,2,Not coffee,non,442379,551912
barreaux,3,Not coffee,non,442379,551912
barreaux de bois,8,Not coffee,non,442379,551912
barreaux de bois et planches de bois,6,Not coffee,non,442379,551912
barreaux de sapin,2,Not coffee,non,442379,551912
barreaux de sapin de 10 pieds,1,Not coffee,non,442379,551912
barreaux neufs,2,Not coffee,non,442379,551912
barres,3,Not coffee,non,442379,551912
barres à nègre,1,Not coffee,non,442379,551912
barres carrées de fer étiré,6,Not coffee,non,9794,551912
barres carrées de fer étiré de 15 inclusivement à 22 millimètres exclusivement,1,Not coffee,non,9794,551912
barres carrées de fer étiré de 15 inclusivement à 22 millimètres exclusivement sur chaque face,1,Not coffee,non,9794,551912
