orthographic_normalization_classification,simplification_classification,nbr_occurences_ortho,nbr_occurences_simpl
toile de chanvre aune,toile de chanvre,1,643
toile de chanvre blanche,toile de chanvre blanche,76,77
toile de chanvre blanche 398 lignes,toile blanche de chanvre 398 lignes,1,1
toile de chanvre coutil,toile de chanvre coutil,6,6
toile de chanvre d'emballage,toile de chanvre d'emballage,15,15
toile de chanvre d'étoupes,toile de chanvre d'étoupes,1,43
toile de chanvre de ???,toile de chanvre de ???,5,5
toile de chanvre de bas prix,toile à bas prix de chanvre,1,1
toile de chanvre de coutil,toile de chanvre de coutil,10,10
toile de chanvre de fil d'épreuve,toile de chanvre et de fil d'épreuve,1,1
toile de chanvre de la ville de Halle,toile de chanvre de Halle,1,2
toile de chanvre dite coutil,toile de chanvre dite coutil,3,3
toile de chanvre dite de Halle,toile de chanvre de Halle,1,2
toile de chanvre diverse,toile de chanvre,67,643
toile de chanvre écrue,toile de chanvre écrue,18,21
toile de chanvre en canevas,toile de chanvre en canevas,1,1
toile de chanvre étoupes,toile de chanvre étoupes,1,1
toile de chanvre étoupes grise,toile de chanvre étoupes grise,1,1
toile de chanvre étoupes grises aune,toile de chanvre étoupes grises aune,1,1
toile de chanvre fine,toile de chanvre fine,3,3
toile de chanvre grise,toile de chanvre grise,7,7
toile de chanvre grosse,toile de chanvre grosse,1,1
toile de chanvre ouvré,toile de chanvre ouvrée,1,2
toile de chanvre ouvrée,toile de chanvre ouvrée,1,2
toile de chanvre peinte,toile de chanvre peinte,2,2
toile de chanvre pour nègre,toile de chanvre pour nègre,1,1
toile de chanvre rousse,toile de chanvre rousse,27,27
toile de chanvre teinte,toile de chanvre teinte,2,2
toile de chanvre trillin,toile de chanvre trillin,1,1
toile de chasse,toile de chasse,23,23
toile de Château-Gontier,toile de Château-Gontier,2,2
toile de Chauvreau,toile de Chauvreau,1,1
toile de Cholet,toile de Cholet,53,53
toile de Clisson,toile de Clisson,1,1
toile de Combourg,toile de Combourg,11,42
toile de Comté,toile de Comté,6,6
toile de cordat,toile de cordat,2,2
toile de coton,toile de coton,930,1246
toile de coton ???,toile de coton ???,17,17
toile de coton à bouquets de laine,toile à bouquets de laine de coton,2,2
toile de coton à carreaux,toile à carreaux et de coton,5,5
toile de coton à fleurs,toile de coton à fleurs,7,13
toile de coton à imprimer,toile de coton à imprimer,1,1
toile de coton antoine,toile de coton antoine,1,1
toile de coton basin,toile de coton basin,37,37
toile de coton bisinette,toile de coton bisinette,1,1
toile de coton blanc,toile blanche de coton,2,96
toile de coton blanc aune,toile blanche de coton,1,96
toile de coton blanche,toile blanche de coton,93,96
toile de coton blanche bas prix,toile à bas prix blanche et de coton,1,1
toile de coton blanche de ???,toile blanche de coton et de ???,1,1
toile de coton blanche des Indes,toile blanche de coton et des Indes,6,7
toile de coton blanche nationale,toile blanche de coton et nationale,6,6
toile de coton blanche pour mouchoirs,toile blanche de coton pour mouchoirs,1,2
toile de coton blanche pour mouchoirs aune,toile blanche de coton pour mouchoirs,1,2
toile de coton blanche rayée,toile blanche de coton et rayée,1,1
toile de coton bleu,toile de coton bleu,4,4
toile de coton bleue,toile bleue de coton,8,8
toile de coton brochée,toile de coton brochée,2,2
toile de coton brodée,toile brodée et de coton,5,5
toile de coton brodée en laine,toile brodée en laine et de coton,1,1
toile de coton brodée en soie,toile brodée en soie et de coton,1,1
toile de coton commune,toile commune de coton,2,2
toile de coton corroyée,toile de coton corroyée,1,1
toile de coton cotonnette,cotonnette,1,3
toile de coton d'Angleterre,toile de coton d'Angleterre,2,2
toile de coton de ???,toile de coton de ???,3,3
toile de coton de coton des Indes,toile de coton des Indes,2,90
toile de coton de coton étranger,toile de coton étranger,1,1
toile de coton de coton français,toile de coton de coton français,4,4
toile de coton de duvet,toile de coton de duvet,1,1
toile de coton de France,toile de coton de France,2,2
toile de coton de juve,toile de coton de juve,1,1
toile de coton de la Compagnie,toile de coton de la Compagnie,1,1
toile de coton de mousseline,mousseline de coton,1,98
toile de coton de Rouen,toile de coton de Rouen,4,4
toile de coton des Indes,toile de coton des Indes,84,90
toile de coton des Indes brodée,toile de coton des Indes brodée,1,1
toile de coton dite armanie,toile de coton dite armanie,2,2
toile de coton dite Guinée,guinée de coton,1,2
toile de coton diverse,toile de coton,96,1246
toile de coton du Levant,toile de coton du Levant,8,8
toile de coton du Piémont,toile de coton du Piémont,1,1
toile de coton en basin,toile en basin de coton,6,6
toile de coton en basin brodé en soie,toile en basin de coton brodé en soie,1,1
toile de coton en fil,toile de fil de coton,1,28
toile de coton en Guinée bleue,guinée bleue de coton,1,1
toile de coton en mousseline,toile de coton mousseline,10,11
toile de coton en mousselinette,mousselinette de coton,1,1
toile de coton en Nankin,nankin,4,193
toile de coton en siamoise,toile de coton en siamoise,5,5
toile de coton et fil,toile de coton et de fil,3,531
toile de coton et fil peinte,toile de coton et de fil peinte,2,2
toile de coton et laine,toile de coton et de laine,1,1
toile de coton et lin,toile de coton et de lin,1,6
toile de coton et mousseline,mousseline et toile de coton,1,1
toile de coton et Nankin,toile de coton,157,1246
toile de coton étrangère,toile de coton étrangère,4,4
toile de coton façon de Nankin,nankin,1,193
toile de coton fine,toile de coton fine,1,8
toile de coton fleurs,toile de coton à fleurs,1,13
toile de coton futaine,futaine de coton,3,6
toile de coton imprimé,toile de coton imprimée,1,20
toile de coton imprimée,toile de coton imprimée,19,20
toile de coton imprimée aune,toile de coton imprimée aune,1,1
toile de coton imprimée bas prix,toile à bas prix de coton et imprimée,1,2
toile de coton imprimée bas prix aune,toile à bas prix de coton et imprimée,1,2
toile de coton imprimée haut prix,toile de coton imprimée et à haut prix,1,2
toile de coton imprimée haut prix aune,toile de coton imprimée et à haut prix,1,2
toile de coton indienne,indienne de coton,8,21
toile de coton mousseline,mousseline de coton,30,98
toile de coton mousseline broché,mousseline brochée de coton,1,1
toile de coton mousseline brodée,mousseline brodée de coton,1,1
toile de coton mousseline et mousselinette,mousseline et mousselinette de coton,1,1
toile de coton nankin,nankin,1,193
toile de coton Nankin,nankin,42,193
toile de coton nationale,toile de coton nationale,5,5
toile de coton non ???,toile de coton non ???,1,1
toile de coton peinte,toile de coton peinte,73,74
toile de coton peinte et imprimée,toile de coton imprimée et peinte,2,3
toile de coton peinte et imprimée aune,toile de coton imprimée et peinte,1,3
toile de coton peinte et indienne,indienne de coton peinte,2,2
toile de coton peinte nationale,toile de coton nationale et peinte,2,2
toile de coton peinte peigne et imprimée,toile de coton imprimée et peigne et peinte,2,2
toile de coton persiste,toile de coton persiste,1,1
toile de coton piquée,toile de coton piquée,2,2
toile de coton pointe,toile de coton pointe,1,1
toile de coton pour mouchoirs,toile de coton pour mouchoirs,1,1
toile de coton pour nègre,toile de coton pour nègre,1,1
toile de coton quadrillée,toile de coton quadrillée,1,1
toile de coton rayée,toile de coton rayée,19,22
toile de coton rayée ou unie,toile de coton rayée ou unie,1,2
toile de coton Rouen,toile de coton Rouen,1,1
toile de coton rousse,toile de coton rousse,2,2
toile de coton saisie,toile de coton saisie,1,1
toile de coton siamoise,siamoise de coton,5,5
toile de coton siamoise à bouquets,siamoise à bouquet de coton,1,1
toile de coton siamoise blanche,siamoise blanche de coton,1,1
toile de coton siamoise imprimée,siamoise de coton imprimée,5,5
toile de coton siamoise teinte,siamoise de coton teinte,1,1
toile de coton soyée,toile de coton et soie,2,2
toile de coton teinte,toile de coton teinte,7,8
toile de coton teinte bas prix,toile de coton teinte et bas prix,1,1
toile de coton teinte et imprimée,toile de coton imprimée et teinte,1,1
toile de coton teinte haut prix,toile de coton haut prix et teinte,1,1
toile de coton teinte pour mouchoirs,toile de coton pour mouchoirs teinte,1,1
toile de cottray,toile de cottray,12,12
toile de couleur,toile de couleur,4,12
toile de couleur rayée,toile rayée de couleur,1,1
toile de couleurs,toile de couleur,6,12
toile de coutil,toile de coutil,37,53
toile de coutil et à carreaux,toile à carreaux et de coutil,39,56
toile de Coutil rayée,toile de coutil rayée,2,2
toile de crin,toile de crin,275,278
toile de crin à tamis (rapatelle),toile de crin à tamis,2,4
toile de demi large,toile de demi large,1,1
toile de demi-Hollande,toile de demi-Hollande,1,1
toile de différente qualité,toile,1,755
toile de Dinant,toile de Dinant,2,2
toile de Dinant commune,toile commune de Dinant,1,1
toile de fil,toile de fil,13,17
toile de fil à carreaux,toile de fil à carreaux,6,7
toile de fil basin,basin de fil,1,4
toile de fil batiste,batiste de fil,12,12
toile de fil blanche,toile de fil blanche,3,3
toile de fil carreaux,toile de fil à carreaux,1,7
toile de fil commune,toile de fil commune,3,3
toile de fil commune de chanvre,toile de chanvre commune et de fil,3,3
toile de fil coutil,toile de fil coutil,4,4
toile de fil de ???,toile de fil de ???,1,1
toile de fil de chanvre,toile de chanvre,1,643
toile de fil de coton,toile de fil de coton,7,28
toile de fil de coton diverse,toile de fil de coton,12,28
toile de fil de coton siamoise,toile de fil de coton siamoise,14,14
toile de fil dite guingan,guingan de fil,8,24
toile de fil diverse,toile de fil,3,17
toile de fil en coton,toile de coton et de fil,3,531
toile de fil en coton siamoise,siamoise de coton et de fil,1,95
toile de fil en coutil,toile de fil en coutil,1,1
toile de fil et coton,toile de coton et de fil,181,531
toile de fil et coton à fleurs,toile de coton et de fil à fleurs,5,14
toile de fil et coton basin,basin de coton et basin de fil,1,2
toile de fil et coton blanche,toile blanche de coton et fil,1,1
toile de fil et coton diverse,toile de coton et de fil,15,531
toile de fil et coton en siamoise blanche,siamoise blanche de coton et de fil,2,2
toile de fil et coton en siamoise imprimée,siamoise de coton et de fil et imprimée,2,2
toile de fil et coton en siamoise teinte,siamoise de coton et de fil et teinte,2,2
toile de fil et coton et siamoise,toile de fil et coton,2,2
toile de fil et coton imprimée,toile de coton et de fil imprimée,3,6
toile de fil et coton siamoise,siamoise de coton et de fil,20,95
toile de fil et coton teinte,toile de coton et de fil teinte,3,6
toile de fil et de coton,toile de coton et de fil,4,531
toile de fil et de coton dire siamoise aune,siamoise de coton et de fil,1,95
toile de fil et de coton dite siamoise,siamoise de coton et de fil,1,95
toile de fil et de coton en siamoise,siamoise de coton et de fil,1,95
toile de fil et de coton siamoise,siamoise de coton et de fil,2,95
toile de fil matelas,matelas de toile de coton et de fil,1,1
toile de fil peinte,toile de fil peinte,2,2
toile de fil teint,toile de fil teinte,2,5
toile de fil teinte,toile de fil teinte,3,5
toile de filezie,toile de filezie,2,2
toile de Flandre,toile de Flandre,34,36
toile de Flandre delin,toile de lin de Flandre,1,15
toile de Flandre fine,toile fine de Flandre,1,1
toile de fleuret de Rouen,toile de fleuret de Rouen,1,2
toile de Fougère,toile de Fougères,1,53
toile de Fougères,toile de Fougères,13,53
toile de frame,toile de frame,1,1
toile de France,toile de France,3,3
toile de Frise,toile de Frise,12,12
toile de Gand,toile de Gand,1,1
toile de Grandville,toile de Grandville,1,1
toile de Grenade,toile de Grenade,18,45
toile de Grenoble,toile de Grenoble,3,3
toile de gris,toile de gris,1,1
toile de Guinée,guinée,2,181
toile de guingan,guingan,8,580
toile de halle,toile de halle,118,118
toile de Hanovre,toile de Hanovre,1,1
toile de haut brin,toile de haut brin,8,8
toile de Hollande,toile de Hollande,59,60
toile de Hollande blanche,toile de Hollande blanche,1,1
toile de Hollande de 15 aunes,toile de 15 aunes de Hollande,3,3
toile de Hollande de 30 aunes,toile de 30 aunes de Hollande,3,3
toile de Hollande de 36 aunes,toile de 36 aunes de Hollande,1,1
toile de Hollande de façon de Hambourg,toile de façon de Hambourg et de Hollande,1,1
toile de Hollande fine de 36 aunes,toile de Hollande fine de 36 aunes,1,1
toile de Hollande pièces de 15 aunes,toile de Hollande pièces de 15 aunes,1,1
toile de Hollande pièces de 30 aunes,toile de Hollande pièces de 30 aunes,1,1
toile de killis,toile de killis,2,4
toile de laine à blutoir,toile de laine pour blutoir,2,2
toile de laine dite herbage,toile de laine dite herbage,1,1
toile de laiton,toile de laiton,1,1
toile de Landerneau,toile de Landerneau,2,28
toile de Languenan,toile de Languenan,13,56
toile de Laval,toile de Laval,292,318
toile de Laval de renvoi,toile de Laval de renvoi,1,1
toile de Léon,toile de Léon,28,39
toile de Lille,toile de Lille,2,2
toile de lin,toile de lin,342,710
toile de lin à carreaux,toile à carreaux et de lin,11,11
toile de lin à doubler,toile de lin à doubler,2,2
toile de lin à faire drap,toile à faire drap de lin,1,1
toile de lin à matelas,toile de lin à matelas,6,6
toile de lin au lait,toile de lin au lait,14,14
toile de lin basin,basin de lin,2,2
toile de lin batiste,batiste,141,559
toile de lin batiste et linon,batiste et linon,60,135
toile de lin Beauvais,toile de lin de Beauvais,1,92
toile de lin blanche,toile de lin blanche,592,600
toile de lin blanche ??? à la frontière,toile blanche de lin ??? à la frontière,5,5
toile de lin blanche à 10 sols et en dessus aune,toile blanche de lin à 10 sols et en dessus,1,1
toile de lin blanche commune,toile blanche de lin,2,23
toile de lin blanche damassée pour nappes et serviettes,toile blanche damassée de lin pour nappes et serviettes,1,1
toile de lin blanche de 12 sols par aune,toile blanche de lin de 12 sols par aune,1,1
toile de lin blanche de 2 sols par aune,toile blanche de lin de 2 sols par aune,1,1
toile de lin blanche de 20 sols par aune,toile blanche de lin de 20 sols par aune,1,1
toile de lin blanche de 30 sols par aune,toile blanche de lin de 30 sols par aune,1,1
toile de lin blanche de 8 sols par aune,toile blanche de lin de 8 sols par aune,1,1
toile de lin blanche de bas prix,toile à bas prix blanche de lin,1,1
toile de lin blanche en dessous de 10 sols,toile blanche de lin en dessous de 10 sols,1,2
toile de lin blanche en dessous de 10 sols aune,toile blanche de lin en dessous de 10 sols,1,2
toile de lin blanche et assortie,toile blanche de lin et toile de lin,6,6
toile de lin blanche fine,toile blanche fine et de lin,3,3
toile de lin blanche haut prix,toile blanche de lin et haut prix,1,1
toile de lin blanche pour nappes et serviettes,toile blanche de lin pour nappes et serviettes,1,1
toile de lin bleue et blanche,toile blanche bleue et de lin,1,1
toile de lin brochée,toile de lin brochée,4,4
toile de lin Cambrai,toile de lin Cambrai,1,1
toile de lin Cholet,toile de lin de Cholet,60,104
toile de lin cirée,toile de lin cirée,1,1
toile de lin claire,toile de lin claire,3,3
toile de lin claire et gaze,toile de lin claire et gaze,2,2
toile de lin commune,toile de lin,33,710
toile de lin coutel,toile de lin coutel,1,1
toile de lin coutil,toile de lin coutil,6,6
toile de lin crée large,toile crée large de lin,1,1
toile de lin crue,toile de lin crue,3,3
toile de lin d'Abbeville,toile de lin d'Abbeville,1,1
toile de lin d'Alençon,toile de lin d'Alençon,2,2
toile de lin d'Amiens,toile de lin d'Amiens,1,1
toile de lin d'Arras,toile de lin d'Arras,1,1
toile de lin d'emballage,toile d'emballage de lin,1,1
toile de lin de 13 aunes,toile de lin de 13 aunes,1,1
toile de lin de 15 aunes,toile de lin de 15 aunes,1,1
toile de lin de Beaujolais,toile de lin de Beaujolais,1,1
toile de lin de Beauvais,toile de lin de Beauvais,91,92
toile de lin de Bernay,toile de lin de Bernay,1,1
toile de lin de Cambrai,toile de Cambrai et de lin,10,10
toile de lin de châles,toile de châles et de lin,1,1
toile de lin de Cholet,toile de lin de Cholet,44,104
toile de lin de Flandre,toile de lin de Flandre,14,15
toile de lin de Frise,toile de lin de Frise,1,1
toile de lin de Gand,toile de lin de Gand,1,1
toile de lin de Hollande,toile de lin de Hollande,38,39
toile de lin de Laval,toile de lin de Laval,186,187
toile de lin de Lille,toile de lin de Lille,7,8
