simplification,nbr_occurences_simpl,edentreaty,obsolete,nbr_occurences_edentreaty
bajutapau commun,1,,non,739563
bajutapau des Indes,3,,oui,739563
"bajutapau, canelis, etc.",3,,non,739563
bakeliau et stockfis,0,,oui,739563
balais,127,,non,739563
balais communs,5,,non,739563
balais coupés,3,,non,739563
balais de bois,39,,non,739563
balais de brandes,1,,non,739563
balais de bruyère,12,,non,739563
balais de chanvre,1,,non,739563
balais de crin,12,,non,739563
balais de foyer,1,,non,739563
balais de jonc,50,,non,739563
balais de jonc petits,1,,non,739563
balais de laine à laver les planchers,1,,non,739563
balais de Livourne,3,,non,739563
balais de millet,2,,non,739563
balais de paille,2,,non,739563
balais de paille de riz,6,,non,739563
balais de palme,296,,non,739563
balais de palme petits,2,,non,739563
balais de plumes,3,,non,739563
balais de poil,2,,non,739563
balais de riz,5,,non,739563
balais de soie,7,,non,739563
balais de soie de porcs,18,,non,739563
balais de toile,1,,non,739563
balais du roi,1,,non,739563
balais fins,1,,non,739563
balais grands de palme,3,,non,739563
balais ou ramons,101,,non,739563
balais petits,6,,non,739563
balance,11,,non,739563
balance à la romaine,1,,non,739563
balance complète,1,,non,739563
balance de bois,1,,non,739563
balance de cuivre,8,,non,739563
balance de cuivre jaune,1,,non,739563
balance de fer,4,,non,739563
balance et poids de cuivre,1,,non,739563
balance et romaine,2,,non,739563
balance et ses poids,1,,non,739563
balance ou fléaux en fer,3,,non,739563
balance petite,1,,non,739563
balance romaine,3,,non,739563
balauste,0,,oui,739563
balcon de fer,1,,non,739563
baleine,125,,non,739563
baleine apprêtée,1,,non,739563
baleine coupée,775,,non,739563
baleine coupée en fanon,11,,non,739563
baleine coupée et en fanon,11,,non,739563
baleine de sarde,18,,non,739563
baleine en fanon,286,,non,739563
baleine en fanon apprêté,4,,oui,739563
baleine en fanon brut,4,,oui,739563
baleine en fanon brut de pêche étrangère,2,,oui,739563
baleine en fanon brut de pêche française,2,,oui,739563
baleine en fanon de sarde,19,,oui,739563
baleine en fanon et de sarde,1,,non,739563
baleine non sciée,75,,non,739563
baleine taillée,2,,non,739563
balles,8,,non,739563
balles à jouer,105,,non,739563
balles d'osier,3,,non,739563
balles de fer et canons de fer,51,,non,739563
balles de fer uni,1,,non,739563
balles de jonc,1,,non,739563
balles de laine,1,,non,739563
balles de palme,1,,non,739563
balles de plomb,8,,non,739563
balles de plumes,1,,non,739563
