marchandises_normalisees	marchandises_simplifiées	SITC_rev1	SITC_rev2	remarques_marchandises	sitc1digit	sitc18thc	alternativenames	marchandises_pour_graphe_RG
Bois ; de marqueterie ; marbre	Marbre	2	2					
Bois ; de menuiserie	Bois	2	2					
Bois ; de merrains	Bois	2	2					
Bois ; de noyer	Bois	2	2					
Bois ; de palisante	Bois	2	2	bois servant à tourner et embellir	2	2	bois servant à tourner et embellir	
Bois ; de palissandre	Bois	2	2					
Bois ; de pernambouc	Bois	2	2					
Bois ; de pin	Bois	2	2					
Bois ; de Provence, sernambue et campeche	Bois	2	2		5	5		
Bois ; de Rodes	Bois	2	2					
Bois ; de romarin	Bois	2	2	bois servant à tourner et embellir	2	2	bois servant à tourner et embellir	
Bois ; de rose	Bois	2	2					
Bois ; de rouage	Bois	2	2					
Bois ; de rouage et ouvrages de charonerie	Bois ; ouvré	2	2		2	2		
Bois ; de santal	Bois	2	2					
Bois ; de santal ; moulu	Bois	2	2					
Bois ; de sapin	Bois	2	2					
Bois ; de sapin pour charpente	Bois	2	2		2	2		
Bois ; de Saune	Bois	2	2					
Bois ; de Saxafras	Bois	0	0a					
Bois ; de selles	Bois	2	2		2	2		
Bois ; de Siramonbas	Bois	2	2					
Bois ; de Ste Marthe	Bois	2	2					
Bois ; de terre	Bois	2	2					
Bois ; de toutes sortes	Bois	2	2					
Bois ; de toutes sortes déclarés par valeur	Bois	2	2		6	6		
Bois ; de violette	Bois	2	2					
Bois ; des Iles	Bois	2	2					
Bois ; dit 'ricter'	Bois	2	2					
Bois ; dit schaelen ou rebus de Bois ;	Bois	2	2		2	2		
Bois ; dit werres	Bois	2	2	werres, verris	2	2	werres, verris	
Bois ; divers	Bois	2	2					
Bois ; divers	Bois	2	2					
Bois ; doré	Bois	2	2					
Bois ; du Japon	Bois	2	2					...
Bois ; durci	Bois	2	2					...
Bois ; en barreaux	Bois	2	2					...
Bois ; en barreaux et planches	Bois	2	2					
Bois ; en barres	Bois	2	2					...
Bois ; en feuillard et cercles	Bois	2	2					
Bois ; en tranches	Bois	2	2					
Bois ; esparts	Bois	2	2					...
Bois ; et jus de réglisse	Réglisse	5	5		5	5		
Bois ; et ouvrage de charonnerie	Bois ; ouvré	6	6		6	6		
Bois ; fagots	Bois ; à brûler	3	3					
Bois ; feuillard et en cercles	Bois ; feuillard et en cercles	2	2					
Bois ; fustel	Bois	2	2					
Bois ; gros	Bois	2	2					
Bois ; jaune	Bois	2	2					
Bois ; marbré	Bois	2	2					
Bois ; merrain	Bois	2	2					
Bois ; merrain ; à barils	Bois	2	2					
Bois ; merrain ; à barriques	Bois	2	2					
Bois ; merrain ; à bottes	Bois	2	2					...
Bois ; merrain ; a busses	Bois	2	2					
Bois ; merrain ; à fonds	Bois	2	2					
Bois ; merrain ; à pipes	Bois	2	2					
Bois ; merrain ; à quarts	Bois	2	2					
Bois ; merrain ; à Sonds	Bois	2	2					
Bois ; merrain ; à tierçons	Bois	2	2					
Bois ; merrain ; à tonneaux	Bois	2	2					
