marchandises_normalisees	marchandises_pour_graphe_RG	SITC_rev1	SITC_18th	remarks_marchandises	_merge
Bourdilles	...	2	2	Bois de chênes	matched (3)
Bourdillons	...	2	2		matched (3)
Bourre ; à bâtier	...	2	2		master only (1)
Bourre ; à bâtir	...	2	2		matched (3)
Bourre ; chiquette	...	2	2		matched (3)
Bourre ; de beuf	...	2	2		matched (3)
Bourre ; de bœuf	...	2	2		matched (3)
Bourre ; de chèvre	...	2	2		matched (3)
Bourre ; de drap	...	2	2		matched (3)
Bourre ; de fil	...	2	2		matched (3)
Bourre ; de laine	...	2	2		matched (3)
Bourre ; de Levant	...	2	2		matched (3)
Bourre ; de soie	...	2	2		matched (3)
Bourre-lanisse	...	2	2	Chute de laine	matched (3)
Bourse	...	8	8		matched (3)
Bourse ; à bartier	...	8	8		matched (3)
Bourse ; à butier	...	8	8		matched (3)
Bourse ; à chevaux	...	8	8		matched (3)
Bourse ; à cheveux	...	8	8		matched (3)
Bourse ; de coton	...	8	8		matched (3)
Bourse ; de coton et fil	...	8	8		matched (3)
Bourse ; de Damas	...	8	8		matched (3)
Bourse ; de fil	...	8	8		matched (3)
Bourse ; de soie	...	8	8		matched (3)
Bourse ; or et argent	...	8	8		matched (3)
Boussolles	...	8	8		matched (3)
Boutannes	Cotton	6	6d	Vient du Levant / Vient du Levant Boutannes d’Alep/de Chypre, toile du Levant, qui devait être importée depuis Marseille au début du XVIIIe siècleBD	matched (3)
Bouteilles	...	6	6		matched (3)
Bouteilles ; de bois	...	6	6		matched (3)
Bouteilles ; de composition	...	6	6		matched (3)
Bouteilles ; de grez	...	6	6		matched (3)
Bouteilles ; de verre	...	6	6		matched (3)
Boutonières ; d'or	...	6	6		matched (3)
Boutons ; à pierres ; fausses	...	8	8		matched (3)
Boutons ; d'argent	...	8	8		matched (3)
Boutons ; d'étain	...	8	8		matched (3)
Boutons ; d'or	...	8	8		matched (3)
Boutons ; d'or ; faux	...	8	8		matched (3)
Boutons ; d'or et d'argent	...	8	8		matched (3)
Boutons ; de coco	...	8	8		matched (3)
Boutons ; de coton	...	8	8		matched (3)
Boutons ; de crin	...	8	8		matched (3)
Boutons ; de cristal	...	8	8		matched (3)
Boutons ; de cuivre	...	8	8		matched (3)
Boutons ; de fil	...	8	8		matched (3)
Boutons ; de fil blanc	...	8	8		matched (3)
Boutons ; de fil d'argent	...	8	8		matched (3)
Boutons ; de fil d'or	...	8	8		matched (3)
Boutons ; de fil d'or et d'argent	...	8	8		matched (3)
Boutons ; de fil or et argent	...	8	8		matched (3)
Boutons ; de jais	...	8	8		matched (3)
Boutons ; de laiton	...	8	8		matched (3)
Boutons ; de manches	...	8	8		matched (3)
Boutons ; de métal	...	8	8		matched (3)
Boutons ; de nacre	...	8	8		matched (3)
Boutons ; de poil	...	8	8		matched (3)
Boutons ; de poil ; de chèvre	...	8	8		matched (3)
Boutons ; de soie	...	8	8		matched (3)
Boutons ; de soie à poil	...	8	8		matched (3)
Boutons ; divers	...	8	8		matched (3)
Boutons ; dorure ; d'argent	...	8	8		matched (3)
Boutons ; dorure ; d'or et d'argent	...	8	8		matched (3)
Boutons ; dorure ; d'or faux	...	8	8		matched (3)
Boutons ; dorure ; d'or fin	...	8	8		matched (3)
Bouts ; de corne	...	2	2		matched (3)
Boutty	broadcloth	6	6b	Boussy ? Bouffy ? Vers l'Espagne Bouffi ? Camelot (en picard) BD	matched (3)
Boyaux ; salés	...	0	0a		matched (3)
Brai, goudron et résine	...	5	5		matched (3)
Brai, goudron, poix et résine	...	5	5		matched (3)
Brancards ; de fer	...	6	6		matched (3)
Brandans	...	...	...	De bordeaux Pièces vers la Guinée	matched (3)
Brandebourgs	...	8	8		matched (3)
Brandebourgs ; d'or	...	8	8		matched (3)
Brandebourgs ; de fil	…	8	8		matched (3)
Bras ; de cheminée	...	6	6		matched (3)
Braule	...	6	6a	Branle : « forte toile longue de 7 à 8 pieds qu’on suspend dans un vaisseau par les 4 coins » (à distinguer du hamac) [Savary] BD	matched (3)
Bray	...	5	5		matched (3)
Bray ; goudron	...	5	5		matched (3)
Bray ; goudron et résine	...	5	5		matched (3)
Bray ; gras	...	5	5		matched (3)
Bray ; raze	...	5	5		matched (3)
Bray ; résine	...	5	5		matched (3)
Bray ; sec	...	5	5		matched (3)
Bray ; Soix blanche et noire	...	5	5		matched (3)
Bray et goudron	...	5	5		matched (3)
Brebis	…	0	0a		matched (3)
Brian	...	...	...		matched (3)
Brigadis	...	6	6	Sorte de cuir (qu’on fabrique aussi en Dauphiné) (BD)	matched (3)
Briques	...	6	6		matched (3)
Briquets	...	8	8		matched (3)
Bris d'espars	...	2	2		matched (3)
Brochets	...	0	0a		matched (3)
Broderie	…	6	6a		matched (3)
Bronze	...	6	6		matched (3)
Brosseries	...	6	6		matched (3)
Brouettes	...	6	6		matched (3)
Brousse fraiche	...	0	0a		matched (3)
Brun ; rouge	...	5	5	Oxyde de fer (pigment) BD	matched (3)
Brustes ; à tisserand	...	...	...	Importation de Savoie – toile brut pour tisserands ? BD	matched (3)
Bruyere	...	2	2		matched (3)
Buffletin	...	8	8	Juste-corps confectionné dans du cuir de buffle du levant	matched (3)
Burat	...	6	6b	étoffe de laine, fabriquée notamment en Dauphiné et Languedoc BD	matched (3)
Bure	...	6	6b		matched (3)
Bure ; étoffe	...	6	6b		matched (3)
Bureaux	...	8	8		matched (3)
Bureaux ; de noyer	...	8	8		matched (3)
Cabarets	...	8	8		matched (3)
Cabarets ; vernis	...	8	8		matched (3)
Cabas	...	8	8		matched (3)
Cabas ; de joncs	...	8	8		matched (3)
Cabas ; de palmes	...	8	8		matched (3)
Cabillauds	...	0	0a		matched (3)
Cables	...	6	6		matched (3)
Cables ; de Navire	...	7	7		matched (3)
Caboches	...	6	6	Clou à large tête	matched (3)
Cabriolets	...	7	7		matched (3)
Cacao	Cacao	0	0b		matched (3)
Cacao ; étranger	Cacao	0	0b		matched (3)
Cachets ; d'argent	…	9	9		matched (3)
Cachou	...	5	5		matched (3)
Cadenats	...	6	6		matched (3)
Cadis	...	6	6b		matched (3)
Cadres ; de bois	...	8	8		matched (3)
Cadres ; dorés	...	8	8		matched (3)
Café	Café	0	0b		matched (3)
Café ; de Bourbon	Café	0	0b		matched (3)
Café ; de Levant	Café	0	0b		matched (3)
Café ; de Moka	Café	0	0b		matched (3)
Café ; des Iles	Café	0	0b		matched (3)
Café ; Ordinaire	Café	0	0b		matched (3)
Café ; Ordinaire ; de Levant	Café	0	0b		matched (3)
Café ; Ordinaire ; Etranger	Café	0	0b		matched (3)
Cafetières	…	8	8		matched (3)
Cages	...	6	6		matched (3)
Cages d'oiseau	...	6	6		matched (3)
Cailloux	…	2	2		matched (3)
Caisses ; à carafons	…	9	9		matched (3)
Caladaris	cotton	6	6d	Toile de coton rayée (Savary)	matched (3)
Calamine	...	2	2	Un des principaux minerais du zinc	matched (3)
Calamus	...	2	2	Plante, y compris palmiers rottin	matched (3)
Calamus ; aromatisé	...	2	2		matched (3)
Calandrine	...	...	...	Calandre : machine	matched (3)
Calêches	...	7	7		matched (3)
Callemande	...	6	6b	Etoffe de laine (calamandre)	matched (3)
Calottes	...	6	6		matched (3)
Cambaye	...	...	...	vient de hollande ? Pièces 1780	matched (3)
Cambouis	...	2	2		matched (3)
Camelot	...	6	6		matched (3)
Camelot ; a peu de soye	...	6	6c		matched (3)
Camelot ; au quart	...	6	6b		matched (3)
Camelot ; burail	...	6	6b		matched (3)
Camelot ; d'amiens	...	6	6b		matched (3)
Camelot ; d'auvergne	...	6	6b		matched (3)
Camelot ; d'Hollande	...	6	6b		matched (3)
Camelot ; de laine	...	6	6b		matched (3)
Camelot ; de poil	...	6	6b		matched (3)
Camelot ; de soye	silk fabrics	6	6c		matched (3)
Camelot ; de terine	...	6	6b		matched (3)
Camelot ; des Indes	...	6	6b		matched (3)
Camelot ; my soie	silk fabrics	6	6c		matched (3)
Camelot ; poil et laine	...	6	6b		matched (3)
Camelot ; poil et soie	silk fabrics	6	6c		matched (3)
Camisolles	...	8	8		matched (3)
Camphre	...	5	5		matched (3)
Canards	…	0	0a		matched (3)
Candetas	...	...	...	Candelas ? (bougies) BD	matched (3)
Canefices	...	0	0b	Épice	matched (3)
Canefiée	...	5	5	Graine d'orient utilisé comme laxatif	matched (3)
Canelle	...	0	0b		matched (3)
Canelle ; gerofflée	...	0	0b		matched (3)
Canetilles ; d'or faux	...	6	6	Fil de métal très fin	matched (3)
Caneva	...	6	6		matched (3)
Canevettes	…	…	…		matched (3)
Cannelle	...	0	0b		matched (3)
Cannes ; à main	...	8	8		matched (3)
Cannes ; diverses	...	8	8		matched (3)
Cannettes  ; d'étain	...	6	6		master only (1)
Cannettes ; d'étain	...	6	6		using only (2)
Cannettes ; de grez	...	6	6		matched (3)
Cannettes ; de terre	...	6	6		matched (3)
Cannettes ; ocyrez	...	6	6		matched (3)
Cannevettes	...	6	6	Canevette. Sert à exporter les huiles aux Antilles	matched (3)
Cannevettes ; de grez	...	6	6		matched (3)
Canonieres de cantil	...	9	9		matched (3)
Canons ; de fer	...	9	9		matched (3)
Canons ; de fonte	...	9	9		matched (3)
Canons ; de fusils	...	9	9		matched (3)
Cantarides	...	5	5	Insecte utilisé comme aphrodisiaque	matched (3)
Caparassons	...	9	9	Armur pour cheval	matched (3)
Capas	...	...	...	Capes ? BD	matched (3)
Capeabas	...	...	...	Importation d'Italie 1752	matched (3)
Capes ; de Bearn	...	8	8		matched (3)
Capes ; de camelot	...	8	8		matched (3)
Capies	...	8	8	Burette à vin de forme et d'usage antique en potterie	matched (3)
Capilaire	...	5	5	Plante (ou sirop ?)	matched (3)
Capilaire ; en herbe	...	5	5		matched (3)
Capiton	...	2	2	Bourre de soie	matched (3)
Capots	...	8	8	Manteau à capuchon	matched (3)
Câpres	...	0	0a		matched (3)
Capsliatte	...	...	...		matched (3)
Carabé	...	2	2	Ambre jaune utilisé en médecine	matched (3)
Caractères d'imprimerie	...	7	7		matched (3)
Caramel	…	0	0a		matched (3)
Carcasses	...	0	0a		matched (3)
Cardamomum	...	0	0b		matched (3)
Cardes ; à carder	...	7	7		matched (3)
Cardes ; à drapier	...	7	7		matched (3)
Cardes ; neuves	...	7	7		matched (3)
Cardons	...	0	0a		matched (3)
Carizé	...	6	6b	Carizet : etoffe de laine croisée qui se fabrique en Angleterre (Savary)	matched (3)
Carlé	...	6	6b	Carlet : sorte de petite étoffe tout de laine (Savary)	matched (3)
Carmin	...	5	5		matched (3)
Carnadières	...	9	9	Fusil / partie d'un fusil	matched (3)
Carnasse	...	2	2	résidu de tannerie après le nettoyage des chairs	matched (3)
Carnatane	...	...	...		matched (3)
Carny	...	5	5	Drogue	matched (3)
Carols	...	6	6a	Carole : toile BD	matched (3)
Carosses	...	7	7		matched (3)
Carpeaux ; alvins	...	0	0a	Petits poissons	matched (3)
Carpes	...	0	0a		matched (3)
Carpette	...	6	6		matched (3)
Carré	...	6	6	Morceau de cuir (Savary)	matched (3)
Carreaux ; ?	...	6	6		matched (3)
Carreaux ; à paver	...	6	6		matched (3)
Carreaux ; bleux	...	6	6		matched (3)
Carreaux ; d'ardoises	...	6	6		matched (3)
Carreaux ; de bidache	...	6	6		matched (3)
Carreaux ; de brique	...	6	6		matched (3)
Carreaux ; de dentelle	...	6	6		matched (3)
Carreaux ; de fayance	...	6	6		matched (3)
Carreaux ; De lorre	...	6	6		matched (3)
Carreaux ; de marbre	...	6	6		matched (3)
Carreaux ; de pierres	...	6	6		matched (3)
Carreaux ; de sera	...	6	6		matched (3)
Carreaux ; de terre	...	6	6		matched (3)
Carreaux ; moulage	...	6	6		matched (3)
Carreaux ; noir	...	6	6		matched (3)
Carrouges	...	2	2	Fruit d'Espagne / Sert en médecine	matched (3)
Cartes ; à jouer	...	8	8		matched (3)
Cartes ; géographiques	...	8	8		matched (3)
Cartes ; marines	...	8	8		matched (3)
Cartons	...	6	6		matched (3)
Carubi	...	...	...	Caroube ? BD	matched (3)
Carubis	...	...	...	Caroube ? BD	matched (3)
Carzé	...	...	...		matched (3)
Casaques de peau	…	8	8		matched (3)
Cascarilles	...	5	5	Ecorce (ou essence)	matched (3)
Casse	...	2	2	Moelle de cerf	matched (3)
Casse ; de fer	...	5	5		matched (3)
Casse ; de laiton	...	5	5		matched (3)
Casse ; remèdes	...	5	5	Laxatif	matched (3)
Casse Etoffe	...	6	6		matched (3)
Casselas	...	...	...		matched (3)
Cassia Lignea	...	2	2		matched (3)
Cassis	...	0	0a		matched (3)
Cassoles	...	8	8	Plat à cassoulet en terre cuite	matched (3)
Castalogne	...	6	6b	Couverture de lit (laine)	matched (3)
Castoteunt	…	…	…		matched (3)
Cauris	...	2	2		matched (3)
Causels de bar	…	…	…	Caisses de bois ? BD	matched (3)
Causes de bois	...	...	...	Causelit ? Importation de savoie	matched (3)
Caves ; avec flacons	...	8	8		matched (3)
Caves ; garnies	...	8	8		matched (3)
Cédras	...	2	2		matched (3)
Ceintures	...	6	6		matched (3)
Ceintures de laine	...	6	6		matched (3)
Ceinturons	...	6	6		matched (3)
Cendaline	...	6	6c	cordelettes de soie	matched (3)
Cendre	...	5	5		matched (3)
Cendre ; à fumer	...	5	5		matched (3)
Cendre ; à fumer ; terre	...	5	5		matched (3)
Cendre ; à orfèvre	...	5	5		matched (3)
Cendre ; Barille	...	5	5		matched (3)
Cendre ; blan	...	5	5		matched (3)
Cendre ; bleue	...	5	5		matched (3)
Cendre ; Bourde	...	5	5		matched (3)
Cendre ; broyée ; à l'huile	...	5	5		matched (3)
Cendre ; caleinée	...	5	5		matched (3)
Cendre ; cassant	...	5	5		matched (3)
Cendre ; casseaux	...	5	5		matched (3)
Cendre ; commune	...	5	5		matched (3)
Cendre ; de bois	...	5	5		matched (3)
Cendre ; de chaux	...	5	5		matched (3)
Cendre ; de courbe	...	5	5		matched (3)
Cendre ; de houille	...	5	5		matched (3)
Cendre ; de lessive	...	5	5		matched (3)
Cendre ; de mer	...	5	5		matched (3)
Cendre ; de plomb	...	5	5		matched (3)
Cendre ; de Sicile	...	5	5		matched (3)
Cendre ; de soude	...	5	5		matched (3)
Cendre ; de Vareck	...	5	5		matched (3)
Cendre ; de varet	...	5	5		matched (3)
Cendre ; de verre	...	5	5		matched (3)
Cendre ; dite soude	...	5	5		matched (3)
Cendre ; diverses	...	5	5		matched (3)
Cendre ; flore	...	5	5		matched (3)
Cendre ; gravelée	...	5	5		matched (3)
Cendre ; poreuse	...	5	5		matched (3)
Cendre ; potasse	...	5	5		matched (3)
Cendre ; vedasse	...	5	5		matched (3)
Cendre ; verte	...	5	5		matched (3)
Censes de batiments	...	...	...	Importation de Gênes 1759	matched (3)
Cercles ; à tamis	...	6	6		matched (3)
Cercles ; à tonneaux	...	6	6		matched (3)
Cercles ; de bois	...	6	6		matched (3)
Cercles ; ocloir	...	6	6		matched (3)
Cercocole	...	...	...	Importation de Hollande 1757	matched (3)
Cerises	…	0	0a		matched (3)
Cerneaux	...	0	0a		matched (3)
Ceruse	...	5	5		matched (3)
cervelas	...	0	0a		matched (3)
Cervelats	...	0	0a		master only (1)
Cevadilles	...	5	5	Champignon de malte ? Du mexique ? Poudre très fine contre epizootie	matched (3)
Chair ; de boucherie	…	4	4		matched (3)
Chair ; fumée	…	4	4		matched (3)
Chair ; salée	…	4	4		matched (3)
Chair ; salée ; bœuf	…	4	4		matched (3)
Chair ; salée ; boyaux	…	4	4		matched (3)
Chair ; salée ; cuisse d'oie	…	4	4		matched (3)
Chair ; salée ; de porc	…	4	4		matched (3)
Chair ; salée ; diverses	…	4	4		matched (3)
Chair ; salée ; jambon	…	4	4		matched (3)
Chair ; salée ; lard	…	4	4		matched (3)
Chair ; salée ; petit salé	…	4	4		matched (3)
Chair ; salée ; saucissons	…	4	4		matched (3)
Chaises ; à porteur	...	8	8		matched (3)
Chaises ; de canne	...	8	8		matched (3)
Chaises ; de commodité	...	8	8		matched (3)
Chaises ; de joncs	...	8	8		matched (3)
Chaises ; de paille	...	8	8		matched (3)
Chaises ; de poste	...	8	8		matched (3)
Chaises ; de rottins	...	8	8		matched (3)
Chaises et fauteuils	...	8	8		matched (3)
Chaises et fauteuils de canne	...	8	8		matched (3)
Chalbafs	...	...	...	Sortie vers Hollande 1757	matched (3)
Chalons	...	6	6b	Serges à la façon de Châlons BD	matched (3)
Champhew	...	...	...	Sortie vers Hollande 1761	matched (3)
Champignons	...	0	0a		matched (3)
Chandeliers ; de cuivre	…	8	8		matched (3)
Chandelles	...	8	8		matched (3)
Chandelles ; à porteur	...	8	8		matched (3)
Chandelles ; de canne	...	8	8		matched (3)
Chandelles ; de commodité	...	8	8		matched (3)
Chandelles ; de Jongs	...	8	8		matched (3)
Chandelles ; de paille	...	8	8		matched (3)
Chandelles ; de rollins	...	8	8		matched (3)
Chandelles ; de suif	...	8	8		matched (3)
Chandelles ; moitié cire	...	8	8		matched (3)
Chandelles ; roulantes	...	8	8		matched (3)
Changeante	...	...	...		matched (3)
Chanvre	...	2	2		matched (3)
Chanvre ; apprêté	...	2	2		matched (3)
Chanvre ; battu	...	2	2		matched (3)
Chanvre ; brut	...	2	2		matched (3)
Chanvre ; cru	...	2	2		matched (3)
Chanvre ; de masse	…	2	2		matched (3)
Chanvre ; divers	...	2	2		matched (3)
Chanvre ; eau	...	2	2		matched (3)
Chanvre ; en masse	...	2	2		matched (3)
Chanvre ; en rames	...	2	2		matched (3)
Chanvre ; peigné	...	2	2		matched (3)
Chanvre ; tillé	...	2	2		matched (3)
Chanvre et lin	...	2	2		matched (3)
Chapeaux ; à nègres	...	8	8		matched (3)
Chapeaux ; assortis	...	8	8		matched (3)
Chapeaux ; bordés	...	8	8		matched (3)
Chapeaux ; castor	...	8	8		matched (3)
Chapeaux ; communs	...	8	8		matched (3)
Chapeaux ; d'écorces d'arbre	...	8	8		matched (3)
Chapeaux ; dauphins	...	8	8		matched (3)
Chapeaux ; de bois	...	8	8		matched (3)
Chapeaux ; de coupeaux	...	8	8		matched (3)
Chapeaux ; de cuir	...	8	8		matched (3)
Chapeaux ; de femme	...	8	8		matched (3)
Chapeaux ; de feutre	...	8	8		matched (3)
Chapeaux ; de laine	...	8	8		matched (3)
Chapeaux ; de paille	...	8	8		matched (3)
Chapeaux ; de poil	...	8	8		matched (3)
Chapeaux ; de satin	...	8	8		matched (3)
Chapeaux ; de soie	...	8	8		matched (3)
Chapeaux ; de velours	...	8	8		matched (3)
Chapeaux ; de vigogne	...	8	8		matched (3)
Chapeaux ; divers	...	8	8		matched (3)
Chapeaux ; en laine	...	8	8		matched (3)
Chapeaux ; fins	...	8	8		matched (3)
Chapeaux ; mi castor	...	8	8		matched (3)
Chapeaux ; mi vigogne	...	8	8		matched (3)
Chapeaux ; perse	...	8	8		matched (3)
Chapeaux ; poil et laine	...	8	8		matched (3)
Chapeaux ; sortis	...	8	8		matched (3)
Chapeaux ; unis	...	8	8		matched (3)
Chapeaux ; vigogne	...	8	8		matched (3)
Chapelets	...	6	6		matched (3)
Chapelets ; commun	...	6	6		matched (3)
Chapelets ; de bois	...	6	6		matched (3)
Chapelets ; de coco	...	6	6		matched (3)
Chapelets ; de verre	...	6	6		matched (3)
Chapellerie	...	6	6		matched (3)
Chaplas	...	...	...		matched (3)
Chapons	...	2	2		matched (3)
Charbon	...	3	3		matched (3)
Charbon ; de bois	...	3	3		matched (3)
Charbon ; de pierre	coal	3	3		matched (3)
Charbon ; de terre	coal	3	3		matched (3)
Charbons	...	3	3		master only (1)
Chardons	...	2	2		matched (3)
Chardons ; à drapier	...	2	2		matched (3)
Chariots	...	7	7		matched (3)
Chariots ; neufs	...	7	7		matched (3)
Charlotonne	...	...	...		matched (3)
Charues	...	7	7		matched (3)
Chasselas	...	0	0a		matched (3)
Chassemouches	...	8	8		matched (3)
Chasubles	...	8	8		matched (3)
Chataigne	...	0	0a		matched (3)
Chatons	...	2	2	Fleurs de noyer ? Plutôt qu'animal	matched (3)
Chauffepied	...	6	6a		matched (3)
Chausseterie	...	6	6		matched (3)
Chaussettes ; de fil	...	6	6		matched (3)
Chaussons	...	6	6		matched (3)
Chaussons ; de fil	...	6	6		matched (3)
Chaux	...	2	2		matched (3)
Chazetas	...	...	...	Charettes ? BD	matched (3)
Cheminée ; de marbre	…	7	7		matched (3)
Chemises	...	8	8		matched (3)
Chemises ; à nègres	...	0	0a		matched (3)
Chemises ; bretonnes	...	8	8		matched (3)
Chemises ; communes	...	8	8		matched (3)
Chemises ; de gingas	...	8	8		matched (3)
Chemises ; de lin	...	8	8		matched (3)
Chemises ; fines	...	8	8		matched (3)
Chemises ; garnies	...	8	8		matched (3)
Chemises ; gingas	...	8	8		matched (3)
Chemises ; unies	...	8	8		matched (3)
Chenille ; au Quart	...	...	...		matched (3)
Chenille ; de soie	...	0	0a		matched (3)
Cheval ; de bois	…	6	6		matched (3)
Chevrons	...	6	6		matched (3)
Chevrons ; de bois	...	6	6		matched (3)
Chevrons ; de chene	...	6	6		matched (3)
Chevrons ; de sapin	...	6	6		matched (3)
Chicotin	...	5	5		matched (3)
Chiens	...	9	9		matched (3)
Chilas	cotton	6	6d	Toiles de coton à carreau - Bengale	matched (3)
Chine	...	6	6		matched (3)
Chinois	...	6	6	Aussi un fruit ?	matched (3)
Chitte	...	6	6d	Toile de coton des Indes	matched (3)
Chitte ; étoffe	...	6	6d	Toile de coton des Indes	matched (3)
Chivelles	...	...	...	Village ?	matched (3)
Chocolat	Cacao	0	0b		matched (3)
Choux	...	0	0a		matched (3)
Choux ; confits	...	0	0a		matched (3)
Choux ; fleurs	...	0	0a		matched (3)
Chuquelas	cotton	6	6d	Etoffe de soie et cotton, fabriquée aux Indes orientales	matched (3)
Cidre	...	1	1		matched (3)
Cierges	...	8	8		matched (3)
Ciment	…	2	2		matched (3)
Cinabre	...	5	5	Sulfure de mercure	matched (3)
Cire ; à cacheter	...	4	4		matched (3)
Cire ; blanche	...	4	4		matched (3)
Cire ; blanche et jaune	...	4	4		matched (3)
Cire ; blanche et jaune ; fondue et en bougie	...	4	4		matched (3)
Cire ; d'Espagne	...	4	4		matched (3)
Cire ; diverses	...	4	4		matched (3)
Cire ; en bougie	...	4	4		matched (3)
Cire ; en crasse	...	4	4		matched (3)
Cire ; en grabeau	...	4	4		matched (3)
Cire ; en grains	...	4	4		matched (3)
Cire ; en pain	...	4	4		matched (3)
Cire ; jaune	...	4	4		matched (3)
Cire ; verte	...	4	4		matched (3)
Cirsaca	cotton	6	6d	Textile de coton ?	matched (3)
Ciseaux	...	6	6		matched (3)
Citrons	...	0	0a		matched (3)
Citrons ; confits	...	0	0a		matched (3)
Citrons et oranges	...	0	0a		matched (3)
Clavecin	...	8	8		matched (3)
Clayes ; à parquer	...	6	6	ustensil de vannier claye savary	matched (3)
Clinquant ; d'or faux	...	6	6	Broderie où il est entré beaucoup de ces lames	matched (3)
