product,orthographic_normalization,note
bois à teindre,bois ; à teindre,
vitriol de Chipre,vitriol ; de Chypre,
turbit,turbit,"Savary, volume 3, dictionnaire universel de commerce : turbit : Racine médicinale qui vient des grandes Indes"
tutie,tutie,cnrtl.fr : Tuthie ou Tutie : Chimie : Oxyde de zinc résultant de la calcination de certains minerais et entrant dans la préparation de certains collyres. Onguent de tutie.
tamarins,tamarin,
safranon,saffranon,"Savary, Dictionnaire universel de commerce: Commerce & compagnies : SAFFRANON : Safran sauvage produit par une plante qui fait une gousse pleine de filets & qui fait une graine que les perroquets mangent."
sel armoniac,sel ; armoniac,
sang de dragon,sang de dragon,
sebestes,sebestre,
sené en grabeau,séné ; en grabeau,
sené,séné,"cnrtl.fr : SENE : Plante arbustive, de la famille des Légumineuses, du genre Casse et dont les diverses variétés croissent naturellement dans certaines régions d'Afrique et du Moyen-Orient et en Inde orientale."
semen contra,semen contra,
scamonée,scammonée,
raisin de corinte,raisin ; de Corinthe,
rubarbe,rhubarbe,
pierres ponce,pierre ; ponce,
peaux de marroquin,peau ; de maroquin,
peaux de chagrin,peau ; de chagrin,
peaux de veaux en poil,peau ; de veau ; à poil,
poil de chevre,poil ; de chèvre,
poil de chameaux,poil ; de chameau,
plume d'autruche brute,plume ; d'autruche ; brute,
plume d'autruche ouvrée,plomb ; en saumon,
opium,opium,
noix vomiques,noix ; vomique,
mirrhe,myrrhe,
mirobolans,myrobolan,
mecoacam,mecoacam,
lin peigné,lin ; peigné,
laine surge,laine ; surge,
laine de chevron,laine ; de chevron,
laine de vigogne,laine ; de vigogne,
jus de citron,jus ; de citron,
hermodate,hermodatte,
gomme elemi,gomme ; élemi,
gomme copale,gomme ; copale,
gomme à dragan,gomme ; adragante,
gomme turique,gomme ; thurique,
gomme arabique,gomme ; arabique,
galles d'alep,galle ; d'Alep,
fil de poil de chevre,fil ; de poil ; de chèvre,
eponges,éponge,
euforbe,euphorbe,
encens en poussière,encens ; en poussière,
encens,encens,
drogues communes,drogue ; commune,
dates,demoiselle ; de bois,
cendres,cendre,
cendre,cendre,
caffetieres,cafetière,
couffins de palme,couffin ; de palme,
coton filé commun,coton ; filé ; commun,
coton file fin donce,coton ; filé ; donce,
coton en laine,coton ; en laine,
cuire de bœuf et vaches en poil,cuir ; de bœuf ; et vache ; en poil,
chevaux de barbarie,cheval ; de barbarie,
cuivre tangou,cuivre ; tangou,
coque levant,coque ; Levant,
collequinte,coloquinte,
casse en baston,casse ; en bâton,
caffé,café,
bois de buy,bois ; de buis,
bedelin,bedelin,
beaume,baume,
bol,bol,
bled froment,bled ; froment,
assafetida,assa fetida,
viande de pate,viande ; de pate,
tonneaux cerclés de boir,tonneau ; cerclé ; de bois,
tonneaux cerclés de fer,tonneau ; cerclé ; de fer,
terraille de gray,terraille ; de grès,
toile à tamies,toile ; tamies,
tableaux commun vieux,tableau ; commun ; vieux,
terixe,terixe,
souffre,soufre,
savonettes,savonnette,
soyes organsine,soie ; organsine,
saucissons,saucisson,
rouge d'Espagne,rouge ; d'Espagne,
pièrre de malte,pierre ; de Malte,
pinques,pinque,
peaux de poisson,peau ; de poisson,
peaux de chevre en poil,peau ; de chèvre ; en poil,
peaux de veau en poil,peau ; de veau ; à poil,
parapluis,parapluie,
paste d'amendes,pâte ; d'amande,
pommes,pomme,
pistaches,pistache,
orangelets,orangelet,
noisettes,noisette,
marbre brut,marbre ; brut,
marbre en tables,marbre ; en table,
mortiers de marbre,mortier ; de marbre,
mane de calabre,manne ; de Calabre,
lin cru,lin ; cru,
iris,iris,
haricots,haricot,
grenades fruits,grenade ; fruit,
fleurs artificieles,fleur ; artificielle,
fromage de Sardaigne,fromage ; de Sardaigne,
esprit de bergamotte,esprit ; de bergamote,
eau de cedre,eau ; de cèdre,
ecorce de citron,,
evantail de paille,éventail ; de paille,
etoupe,étoupe,
etoffe de soye,étoffe ; de soie,
douelles à tonneaux,douelle ; à tonneau,
couperoze,couperose,
cercles à barils,cercle ; à baril,
cercles à tonneaux,cercle ; à tonneau,
cercles à tamis,cercle ; à tamis,
couffes,coiffe,
corbeilles d'ozier,corbeille ; d'osier,
chapeaux de poil,chapeau ; de poil,
chapeaux de paille,chapeau ; de paille,
chanvre peigné,chanvre ; peigné,
cuirs de vache en poil,cuir ; de vache ; en poil,
couvertures fil et coton,couverture ; fil ; et coton,
choux,chou,
chateignes blanches,châtaigne ; blanche,
conserve de rose,conserve ; de rose,
bagarot,bagarot,
boutons de fil,bouton ; de fil,
bled,bled,
alin,alun,
verny,vernis,
vermichel,vermicelle,"vermicelli (Savary, volume 3), vermichel (Louis Liger, Jean-François Bastien) ou vermicelle (cnrtl.fr) : variantes orthographiques : Espèce de pâte faite de farine et de riz dont les italiens font grand cas (Savary)"
terraille noire,terraille ; noire,"cnrtl.fr : terraille : Poterie, vaisselle de terre; en partic., poterie fine, jaunâtre ou grisâtre fabriquée autrefois près de Pont-Saint-Esprit."
terraille blanche,terraille ; blanche,
toile d'embalage,toile ; d'emballage,
toile de menage,toile ; de ménage,
toile blanche,toile ; blanche,
toile de crin,toile ; de crin,
tableaux,tableau,
savon,savon,
satinade,satinade,
saumure,saumure,
rossoly,rossoly,
ris,riz,
poudre à poudrer,poudre ; à poudre,
planches de sapin,planche ; de sapin,
platre,plâtre,
poix,poix,
peaux de chien de mer,peau ; de chien de mer,
pelleterie blanche,pelleterie ; blanche,
peaux de renard,peau ; de renard,
poisson frix gros,poisson ; frit ; gros,
oranges aigres,orange ; aigre,
oranges douces,orange ; douce,
mercerie commune,mercerie ; commune,
maquet,maquet,
laine pellade,laine ; pelade,
liqueurs à boire,liqueur ; à boire,
lard,lard,
huile de senteur,huile ; de senteur,
huile d'olive,huile ; d'olive,
herbages,herbage,
graine de chanvre,graine ; de chanvre,
galles legeres,galle ; légère,
graisse de boucherie,graisse ; de boucherie,
fer en bandes,fer ; en bande,
filets à pescher,filet ; à pêcher,
fil cru,fil ; cru,
feves,fève,
eau de fleur d'orange,eau ; de fleur d'orange,
essence de citron,essence ; de citron,
drap grossier,drap ; grossier,
dentelle grosse,dentelle ; grosse,
chevrons,chevron,
chaise de bois,chaise ; de bois,
cercles de bois,cercle ; de bois,
clouds de fer,clou ; de fer,
cuivre vieux,cuivre ; vieux,
corde de chanvre,corde ; de chanvre,
chanvre battu,chanvre ; battu,
cheveux commun,cheveu ; commun,
couverture de laine,couverture ; en laine,
citrons,citron,
chateignes seches,châtaigne ; sèche,
confitures,confiture,
bouteilles de verre,bouteille ; de verre,
barils vuides,baril ; vide,
brosses,brosse,
bas de chamois,bas ; de chamois,
beure frais,beurre ; frais,
anchoix,anchois,
vanille,vanille,
soyes crues,soie ; crue,
soude,soude,
saxafra,sassafras,"Encyclopédie, Diderot & d'Alembert : SASSAFRAS, s. m. (Hist. nat. Bot.) petit arbre qui se trouve dans les pays tempérés de l'Amérique septentrionale, où on prétend qu'il prend la hauteur d'un pin ordinaire, sur un pié de diametre; mais parmi"
sardines salées,sardine ; salée,
suc de reglisse,suc ; en réglisse,
reglisse,réglisse,
quinquina en grabeau,quinquina ; en grabeau,
pignons cassés,pignon ; cassé,
noisetes,noisette,
meules à moullin,meule ; à moulin,
liège,lisière ; de drap,
laine demy lavée,laine ; demi lavée,
laine lavée,laine ; lavée,
jalap,jalap,
huile de copahu,huile ; de copahu,
cornes de mouton,corne ; de mouton,
couffins dauf,couffin ; d'auf,
chandelle,chandelle,
couverture de lit de coton,couverture ; de lit ; de coton,
cochenille,cochenille,
cumin,cumin,
balais de palme,balai ; de palme,
brun rouge,brun ; rouge,
beaume de Perou,baume ; du Pérou,
œuf,œuf,
arquifou,alquifoux,
aloes,aloès,
aulx,aulx,
anis vert,anis ; vert,
teraille de gray,teraille ; de grès,
storax,storax,"encyclopédie, Diderot & d'Alembert : STORAX, (ou Styrax), s. m. (Hist. nat. Bot.) genre de plante à fleur monopétale, en forme d'entonnoir, & profondement découpée. Le pistil sort du calice; il est attaché comme un clou à la partie postérieure"
saumon salé,saumon ; salé,
ruban de fil,ruban ; de fil,
quincaille de fer,quincaille ; de fer,
pipe à fumer,pipe ; à fumer,
plume à écrire,plume ; à écrire,
poivre noir,poivre ; noir,
muscade,muscade,
litarge,litharge,
laton en rouleau,laiton ; en rouleau,
huille de poisson,huile ; de poisson,
harans sors,hareng ; saur,
garance,garance,
gerofle,girofle,
fil de fer,fil ; de fer,
etain,étain,
crin,crin,
charbon de terre,charbon ; de terre,
corne de cerf,corne ; de cerf,
couperose verte,couperose ; verte,
ceruze,céruse,
cuivre,cuivre,
cuir de roussy,cuir ; de Russie,
colle forte,colle ; forte,
colle de poisson,colle ; de poisson,
bierre,bière,
bas de coton,bas ; de coton,
borax,borax,
acier,acier,
amidon,amidon,
azur commun,azur ; commun,
Sirop de limon,sirop ; de limon,
Sucre blancs,sucre ; blanc,
Planches de Bois d'acajou,planche ; de bois ; d'acajou,
Peaux de loups des Bois,peau ; de loup de bois,
Peaux de loups cervier,peau ; de loup cervier,cnrtl.fr : LOUP-CERVIER : Lynx européen.
Poids secs,pois ; sec,"cnrtl.fr : POIS : Graine comestible, de forme ronde, enfermée dans une gousse ou cosse verte. Petits pois (synon. pois verts p.oppos. à pois secs)"
Merain a barique,merrain ; à barrique,
Morue seche,morue ; sèche,
Herbe capilaire,herbe ; capillaire,
Gingembre conflit,gingembre ; confit,
ecaille de tortue,écaille ; de tortue,
duvets,duvet,
dents d'elefents,dent ; d'éléphant,
Cuivre en mitraille,cuivre ; en mitraille,
caret,caret,
Cuirs de Beuf tannés,cuir ; de bœuf ; tanné,
Cuirs en poil de bœuf,cuir ; de bœuf ; en poil,
Cotton en laine,coton ; en laine,
Castor sec,castor ; sec,
caffe,café,
Citron confits,citron ; confit,
Confitures de séche,confiture ; sèche,
Bois marbré,bois ; marbré,
Bois violet,bois ; violet,
Bois campeche,bois ; de campêche,
ananas confits,ananas ; confit,
Orange douce,orange ; douce,
ecorce de Citrons,,
Planches de chataignier,planche ; de châtaignier,
Planches de noyer,planche ; de noyer,
Madriers de Bois d'acajou,bois ; en madrier ; d'acajou,
Meulles a coutelier,meule ; à coutelier,
GRavelle,gravelle,
Citron,citron,
Chevrons de sapin,chevron ; de sapin,
Chevrons de chesne,chevron ; de chêne,
Verre a boire,verre ; à boire,
Planche de sapin,planche ; de sapin,
Planche de Prusse,planche ; de Prusse,
Plumes a ecrire brutes,plume ; à écrire ; brute,
Pelleterie commune crue,pelleterie ; commune ; crue,
Merain a Pipe,merrain ; à pipe,
matreaux,mâtereau,
Mats de navire de differentes grandeur,mât ; pour navire ; de différentes grandeurs,
Mercerie de Bois,mercerie ; de bois,
graine de Lin,graine ; de lin,
gaudron,goudron,
flacons de Verre,flacon ; de verre,
Fer noir,fer ; noir,
Fil de carret,fil ; de caret,
Fil de laton,fil ; de laiton,
epars,épart,
Carreaux de Pierre,carreau ; de pierre,
Carreaux de gros Marbre,carreau ; de marbre,
crayon,crayon,
chanvre cru,chanvre ; crû,
Bois de cHarpente,bois ; de charpente,
barique vieilles a vuide,barrique ; vieille ; vide,
verguer de navire,vergué ; de navire,"cnrtl.fr : Vergué, -ée, adj.,mar., rare. Muni de vergues."
Verres chimiques,verre ; chimiques,
vermillon,vermillon,
Vin du rhin,vin ; du Rhin,
Toilles serpillere,toile ; serpillière,
Table a caffé,table ; à café,
thé,thé,
Sac a vuides,sac ; vide,
salpêtre,salpêtre,
salsepareille,salsepareille,"Encyclopédie, Diderot & d'Alembert : SALSEPAREILLE, s. f. smilax, (Hist. nat. Bot.) genre de plante à fleur en rose, composée de plusieurs pétales disposées en rond"
Rouet a Files,rouet ; à filer,
quinquina,quinquina,
Plançons,plançon,
Planches de sapin comunes,planche ; de sapin ; commune,
Plom en grenaille,plomb ; en grenaille,
Pierres a fusil,pierre ; à fusil,
Poterie de gray,poterie ; de grès,"cnrtl.fr : GRES : Roche sédimentaire d'origine détritique, formée de grains agglomérés par un ciment naturel siliceux, calcaire ou ferrugineux, donnant un ensemble à la dureté et à la cohésion variable, mais généralement assez dur et compact, u"
Pipe a fume,pipe ; à fumer,
Porcelaine d'hollande,porcelaine ; de Hollande,
Plumes a ecrire,plume ; à écrire,
Papier viollet,papier ; violet,
noir de fumée,noir ; de fumée,
Natte de jong,natte ; de jonc,
Merain fonsail,merrain ; fonçaille,
Merain a bariques,merrain ; à barrique,
Merains a Pipes,merrain ; à pipe,
Mats de sapin moyens,mât ; de sapin ; moyen,
Marbre brut,marbre ; brut,
Moules a caffé,moulin ; à café,
Mine de Plom,mine ; de plomb,
Mercerie grossiere,mercerie ; grossière,
Massicot,massicot,
Lin peigné,lin ; peigné,
inde platte,indes ; plate,
Huille de baleine,huile ; de baleine,
Huille de rabette,huile ; de rabette,
Huille de Lin,huile ; de lin,
Harengs sorcs,hareng ; saur,
Fer en taules,fer ; en taule,
Fil de latton,fil ; de laiton,
Fil a retz,fil ; à rez,
Fil a coudre,fil ; à coudre,
fromages,fromage,
éponges,éponge,
eau forte,eau ; forte,
epicerie,épicerie,
droguerie,droguerie,
Cendre Gravelée,cendre ; gravelée,
Couperose verte,couperose ; verte,
creuset,creuset,
Carreaux de fayance,carreau ; de faïence,
Chaudrons de Cuivre jaune,cuivre ; jaune ; en chaudron,
Cuivre rouge brut,cuivre ; brut ; rouge,
Cuivre ouvre,ouvrage ; de cuivre,
cire d'Espagne,cire ; d'Espagne,
couteaux comuns,couteau ; commun,
chause pieds,chausse pied,
chaises de comodité,chaise ; de commodité,
couty,coutil,
canelle,cannelle,
chair salée,chair ; salée,
batons lave place,bâton ; à lave-place,
bordages de chesne,bordage ; de chêne,
baleine coupée,baleine ; coupée,
brique,brique,
bouteilles de Verres,bouteille ; de verre,
botines,bottine,
Balais de soye de Porc,balai ; de soie ; de porc,
bayette,bayette,
arcenic,arsenic,
anneaux de Fer,anneau ; de fer,
Aiguilles a coudres,aiguille ; à coudre,
Rouets a Files,rouet ; à filer,
laines en suin,laine ; en suint,
laines Fillées,laine ; filée,
langues de bœuf salées,langue ; de bœuf ; salée,
fromage,fromage,
cire jaune,cire ; jaune,
barique vieilles,barrique ; vieille,
Bourre de bœuf,bourre ; de bœuf,
Bled froment,bled ; froment,
Tambours et grille de fer,tambours ; et grille ; de fer,
Toile de pontivy,toile ; de Pontivy,
Toile de Morlaix,toile ; de Morlaix,
Toile de challe,toile ; de châle,cnrtl.fr : Châle : Pièce d'étoffe carrée ou triangulaire que les femmes portent sur leurs épaules en la croisant sur la poitrine
Toile d'étoupe,toile ; d'étoupe,"cnrtl.fr : étoupe : Résidu grossier de fibres textiles obtenu lors du traitement de la filasse, en particulier de chanvre ou de lin."
Soulier,souliers,
Papier violet,papier ; violet,
Ouvrage or et argent soye,ouvrage ; d'or ; argent ; et soie,
Noir à noircir,noir ; à noircir,
Matelas de laine,matelas ; de laine,
Lin cru,lin ; cru,
Linge de tavle ouvré,linge ; de table ; ouvré,
Liqueur à boire,liqueur ; à boire,
Lards,lard,
Langues salées,langue ; salée,
Huille de poisson,huile ; de poisson,
Habits complet pour homme,habit ; pour homme ; complet,
Garenne,garenne,
Grapins de fer,grappin ; de fer,
Guinéé bleue,guinée ; bleu,
Feiillards,feuillard,
Fil de flandre fin,fil ; de Flandre ; fin,
Etoffe de laine à fil,étoffe ; de fil et laine,
Etoffe de soye de soye à fil,étoffe ; de soie et fil,
Etoffe au quars de soye,étoffe ; au quart de soie,
Dentelle de fil fine,dentelle ; de fil ; fine,
Coutty,coutil,
Carreaux de terres,carreau ; de terre,
Chaudière de cuivre à sucre,chaudière ; de cuivre ; à sucre,
Comodes ornées,commode ; ornée,
Cuires de roussy,cuir ; de Russie,
Cuires de vache tannées,cuir ; de vache ; tanné,
Cuires de beuf tannées,cuir ; de bœuf ; tanné,
Chapeaux à naigre,chapeau ; à nègre,
Couverture de boure,couverture ; de bourre,
Camelot soye et laine,camelot ; laine et soie,
Bonnetrie de laine,bonneterie ; de laine,
Bars de soye,bas ; de soie,
Crins à pécher,crin ; à pécher,
Amandes en coque,amande ; en coque,
Peaux de loups de bois,peau ; de loup de bois,
Peaux d'origneaux à prestées,peau ; d'orignal ; apprêtée,
Peaux de mouttons passées,peau ; de mouton ; passée,
Pavé de morue,pavé ; de morue,
Fenouillete,fenouil,
Orangers,oranger,
Oranges,orange,
Huille ; d'ollive,huile ; d'olive,
Cuirs ; de secs ; en poil,cuir ; de sec ; en poil,
Bois ; de marqueterie,bois ; de marqueterie,
Verres ; cristalin,verre ; cristallin,
Toile ; d'hollande,toile ; de Hollande,
Tournesol ; en herbe,tournesol ; en herbe,
Tournesol ; apresté,tournesol ; apprêté,
Tutie,tutie,cnrtl.fr : Tuthie ou Tutie : Chimie : Oxyde de zinc résultant de la calcination de certains minerais et entrant dans la préparation de certains collyres. Onguent de tutie.
Salpestre,salpêtre,
Semencontra,semen-contra,cnrtl.fr : SEMEN-CONTRA : Préparation officinale obtenue à partir de capitules floraux non épanouis de diverses espèces d'armoises.
Rognûres ; de peau,rognure ; de peau,
Rubans ; de fil,ruban ; de fil,
Quincaille ; de fer,quincaille ; de fer,
Planches ; de chesne,planche ; de chêne,
Plomb ; en rouleau,plomb ; en rouleau,
Pots ; de terre ; non garnis,pot ; de terre ; non garni,
Pots ; de terre ; garnis d'etain,pot ; de terre ; garni d'étain,
Porcelaine ; contrefaite,porcelaine ; contrefaite,
Plumes ; à écrire,plume ; à écrire,
Ploc,ploc,
Peaux ; de Roussy,peau ; de Russie,
Pelleterie ; commune ; aprêtée,pelleterie ; commune ; apprêtée,
Pelleterie ; commune ; crue,pelleterie ; commune ; crue,
Mine ; de plomb,mine ; de plomb,
Mercerie ; grossière,mercerie ; grossière,
Morues,morue,
Littarge,litharge,
Laine ; vigogne,laine ; de Vigogne,
Liqueurs ; à boire,liqueur ; à boire,
Inde ; fine,indes ; fine,
Huile ; de graine,huile ; de graine,
Graine ; de Choux,graine ; de chou,
Fer ; en taule,fer ; en tôle,
Fer ; de fonte ouvré,fer ; de fonte ; ouvré,
Fil ; blanc,fil ; blanc,
Eau ; forte,eau ; forte,
Chair ; salée,chair ; salée,
Cornes ; à lanternes,corne ; à lanterne,
Cochenille ; silvestre,cochenille ; silvestre,
Bas ; de fil,bas ; de fil,
Bois ; jaune,bois ; jaune,
Bois ; de Bresil ; menu,bois ; de Brésil ; menu,
Allun,alun,
Argent ; vif,argent ; vif,
Vin ; de Madere,vin ; de Madère,
Toile ; grosse,toile ; grosse,
Sucre ; en pain,sucre ; en pain,
Planches ; de sapin,planche ; de sapin,
Pipes ; à fumer,pipe ; à fumer,
Marchandises ; a l'estimation,marchandise ; à l'estimation,
Meules ; a coutellier,meule ; à coutelier,
Marée,marée,
Huile ; d'ollive,huile ; d'olive,
Graine ; de lin,graine ; de lin,
Filasse,filasse,
Fer ; en bares,fer ; en barre,
Eau ; des Barbades,eau ; de Barbade,
Drache,drache,
Citrons ; aigres,citron ; aigre,
Corne ; de beuf,corne ; de bœuf,
Cornes ; à lanterne,corne ; à lanterne,
Chevaux ; a bas prix,cheval ; à bas prix,
Chanvre ; en masse,chanvre ; en masse,
Cuirs ; secs ; en poil,cuir ; sec ; en poil,
Barriques ; vieilles,barrique ; vieille,
Beuf ; en vie,bestiau ; en bœuf ; en vie,
Peaux ; de veaux ; tanées,peau ; de veau ; tannée,
Oignon ; de fleur,oignon ; de fleur,
Etamine ; de laine,étamine ; de laine,
Drap ; de laine ; fin,drap ; de laine ; fin,
Camelos ; de laine,camelot ; de laine,
Vin ; de Bordeaux,vin ; de Bordeaux,
Toile ; cirée,toile ; cirée,
Peaux ; de veau ; en poil,peau ; de veau ; en poil,
Pelleterie ; crue,pelleterie ; crue,
Graine ; de genièvre,graine ; de genièvre,
Grenades ; fruits,grenade ; fruit,
