grain_type,simplification
,toile du Béarn
,toile de Beaufort
,toile de Beauvais
,toile de bleue
,toile de Brabant
,toile de Bretagne
,toile de Bretagne blanche
,toile de Bretagne cirée
,toile de Bretagne crue
,toile de Bretagne d'Ernée
,toile de Bretagne de chanvre
,toile de Bretagne de couleur
,toile de Bretagne de Dinant
,toile de Bretagne de fougère
,toile de Bretagne gracienne
,toile de Bretagne de Landerneau
,toile de Bretagne de Leon
,toile de Bretagne de Mayenne
,toile de Bretagne de mantoncour
,toile de Bretagne de Mortagne
,toile de Bretagne de Pontivy
,toile de Bretagne de Quintin
,toile de Bretagne de rondelette
,toile de Bretagne rousse
,toile de Bretagne de S Mais
,toile de Bretagne de St. Georges
,toile de Bretagne de Savigny
,toile de Bretagne de sept huit
,toile de Bretagne de Vimoutiers
,toile de Bretagne de Vitré
,toile de Bretagne diverse
,toile de Bretagne entre large
,toile de Bretagne étroite
,toile de Bretagne large
,toile de Bretagne ouvrée
,toile de Bretagne peinte
,toile de Bretagne rayée
,toile de Bretagne reforme
,toile de Bretagne serpillière
,toile de Bretagne vitrée
,toile de Bruges
,toile de caladrie
,toile de capiton
,toile de chanvre d'emballage
,toile de chanvre fine
,toile de chanvre ouvrée
,toile de chanvre trillin
,toile de Château-Gontier
,toile de Combourg
,toile de Comté
,toile de cordat
,toile de coton blanche
,toile de coton bleu
,toile de coton brochée
,toile de coton corroyée
,toile de coton cotonnette
,toile de coton de duvet
,toile de coton des Indes
,toile de coton du Levant
,toile de coton du Piémont
,toile de coton futaine
,toile de coton persiste
,toile de coton piquée
,toile de coton et soie
,toile de coton teinte
,toile de couleur
,toile de crin
,toile de fil blanche
,toile de fil commune
,toile de fil en coutil
,toile de Flandre
,toile de fougère
,toile de France
,toile de Grenade
,toile de Grenoble
,toile de gris
,toile de Hanovre
,toile d'Hollande
,toile de Laval
,toile de Lille
,toile de lin
,toile de lin à doubler
,toile de lin à matelas
,toile de lin au lait
,toile de lin batiste
,toile de lin de Beauvais
,toile de lin blanche
,toile de lin brochée
,toile de lin de Cholet
,toile de lin cirée
,toile de lin claire
,toile de lin claire et gaze
,toile de lin coutil
,toile de lin crue
,toile de lin d'Abbeville
,toile de lin d'Alençon
,toile de lin d'Amiens
,toile de lin de Beaujolais
,toile de lin de bernay
,toile de lin de Flandre
,toile de lin de Frise
,toile de lin de Gand
,toile de lin de Hollande
,toile de lin de Laval
,toile de lin de Lille
,toile de lin de Pinon
,toile de lin de Marigny
,toile de lin de Rouen
,toile de lin de Russie
,toile de lin de St. Malo
,toile de lin de Senlis
,toile de lin de Servins
,toile de lin de Troyes
,toile de lin de Valenciennes
,toile de lin fine de Hollande
,toile de lin grosse
,toile de lin grosse pointe
,toile de lin gingas
,toile de lin imprimée
,toile de lin indigo
,toile de lin platille
,toile de lin lingerie
,toile de lin linon
,toile de lin linon brodée
,toile de lin rayée
,toile de lin royale
,toile de lin teinte
,toile de lin toilette
,toile de lisson
,toile de Lyon
,toile de Marigny
,toile de Moûtiers
,toile de paille
,toile de ploc
,toile de Pontivy
,toile de Pouldavi
,toile de Quintin
,toile de Rosconne
,toile de Rouen
,toile de Russie
,toile de St Georges
,toile de Saint Jean
,toile de Saintonge
,toile de Sevigneau
,toile de soie
,toile de Vimoutiers
,toile de voile
,toile découpée
,toile diverse en batiste
,toile de Barrois
,toile du Levant
,toile du Lyonnais
,toile dure
,toile embabis
,toile en chemise
,toile en fair
,toile en serviette
,toile et bonneterie
,toile et fil
,toile étrangère
,toile étrangère du Piémont
,toile sac
,toile fine
,toile flamande
,toile gingas nationale
,toile gommée
,toile gracienne
,toile grise
,toile grise non battue
,toile gros fort
,toile guinée
,toile guinée bleue
,toile idem d'Olonne
,toile idem fin
,toile imprimée
,toile indienne
,toile kettroy
,toile killis
,toile lavée
,toile linge de table vieux
,toile linon
,toile linon batiste
,toile lustrée
,toile manche
,toile manouf
,toile montagne
,toile étoffe coton nankin
,toile non battue
,toile ouvrée
,toile peinte imprimée
,toile petite
,toile de Poméranie
,toile pour ameublement
,toile pour serviette
,toile pour tabac
,toile pour tableau
,toile pour talliet
,toile pour tente
,toile presitte
,toile pressée
,toile rouge
,toile sangalette
,toilette
,toilette de bois
,tôle de cuivre
,tombeau
,tonneau
,tonneau à bière
,tonneau en bois
,tour à filer
,tour pour tourneur
,tournesol en drapeau
,touron
,tours de lit de bourre
,toutenague
,trait d'or
,treillis d'Allemagne
,tresse d'argent
,tresse d'or
,tresse de fil
,tresse de fleuret
,tresse de laine
,tresse de soie
,tresse d'or et d'argent
,tripe de laine
,tripe de Lannoy
,tripe de velours
,tripe sur soie
,tube long
,tuile courbée
,tuile plate
,poisson turbot salé
,tuyau d'orgue
,ustensile de ménage
,vaisselle d'argent
,vaisselle d'étain
,vaisselle d'or
,vaisselle de bois
,vaisselle plate
,van à vanner
,vas du Rhin
,vase
,vaude
,végétal
,velours avec argent
,velours de coton
,velours de Gênes
,velours de gueux
,velours de soie
,velours uni
,vendange
,verrerie diverse
,verre à vin
,verre cassé en groisil
,verre en table
,verre d'Allemagne
,verre d'Alsace
,verre d'ambre
,verre d'antimoine
,verre de baromètre
,verre de Bohème
,verre de France
,verre de Hessen
,verre de lampe
,verre de Lorraine
,verre de mer
,verre de montre
,verre de Saint Louis
,verre de Venise
,verre de Barrois
,verre filé
,verre moulein
,ouvrage de verre en table
,verre pour lustre
,verre pour montre
,verre verroterie
,berce d'osier
,ambre vert
,verd d'eau
,verd d'Espagne
,verd de mer
,verd de vessie
,verd rouge
,vessie natatoire
,veste
,veste de drap brodée en or
,veste de soie
,veste de toile brodée
,viande d'agneau
,viande de bœuf
,viande de mouton
,viande fumée
,viande salée
,gouvernail vieux
,vieux oing
,vif d'argent
,vin blanc
,vin du Cap Breton
,vin Champagne
,vin de Cognac
,vin cuit
,vin d'absinthe
,vin d'aigluillon
,vin d'Alicante
,vin d'Ambrion
,vin d'Amour
,vin de Blaye
,vin de Bourg
,vin de Bordeaux de haut
,vin Dan de ville
,vin d'Arbois
,vin d'Aubagne
,vin d'Aument
,vin d'Auxerre
,vin de Barcelonne
,vin de Catalogne
,vin d'Espagne de Malaga
,vin d'Espagne de Navarre
,vin d'Espagne de Pacarel
,vin d'Espagne de Rota
,vin d'Espagne et de liqueur
,vin d'Italie
,vin d'Oléron
,vin d'Oléron rouge
,vin d'or d'Auxerre
,vin d'or de Beaune
,vin d'or de Dijon
,vin d'or de haut
,vin d'or de Mâcon
,vin d'or de Nuits
,vin d'or de ville
,vin d'orange
,vin d'Orléans
,vin de Bar
,vin de Bayonne
,vin de Beaune
,vin de Benicarlo
,vin de Bergerac
,vin de Béziers
,vin de France
,vin de Bordeaux de Blaye
,vin de Castillon
,vin de Médoc
,vin de Bordeaux de ville
,vin de Bourgogne d'Arbois
,vin de Bourgogne d'Auxerre
,vin de Bourgogne d'Auxonne
,vin de Bourgogne de Beaune
,vin de Bourgogne de Chablis
,vin de Bourgogne de Chagny
,vin de Bourgogne de Chalons
,vin de Bourgogne de Comté
,vin de Bourgogne de Dijon
,vin de Bourgogne de Gevray
,vin de Bourgogne de Gilly
,vin de Bourgogne de grand
,vin de Bourgogne de la Ferté
,vin de Bourgogne de mercuray
,vin de Bourgogne de Mursault
,vin de Bourgogne de Poutigny
,vin de Bourgogne de Rully
,vin de Bourgogne de Suvigny
,vin de Bourgogne de Tonnerre
,vin de Bretagne
,vin de Cabreton
,vin de Cahors
,vin de Chagny
,vin de Chalons
,vin de Charente
,vin de Chenove
,vin de Chypre
,vin de Cioutan
,vin de Clerac
,vin de Condrieux
,vin de Corse
,vin de deviet
,vin de Dijon
,vin de Domé
,vin de Flandres
,vin de Florence
,vin de Bordeaux
,vin de France de Champagne
,vin de France de Gascogne
,vin de Provence
,vin de Dauphiné
,vin de Gaillac
,vin de Garonne
,vin de Gênes
,vin de Gensac
,vin de Gilly
,vin de Grèce
,vin de Guacy
,vin de Haule
,vin de haut
,vin en fût
,vin de Lorraine
,vin de Lyon
,vin de Mâcon
,vin de Malvoisie
,vin de Manheim
,vin de Marennes
,vin de Metz
,vin de Mezac
,vin de montagne
,vin de Moselle
,vin de Mursante
,vin de Murville
,vin de N. Jean
,vin de Navarre
,vin de Prague
,vin de Picardan
,vin de poisson
,vin de Rivesac
,vin de rivière
,vin de Rochefort
,vin de Rome
,vin de Rota
,vin de Rots
,vin de Rouys
,vin de St. Seau
,vin de St. Laurent
,vin de Ste. Foy
,vin de Samos
,vin de Savoie
,vin de Sicile
,vin de Suisse
,vin de Thiaucourt
,vin de Tinto
,vin de Touraine
,vin de Vienne
,vin de ville
,vin des Îles
,vin dit Bleckaert
,vin divers
,vin doux
,vin de Barrois
,vin de Bugey
,vin du Cap
,vin du Croisic
,vin du Fayal
,vin du Hainaut
,vin du Haut-Pays
,vin de Poitou
,vin étranger
,vin hors
,vin idem d'Alicante
,vin de Barcelone
,vin idem de la Ferté
,vin idem de montagne
,vin idem de Reims
,vin idem de Rota
,vin idem de Rully
,vin idem Meursault
,vin Soissons
,vin jauge gros bard
,vin Malvoisie
,vin noir
,vin ordinaire
,vin ordinaire en miel
,vin rouge
,vin rouge commun
,vin sucré
,vinaigre de composition
,vinaigre de bière
,vinaigre de cidre
,vinaigre de vin
,vinaigre ordinaire
,vipérine en racine
,vis en fer
,vitriol blanc
,drogue métallique vitriol de Chypre
,voile de laine
,voiture
,volant
,volant de camelot
,vulnéraire de Suisse
,wagheschot en blocq
,wagheschot scié en planche
,wagon
,wagon artillerie
,wollegoet
,zédoaria
,bigarade zeste
