marchandises_norm_ortho,classification_hambourg_large
sirop de mûre,
sirop de sucre,
sirop de sucre candi,
sirop de vinaigre,
sirop de violette,
sirop des Iles,
sirop des Îles,
sirop fin,
sirop fin et mélasse,
sirop mélasse,
sirop ou jus de cerise et de grenade,
sirop terré,
sistresay,
sitz et indienne,
smalte,
soberton,
soc,
soc de charrue,
soc de fer,
socreton,
soie,
soie à broder,
soie à coudre,
soie apprêtée,
soie blanche,
soie brute,
soie cocon,
soie crue,
soie de Bengale,
soie de Chine,
soie de filoselle et bourre de soie,
soie de la chaîne,
soie de nankin,
soie de porc,
soie de porc et sanglier,
soie de toile,
soie de toile vieux,
soie des Indes,
soie diverse,
soie écrue,
soie en cocon,
soie en fleuret,
soie en rame,
soie en strase et cocon,
soie en suaze (?),
soie étrangère,
soie exporté de Marseille,
soie filée,
soie filoselle,
soie fleuret,
soie floche,
soie grège,
soie moresque,
soie nankin,
soie Nankin,
soie ouvrée,
soie plate,
soie pour tisser,
soie tanis,
soie tapis,
soie teinte,
soie teinte et à coudre,
soie torce,
soie trame de,
soierie,
soierie bonneterie,
soierie de fil de fleur,
soierie de toile,
soierie des Indes,
soierie diverse,
"soierie en étoffe, gaze, crêpe et passementerie",
"soierie en étoffe, gaze, crêpe, ruban et passementerie",
"soierie en étoffe, mouchoir, gaze et ruban",
"soierie en étoffe, ruban et passementerie",
soierie et coton des Indes,
soierie étoffe,
soierie étoffe diverse,
soierie étoffe unie et brochée,
"soierie gaze, crêpe et tulle",
soierie mouchoir et schal,
soierie passementerie,
soierie ruban,
soja,
sole ou langue,
soliveau,
soliveau de 18 à 20 pieds de long,
soliveau de 24 pieds,
soliveau de chataigne,
soliveau de chêne,
soliveau de chêne de 12 à 15 pieds,
soliveau de chêne de 15 à 20 pieds,
soliveau de cyprès,
soliveau de sapin,
soliveau de sapin de 18 à 20 pieds de long,
soliveau de sapin de 18 pieds de long,
soliveau de sapin de 20 pieds de long,
soliveau de sapin petit,
sommier,
sommier brut pour Mannem,
sommier de chêne faconné,
sommier menu,
sommier ou corps d'arbre de sapin,
son,
son de farine,
sonde,
sonnette,
soucis,
soucis pour mouchoir,
soucrion (grain pour la bière),
soucrion en gerbe,
soude,
soude et tarte,
soudes,
soudure,
souffle d'heumine,
soufflet,
soufflet à feu,
soufflet à tirer,
soufflet à tirer et levier,
soufflet de bois,
soufflet de cheminée,
soufflet de forge,
soufflet de maréchal,
soufflet petit,
soufflet pour orgue,
souffre,
souffre en canon,
souffre en fanon,
souffre en fleur,
souffre et salpêtre,
souffre raffiné,
soufre,
soufre et mêche,
soulier,
soulier brodé,
soulier brodé argent et soie,
soulier brodé pour femme,
soulier d'enfant,
soulier de cuir,
soulier de maroquin,
soulier et botte,
soulier étoffe des Indes,
soulier neuf,
soulier ordinaire,
soulier pour femme,
soulier pour homme,
soulier pour homme et femme,
soulier vieux,
"soulier, pantoufle et galoche",
souliers,
souliers d'homme,
soutien,
spalme,
spalte,
spardilles,
sparterie,
spath zinc smithsonite,
spermaceti,Blanc ; de baleine
spiante,
spicaceltica,
spicanardi,
spirinck,
spode,
squille de grain,
squine,
stafisagre,
stagnon,
stil de grain,
stil de grain et vermillon,
stinkerque,
stockfish,
storax,
storax catamus,
storax liquide,
sublimé,
sublime corosif,
subsistance,
subsistance bestiau,
subsistance beurre,
subsistance chair fraîche et salée,
subsistance chair volaille et gibier,
subsistance farine et biscuit de mer,
"subsistance farine, pâte d'Italie et vermicelle",
subsistance fromage,
subsistance fruit confit à l'eau-de-vie,
subsistance fruit confit au sucre et confiture,
subsistance fruit et légume confit et mariné,
subsistance fruit frais divers,
subsistance fruit sec,
subsistance fruit sec amande,
subsistance huile d'olive,
subsistance légume divers,
subsistance miel,
subsistance moutarde,
subsistance œuf,
subsistance poisson divers,
subsistance provision de bouche réunie,
subsistance réunie,
subsistance riz,
subsistance sel,
subsistances cacao,Cacao
subsistances café,Café
subsistances eau-de-vie,Eau ; de vie
subsistances fruits divers,
subsistances huile d'olive, Huile ; d'olive ; blanc ; de Gènes
subsistances miel,
subsistances provisions de bouche réunies,
subsistances sel,
subsistances sirop,
subsistances sucre,Sucre ; cru blanc ; du Brésil
subsistances thé,Thé ; boue
subsistances vin de Bordeaux,Vin ; de France
subsistances vin divers,Vin ; de France
substance et produit chimique,
substance et produit chimique eau forte et couperose,
suc de réglisse,
succade,
succade et confiture,
succin déchet,
sucre,Sucre ; cru blanc ; du Brésil
sucre à devise et à casser,
sucre bâtard,Sucre ; cru blanc ; du Brésil
sucre blanc,Sucre ; cru blanc ; du Brésil
sucre blanc en pain,Sucre ; cru blanc ; du Brésil
sucre blanc terré,
sucre blanc terré et tête,
sucre brun,Sucre ; cru blanc ; du Brésil
sucre brut,Sucre ; cru blanc ; du Brésil
sucre brut en forme,
sucre candi,Sucre ; cru blanc ; du Brésil
sucre candy,Sucre ; cru blanc ; du Brésil
sucre carré,Sucre ; cru blanc ; du Brésil
sucre cassonade,Sucre ; cru blanc ; du Brésil
sucre cassonade des Îles,Sucre ; cru blanc ; du Brésil
sucre commun,Sucre ; cru blanc ; du Brésil
sucre cru blanc du Brésil,
sucre d'érable,
sucre d'orge,
sucre de moscovie,
sucre dite Lompen,
sucre divers,Sucre ; cru blanc ; du Brésil
sucre en cassonade,Sucre ; cru blanc ; du Brésil
sucre en dragée,
sucre en forme,
sucre en pain,Sucre ; cru blanc ; du Brésil
sucre en pain et raffiné,
sucre en pain et rafiné,Sucre ; cru blanc ; du Brésil
sucre en pain rafiné tête etc.,
sucre en poudre,Sucre ; cru blanc ; du Brésil
sucre en poudre blanc,
sucre en poudre brun,
sucre et amande,
sucre et cuir,
sucre et fruit sec raisin,
sucre et prune,
sucre et pruneau,
sucre et roucou,
sucre et sirop,
sucre et tabac,
sucre et vert-de-gris,
sucre fin,
sucre mélasse,
sucre non raffiné,
sucre raffiné,Sucre ; cru blanc ; du Brésil
sucre raffiné en pain,Sucre ; cru blanc ; du Brésil
sucre terré,Sucre ; cru blanc ; du Brésil
sucre terré en forme,
sucre terré et têtes,Sucre ; cru blanc ; du Brésil
sucre terré tête,Sucre ; cru blanc ; du Brésil
sucre tête,Sucre ; cru blanc ; du Brésil
sucre tête de forme,
sucre têtes,Sucre ; cru blanc ; du Brésil
sucre têtes de forme,Sucre ; cru blanc ; du Brésil
sucre vergeoise,Sucre ; cru blanc ; du Brésil
sucre versoir,Sucre ; cru blanc ; du Brésil
"sucre, cacao, café",
sucrerie,
sucrerie dragée,
sucrion,
suie de cheminée,
suif,Suif ; pour faire du savon
suif à faire des chandelle,Suif ; pour faire du savon
suif en branche,Suif ; pour faire du savon
suif en chandelle,Suif ; pour faire du savon
suif en masse,
suif en pain,Suif ; pour faire du savon
suif en poil,Suif ; pour faire du savon
suif et bougie en suif,
suif et chandelle de chanvre,
suif et chandelle de suif,
suif fondu,Suif ; pour faire du savon
suif fondu et en chandelle,Suif ; pour faire du savon
suif pour faire du savon,
suif pour raffiner le cuivre,
suine,
sulfide de cuivre,
sumac,
sumeuille de cuivre,
surce et savon,
tabac,Tabac ; de Virginie
tabac à fumer,Tabac ; de Virginie
tabac à varié,Tabac ; de Virginie
tabac avarié,Tabac ; de Virginie
tabac commun,Tabac ; de Virginie
tabac d'Espagne,Tabac ; de Virginie
tabac de Brésil,Tabac ; de Virginie
"tabac de Brésil, de Virginie",
tabac de caisse,Tabac ; de Virginie
tabac de cantine,Tabac ; de Virginie
tabac de Hollande,Tabac ; de Virginie
tabac de la ferme,
tabac de la Ferme,Tabac ; de Virginie
tabac de S…te?,
tabac de Séville,Tabac ; de Virginie
tabac de St. Domingue,Tabac ; de Virginie
tabac de St. Vincent,Tabac ; de Virginie
tabac de Virginie,Tabac ; de Virginie
tabac divers,
tabac du Brésil,Tabac ; de Virginie
tabac du Brésil pris à Lisbonne par les bâtiment français négrier expédié des port de France pour la Côte d'or,
tabac en andouille,
tabac en caisse,Tabac ; de Virginie
tabac en carotte,
tabac en carotte et en feuille,
tabac en carotte et role,
"tabac en carotte, feuille et rapé",
tabac en corde,
tabac en coren ???,Tabac ; de Virginie
tabac en cotte,
tabac en feuille,Tabac ; de Virginie
tabac en feuille de Louisiane,
tabac en feuille et autre,
tabac en feuille et en cotte,
"tabac en feuille, en carotte et en cote",
tabac en feuilles,Tabac ; de Virginie
tabac en feuilles carotte et côtes,Tabac ; de Virginie
tabac en feuilles des prises,Tabac ; de Virginie
tabac en manoc,Tabac ; de Virginie
tabac en manoque,
tabac en poudre,Tabac ; de Virginie
tabac en role,
tabac et cuir,
tabac et fruit sec raisin,
tabac et savon,
tabac et son d'Espagne,
tabac fabriqué,Tabac ; de Virginie
tabac feuille,Tabac ; de Virginie
tabac filé,
tabac haché et à fumer,
tabac ouvré,Tabac ; de Virginie
tabac pour échantillon,Tabac ; de Virginie
tabac pressé d'Allemagne,
tabac rapé,
tabac râpé,Tabac ; de Virginie
tabatière,
tabatière commune,
tabatière d'agate,
tabatière d'argent,
tabatière d'écaille,
tabatière d'ecaille inscrustée d'or et argent,
tabatière d'émail,
tabatière d'olivier,
tabatière d'or,
tabatière de bergamote,
tabatière de bois,
tabatière de bois blanc,
tabatière de bois verni,
tabatière de carton,
tabatière de corne,
tabatière de cuir,
tabatière de fer blanc,
tabatière de forme,
tabatière de nacre,
tabatière de paille,
tabatière de pinsbeck,
tabatière émaillée,
tabatière enrichie,
tabatière et étui garni d'argent,
tabatière et étui garni d'or,
tabatière et étui garni d'or et d'argent,
tabatière étui et autre bijouterie garni d'or et d'argent,
tabatière garnie d'or,
tabatière vernie,
tabatières,
tabatières d'argent,
tabatières d'écaille,
tabatières de carton,
tabatières de corne,
tabatières de paille,
tabatières diverses,
tabatières enrichies,
tabernacle,
tabernacle de marbre,
tabernacle doré,
table,
table à café,
table à thé,
table d'ardoise,
table de bois,
table de marbre,
table de noyer,
table de nuit,
table de sapin,
table de sapin peinte,
table de toilette,
table vernie,
tableau,
tableau à cadre doré,
tableau commun,
tableau de famille,
tableau encadré,
tableau et estampe,
tableau sur toile,
tableaux,
tableaux sur toile,
tables de bois,
tablette anisée,
tablier,
tablier brodé,
tablier et blouse pour barbier et chirurgien,
tablier peint,
tacque de cheminée,
taffetas,
taffetas d'Avignon,
taffetas foulas,
tafia,
tafia et rhum,
taie,
taillanderie,
talc,
talon de bois,
tamarin,
tamarin gras,
tambour,
tambour à sucre,
tambour de fer,
tambour de forme,
tambour et grille de fer,
tamis,
tamis à tabac,
tamis de crin,
tamis fait et à faire,
tanche,
tanelles,
tanjebs,
tapetal,
tapette,
tapette à mouche,
tapis,
tapis d'Angleterre,
tapis d'Aubusson,
tapis d'Auvergne,
tapis d'indienne,
tapis de coton,
tapis de guinée,
tapis de laine,
tapis de moquette,
tapis de table,
tapis de toile cirée,
tapis de toile peinte,
tapis de Turquie,
tapis de velours,
tapis divers,
tapis fabrique de Tournais,
tapis fil et coton,
tapis fil teint,
tapisserie,
tapisserie ?,
tapisserie commune,
tapisserie d'Amiens,
tapisserie d'Anvers,
tapisserie d'Aubusson,
tapisserie d'Auvergne,
tapisserie d'Elbeuf,
tapisserie d'Hautelisse,
tapisserie d'Oudenarde,
tapisserie de Beauvais,
tapisserie de Bergame,
tapisserie de Bruxelles,
tapisserie de Bruxelles et autre,
tapisserie de coton imprimé,
tapisserie de cuir doré,
tapisserie de Dauphiné,
tapisserie de faux de toile,
tapisserie de fil teint,
tapisserie de filoselle,
tapisserie de Flandre,
tapisserie de Flandres,
tapisserie de haute lice,
tapisserie de la Marche,
tapisserie de laine,
tapisserie de moquette,
tapisserie de point d'Hongrie,
tapisserie de Rouen,
tapisserie de toile cirée,
tapisserie de toile peinte,
tapisserie des Gobelins,
tapisserie fil et laine,
tapisserie papier,
tapisserie peinte,
tapisserie peinte de Hongrie,
tapisserie simple,
tapisserie tantisse,
tapisserie verdure,
tapisserie vieille,
tapsel,
tapsel large,
tartre,Tartre
tartre de vin,
tartre émétique,
tartre glan,
tartre rouge,
tartre vitriolé,
tasse,
tasse de vermillon,
tasse rouge,
taupine de soie et coton,
taureau,
tavelle,
tavelle de fil et de laine,
tavelle de laine,
tayolle,
teinture,
télescope,
tenaille,
tendeur de voile,
tente,
tente canonnière,
tente et voile,
tente et voile (en rolle ou pièces),
téraille,
téraille divers,
téraille noire,
tercq,
térébenthine,
térébenthine commune,
térébenthine d'étain,
térébenthine de Venise,
térébenthine en pâte,
"térébenthine en pâte, huile et essence",
térébenthine huile et essence,
térraile commune,
terraille,
térraille,
terraille noire,
térraille noire,
terraille noire de Gênes,
térraille noire de Gênes,
terramerita,
terrasse,
terre,
terre à baril,
terre à bâtir,
terre à ciment,
terre à faïence,
terre à faire pipe,
terre à fouler,
terre à foulon,
terre à pipe,
terre à poterie,
terre à poterie et à faire pipe,
terre à poterie et à fouler,
terre à potier,
terre à sucre,
terre blanche,
terre commune,
terre d'emery,
terre d'ombre,
terre d'ombre de Cologne et de roucou,
terre d'ombre et autre,
terre de Bologne,
terre de ciment,
terre de Cologne,
terre de France,
terre de grès,
terre de marne,
terre de marne et argile,
terre de marne pour engrais,
terre de mine,
terre de monnaie,
terre de mulardeau,
terre de plomb,
terre de porcelaine,
terre de rocou,
terre de Rome,
terre de Rouen,
terre de Satine,
terre de soufre,
terre de Suède,
terre de Vérone,
terre de verrerie,
terre dite souda,
terre diverse,
terre du Limousin,
terre et argile pour engrais,
terre glaise,
terre grasse,
terre houille,
terre jaune,
terre jaune ou herbe à teindre,
terre manganèse,
terre noire,
terre pour verrerie,
terre pourrie,
terre Pozolane,
terre rouge,
terre segillé,
terre sigillée,
terre verte,
terrementil,
terrerie,
terrerie blanche,
terrier de fer,
tête à perruque,
tête de basin brodée,
tête de carabé,
tête de clou de girofle,
tête de cuir en poil,
tête de morue,
tête de pavot,
tétras noir,
textile,
textile Gronekens,
textile Gronen,
textile Stramian,
thé,Thé ; boue
thé bony,
thé boue,Thé ; boue
thé bouilli,Thé ; boue
thé camphon,
thé campony,
thé de l'Inde,
thé et porcelaine,
thé filé,
thé hayssuen,
thé pays,Thé ; boue
thé saotchaon,
thé tonkay,
thé verd,
thé vert,
théière,
théière d'étain,
théière de cuivre,
théière de métal,
théière de terre noire,
theloc,
thériaque,
thériaque de Venise,
thermomètre,
thon frais,
thon mariné,
thon salé,
thonine,
thuille,
tiercon en botte,
tiers à tonneau,
tige de cuivre,
tige en botte,
timbre,
tin canarie,
tiretaine,
tiretaine et miselaine,
tissu,
tissu d’Écosse,
tissu d’Osnabrück,
tissu de coton,
tissu de coton gratté d'un côté,
tissu de crin,
tissu de fil de lin et de chanvre en toile de toute sorte,
tissu de fil et coton,
tissu de fleuret,
tissu de fleuret en étoffe et rubannerie,
tissu de Gorlitz,
tissu de laine,
tissu de laine angora,
tissu de laine double fil,
tissu de laine en tapis,
tissu de laine fabriqué à Arras,
tissu de lin,
tissu de lin et de chanvre en toile diverse,
tissu de soie,
"tissu de soie, coton et laine mélangé",
tissu de Windau,
tissu dentelle de fil,
tissu écarlate,
tissu fin,
tissu gris de Lübeck,
tissu pour vêtement militaire,
tissu rayé,
tissu thirumtin,
toile,
"toile , Bem ?",
toile à bas,
toile à bluteau,
toile à canevas,
toile à carreau,
toile à carreau et à matelas,
toile à doubler,
toile à drapeau,
toile à matelas,
toile à nappe,
toile à paillasse,
toile à pavillon,
toile à peindre,
toile à sac,
toile à sacquette dite talette,
toile à serviette,
toile à serviette de Lille,
toile à tamis,
toile à tapisser,
toile à treillis,
toile à voile,
toile abas,
toile ardoisée et rayonnée,
toile assortie,
toile au lait,
toile au lait de Lille,
toile au lait lin,
toile bajutapeau,
toile baptiste,
toile barriere,
toile basin,
toile Batiste,
toile batiste,
toile batiste et linon,
toile bazin,
toile beaudille,
toile Bem à voile,
toile Bem de Vimoutiers,
toile beurrière,
toile blancard,
toile blanche,
toile blanche de la compagnie,
toile blanche de Saint Quentin et Valenciennes,
toile blanche et rouge,
toile blanche et teinte,
toile blanche fine,
toile blanche ordinaire,
toile bleue,
toile boucassine,
toile bougran,
toile brochée,
toile brodée,
toile caisse,
toile caladari,
toile canevas,
toile carisel ou créseau,
toile céruse,
toile chapelure,
toile chapilas,
toile Cholet,
